"SpcRecID","Rank","GEO_entity","ISO Code 2","RefIDs"
188092,"Species","Country","CO",2224
188092,"Species","Country","EC",2224
188093,"Species","Country","CO",2224
188094,"Species","Country","PE",2224
188096,"Species","Country","EC",2224
188097,"Species","Country","CO",2224
188098,"Species","Country","BO",2224
188099,"Species","Country","CR",2224
188100,"Species","Country","VE",2224
188101,"Species","Country","CO",2224
188102,"Species","Country","CO",2224
188102,"Species","Country","EC",2224
188103,"Species","Country","EC",2224
188103,"Species","Country","PE",2224
188104,"Species","Country","EC",2224
188105,"Species","Country","PA",2224
188106,"Species","Country","EC",2224
188107,"Species","Country","EC",2224
188107,"Species","Country","PE",2224
188108,"Species","Country","GY",2224
188108,"Species","Country","VE",2224
188109,"Species","Country","EC",2224
188110,"Species","Country","BO",2224
188111,"Species","Country","PE",2224
188112,"Species","Country","EC",2224
188113,"Species","Country","BO",2224
188114,"Species","Country","BO",2224
188115,"Species","Country","EC",2224
188116,"Species","Country","EC",2224
188117,"Species","Country","CO",2224
188117,"Species","Country","EC",2224
188118,"Species","Country","CO",2224
188119,"Species","Country","CO",2224
188120,"Species","Country","CO",2224
188121,"Species","Country","CO",2224
188122,"Species","Country","CO",2224
188123,"Species","Country","EC",2224
188124,"Species","Country","CO",2224
188125,"Species","Country","PE",2224
188126,"Species","Country","EC",2224
188127,"Species","Country","PE",2224
188128,"Species","Country","PE",2224
188129,"Species","Country","CO",2224
188130,"Species","Country","PE",2224
188131,"Species","Country","CO",2224
188131,"Species","Country","EC",2224
188131,"Species","Country","VE",2224
188132,"Species","Country","CO",2224
188133,"Species","Country","BO",2224
188133,"Species","Country","BR",2224
188134,"Species","Country","EC",2224
188135,"Species","Country","PE",2224
188136,"Species","Country","VE",2224
188137,"Species","Country","BO",2224
188138,"Species","Country","BO",2224
188139,"Species","Country","PE",2224
188140,"Species","Country","EC",2224
188141,"Species","Country","PE",2224
188142,"Species","Country","PE",2224
188143,"Species","Country","CO",2224
188143,"Species","Country","EC",2224
188143,"Species","Country","PE",2224
188144,"Species","Country","PE",2224
188145,"Species","Country","VE",2224
188146,"Species","Country","CO",2224
188146,"Species","Country","EC",2224
188147,"Species","Country","EC",2224
188148,"Species","Country","CR",2224
188149,"Species","Territory","GF",2224
188149,"Species","Country","VE",2224
188150,"Species","Country","EC",2224
188151,"Species","Country","CR",2224
188152,"Species","Country","EC",2224
188153,"Species","Country","EC",2224
188154,"Species","Country","EC",2224
188155,"Species","Country","PE",2224
188156,"Species","Country","CO",2224
188157,"Species","Country","CO",2224
188157,"Species","Country","EC",2224
188157,"Species","Country","PE",2224
188158,"Species","Country","BO",2224
188160,"Species","Country","CO",2224
188161,"Species","Country","EC",2224
188161,"Species","Country","PE",2224
188162,"Species","Country","PE",2224
188164,"Species","Country","EC",2224
188165,"Species","Country","PE",2224
188166,"Species","Country","EC",2224
188166,"Species","Country","PE",2224
188167,"Species","Country","EC",2224
188168,"Species","Country","PE",2224
188169,"Species","Country","CO",2224
188170,"Species","Country","CO",2224
