"DscRecID","Full_citation","Authors","Year","Title","Source","Volume","Number","Publisher"
1348,"IUCN 1964. The ecology of man in the tropical environment. Ninth technical meeting, Nairobi, 17-20 September 1963. (L'ecologie de l'homme dans le milieu tropical.). IUCN Publications New Series No. 4. Morges, IUCN. 355p. Maps.","IUCN",1964,"The ecology of man in the tropical environment. Ninth technical meeting, Nairobi, 17-20 September 1963. (L'ecologie de l'homme dans le milieu tropical.)",,,,"IUCN Publications New Series No. 4. Morges, IUCN. 355p."
1349,"IUCN 1976. Twelfth general assembly, Kinshasa, Zaire, 8-18 September, 1975. Proceedings. Morges: IUCN Publications New Series, Supplementary Paper No. 44-E. 297 pp. (IUCN Publications new series, Suppl. paper no.44-E).","IUCN",1976,"Twelfth general assembly, Kinshasa, Zaire, 8-18 September, 1975. Proceedings.",,,,"IUCN Publications New Series, Supplementary Paper No. 44-E"
1350,"IUCN 1973. Twelfth technical meeting, Banff, Alberta, Canada, 12-15 September 1972. Conservation for development. IUCN Publications New Series No. 28. Morges, IUCN. 383p.","IUCN",1973,"Twelfth technical meeting, Banff, Alberta, Canada, 12-15 September 1972. Conservation for development.",,,,"IUCN Publications New Series No. 28. Morges, IUCN. 383p."
1353,"McEachern, J. & E.L. Towle 1974. Ecological guidelines for island development. IUCN Publications new series No. 30. Morges, IUCN. 65p.","McEachern, J., E.L. Towle",1974,"Ecological guidelines for island development.",,,,"IUCN Publications new series No. 30. Morges, IUCN. 65p."
1354,"Myers, N. 1978. Forests for people. _New Sci._ 80(1134):951-953. Illus. Exploitation of world's tropical forests.","Myers, N.",1978,"Forests for people.","_New Sci._",80,1134,
1357,"Reckin, J. 1978. Vorstellungen uber die Nutzung des Botanischen Gartens aus der Sicht des Biologielehrers. _Gartn.-Bot. Brief_ 58:44-45.","Reckin, J.",1978,"Vorstellungen uber die Nutzung des Botanischen Gartens aus der Sicht des Biologielehrers.","_Gartn.-Bot. Brief_",58,,
1358,"Ripley, S.D. & T.E. Lovejoy 1977. Threatened and endangered species. _Dodo_ 14:9-22.","Ripley, S.D., T.E. Lovejoy",1977,"Threatened and endangered species.","_Dodo_",14,,
1359,"Synge, A.H.M. 1977. Conservation: endangered plant life. _In_ Huxley, A. (ed.). The encyclopedia of the plant kingdom. London, Salamander. 88-97. Illus.","Synge, A.H.M.",1977,"Conservation: endangered plant life.","_In_ Huxley, A. (ed.). The encyclopedia of the plant kingdom. London, Salamander. 88-97.",,,
1362,"Elliott, H. (ed.) 1974. Second World Conference on National Parks. Yellowstone and Grand Teton National Parks, U.S.A., September 18-27, 1972. Morges, IUCN. 504p. Illus.","Elliott, H. (ed.)",1974,"Second World Conference on National Parks. Yellowstone and Grand Teton National Parks, U.S.A., September 18-27, 1972.",,,,"Morges, IUCN. 504p."
1364,"Miller, K.R. 1973. Conservation and development of tropical rain forest areas. _In_ Elliott, H.F.I. (ed.). Twelfth technical meeting, Banff, Alberta, Canada, 12-15 September 1972. Morges, IUCN. 259-270.","Miller, K.R.",1973,"Conservation and development of tropical rain forest areas.","_In_ Elliott, H.F.I. (ed.). Twelfth technical meeting, Banff, Alberta, Canada, 12-15 September 1972. Morges, IUCN. 259-270.",,,
1365,"Odum, W.E. 1976. Ecological guidelines for tropical coastal development. IUCN New Series No. 42. Morges, IUCN. 60p.","Odum, W.E.",1976,"Ecological guidelines for tropical coastal development.",,,,"IUCN New Series No. 42. Morges, IUCN. 60p."
1405,"Thompson, A.R. 1970. A conservation regime for the north - what have the lawyers to offer? pp. _In_ Fuller, W.A., Kevan, P.G. (eds.). Productivity and conservation in northern circumpolar lands. Proceedings of a conference, Edmonton, Alberta, 15-17 October 1969. Morges, IUCN. 301-320.","Thompson, A.R.",1970,"A conservation regime for the north - what have the lawyers to offer?","_In_ Fuller, W.A., Kevan, P.G. (eds.). Productivity and conservation in northern circumpolar lands. Proceedings of a conference, Edmonton, Alberta, 15-17 October 1969. Morges, IUCN. 301-320.",,,
1412,"Howard, A. 1978. Federal-state rare plant news. _Calif. Native Pl. Soc. Bull._ Nov-Dec 1978","Howard, A.",1978,"Federal-state rare plant news.","_Calif. Native Pl. Soc. Bull._","Nov-Dec 1978",,
1414,"Larson, D.W. 1978. The living desert reserve. _Fremontia_ 6(3):28-29. Illus. Palm Desert, California.","Larson, D.W.",1978,"The living desert reserve.","_Fremontia_",6,3,
1437,"Mantilla Mata, J. 1968. A conservation programme for Ecuador. _In_ IUCN. Conservation in Latin America. Proceedings, San Carlos de Bariloche, Argentina, 27 March-2 April 1968. Morges, IUCN. 392-399.","Mantilla Mata, J.",1968,"A conservation programme for Ecuador.","_In_ IUCN. Conservation in Latin America. Proceedings, San Carlos de Bariloche, Argentina, 27 March-2 April 1968. Morges, IUCN. 392-399.",,,
1440,"Numata, M. 1973. Further case studies in selecting and allocating land for nature conservation: South-East Asia. _In_ Costin, A.B., Groves, R.H. (eds.). Nature conservation in the Pacific. Proc. Symposium A-10, XII Pacific Science Congress, Canberra, August-September 1971. IUCN and Australian Nat. Univ. Press. 66-71.","Numata, M.",1973,"Further case studies in selecting and allocating land for nature conservation: South-East Asia.","_In_ Costin, A.B., Groves, R.H. (eds.). Nature conservation in the Pacific. Proc. Symposium A-10, XII Pacific Science Congress, Canberra, August-September 1971. IUCN and Australian Nat. Univ. Press. 66-71.",,,
1442,"Talbot, L.M. 1973. Conservation problems in South-east Asia. _In_ Costin, A.B., Groves, K.H. (eds.). Nature conservation in the Pacific. Proc. Symposium A-10, XII Pacific Science Congress, Canberra, August-September 1971. IUCN and Australian Nat. Univ. Press. 255-262.","Talbot, L.M.",1973,"Conservation problems in South-east Asia.","_In_ Costin, A.B., Groves, K.H. (eds.). Nature conservation in the Pacific. Proc. Symposium A-10, XII Pacific Science Congress, Canberra, August-September 1971. IUCN and Australian Nat. Univ. Press. 255-262.",,,
1482,"Westhoff, V. 1978. No biotype no protection. _Naturopa_ no. 31:7-9. Illus.","Westhoff, V.",1978,"No biotype no protection.","_Naturopa_","no. 31",,
1484,"Lednicky, V. 1978. Znecisteni ovzdusi v Chranene krajinne oblasti Beskydy. _Ziva_ 26(5):164-165. Cz.","Lednicky, V.",1978,"Znecisteni ovzdusi v Chranene krajinne oblasti Beskydy.","_Ziva_",26,5,
1485,"Bock, C. & R. Prelli 1975. Notice explicative de la carte des groupements v̩g̩taux du Cirque de Chaudefour (Monts Dore). _Arvernia Biol. Bot., n.s._ 16:1-26. Fr. Illus., map.","Bock, C., R. Prelli",1975,"Notice explicative de la carte des groupements v̩g̩taux du Cirque de Chaudefour (Monts Dore).","_Arvernia Biol. Bot., n.s._",16,,
1561,"Solheim, W.G. 1976. Endangered Species Act of 1973 - Public Law 93-205. _Pl. Sci. Bull._ 22(3):31-32. Some notes on the Act.","Solheim, W.G.",1976,"Endangered Species Act of 1973 - Public Law 93-205","_Pl. Sci. Bull._",22,3,
1563,"Longo, A.N. 1979. Papel da iniciativa privada na preservacao da flora em Blumenau. _In_ Sociedade Botanica do Brasil. Resumo dos trabalhos do XXX Congresso Nacional de Botanica 21-27 de Janeiro de 1979. Campo Grande - MS. 151. Abstract.","Longo, A.N.",1979,"Papel da iniciativa privada na preservacao da flora em Blumenau.","_In_ Sociedade Botanica do Brasil. Resumo dos trabalhos do XXX Congresso Nacional de Botanica 21-27 de Janeiro de 1979. Campo Grande - MS. 151.",,,
1564,"Meijer, W. 1973. Devastation and regeneration of lowland dipterocarp forests in Southeast Asia. _BioScience_ 23(9):528-533. Illus., map. Deforestation.","Meijer, W.",1973,"Devastation and regeneration of lowland dipterocarp forests in Southeast Asia.","_BioScience_",23,9,
1625,"Steenis, C.G.G.J. 1971. Plant conservation in Malesia. _Bull. Jard. Bot. Nat. Belg._ 41:189-202.","Steenis, C.G.G.J.",1971,"Plant conservation in Malesia.","_Bull. Jard. Bot. Nat. Belg._",41,,
1626,"Raber, D.S. 1977. Notes on the ecology of the Sulu Archipelago. _Pterocarpus_ 3(1):33-41. Map.","Raber, D.S.",1977,"Notes on the ecology of the Sulu Archipelago.","_Pterocarpus_",3,1,
1627,"Naveh, Z. 1971. The conservation of ecological diversity of Mediterranean ecosystems through ecological management. pp. 605-622 _In_ Duffey, E., Watt, A.S. (eds.). The scientific management of animal and plant communities for conservation. The 11th Symposium of the BES, University of East Anglia, Norwich, 7-9 July 1970. Oxford: Blackwell.","Naveh, Z.",1971,"The conservation of ecological diversity of Mediterranean ecosystems through ecological management","_In_ Duffey, E., Watt, A.S. (eds.). The scientific management of animal and plant communities for conservation. The 11th Symposium of the BES, University of East Anglia, Norwich, 7-9 July 1970",,,"Blackwell"
1635,"Ament, J.G. & J.B. Gillett 1975. The vascular plants of Meru National Park, Kenya: 2. Checklist of the vascular plants recorded. _J. East Africa Nat. Hist. Soc. Nat. Mus._ 154:11-34.","Ament, J.G., J.B. Gillett",1975,"The vascular plants of Meru National Park, Kenya: 2. Checklist of the vascular plants recorded.","_J. East Africa Nat. Hist. Soc. Nat. Mus._",154,,
