Species RecID,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation
7493,Species,Country,MX,21424,CITES_EU
7511,Species,Country,MX,21424,CITES_EU
7512,Species,Country,MX,21424,CITES_EU
7517,Species,Country,MX,21424,CITES_EU
7519,Species,Country,MX,21424,CITES_EU
7527,Species,Country,MX,21424,CITES_EU
7531,Species,Country,MX,21424,CITES_EU
7535,Species,Country,MX,21424,CITES_EU
7600,Species,Country,MX,21424,CITES_EU
7600,Species,Country,US,21437,CITES_EU
7605,Species,Country,MX,21424,CITES_EU
7608,Species,Country,MX,21424,CITES_EU
7618,Species,Country,MX,21424,CITES_EU
7625,Species,Country,MX,21424,CITES_EU
7669,Species,Country,MX,21424,CITES_EU
7704,Species,Country,BR,21426,CITES_EU
7706,Species,Country,BR,21426,CITES_EU
7712,Species,Country,FR,15080,CITES_EU
7722,Species,Country,BR,21426,CITES_EU
7837,Species,Country,PH,,CITES_EU
7854,Species,Country,ID,,CITES_EU
7854,Species,Country,MY,,CITES_EU
7864,Species,Country,PH,,CITES_EU
7892,Species,Country,CR,9426,CITES_EU
7892,Species,Country,GT,9009,CITES_EU
7892,Species,Country,GT,9426,CITES_EU
7892,Species,Country,HN,9009,CITES_EU
7892,Species,Country,HN,9426,CITES_EU
7892,Species,Country,MX,9114,CITES_EU
7892,Species,Country,SV,9009,CITES_EU
7892,Species,Country,SV,9426,CITES_EU
7893,Species,Country,MX,,CITES_EU
7893,Species,Country,MX,14244,CITES_EU
7893,Species,Country,MX,9114,CITES_EU
7901,Species,Territory,GF,12625,CITES_EU
7930,Species,Country,PH,,CITES_EU
7944,Species,Country,AU,14227,CITES_EU
7994,Species,Country,MG,21418,CITES_EU
7997,Species,Country,FM,,CITES_EU
7997,Species,Country,PW,,CITES_EU
8001,Species,Country,PG,,CITES_EU
8004,Species,Country,JP,11163,CITES_EU
8004,Species,Country,JP,19134,CITES_EU
8012,Species,Country,CN,,CITES_EU
8012,Species,Country,CN,22075,CITES_EU
8016,Species,Country,CN,,CITES_EU
8016,Species,Country,CN,22075,CITES_EU
8027,Species,Country,BO,,CITES_EU
8027,Species,Country,PE,,CITES_EU
8030,Species,Country,CO,,CITES_EU
8031,Species,Country,BR,12616,CITES_EU
8031,Species,Country,BR,12625,CITES_EU
8034,Species,Country,CO,12612,CITES_EU
8034,Species,Country,CO,12616,CITES_EU
8035,Species,Country,BO,,CITES_EU
8035,Species,Country,BO,12621,CITES_EU
8035,Species,Country,BR,,CITES_EU
8035,Species,Country,BR,12621,CITES_EU
8035,Species,Country,BR,22075,CITES_EU
8035,Species,Country,CO,12616,CITES_EU
8035,Species,Country,CO,12621,CITES_EU
8035,Species,Country,CR,22184,CITES_EU
8035,Species,Country,DO,,CITES_EU
8035,Species,Country,DO,12621,CITES_EU
8035,Species,Country,EC,,CITES_EU
8035,Species,Country,EC,10538,CITES_EU
8035,Species,Territory,GF,12621,CITES_EU
8035,Species,Country,GY,12616,CITES_EU
8035,Species,Country,GY,12621,CITES_EU
8035,Species,Country,HT,,CITES_EU
8035,Species,Country,HT,12621,CITES_EU
8035,Species,Country,PA,,CITES_EU
8035,Species,Country,PA,10538,CITES_EU
8035,Species,Country,PE,,CITES_EU
8035,Species,Territory,PR,12621,CITES_EU
8035,Species,Country,SR,,CITES_EU
8035,Species,Country,SR,18176,CITES_EU
8035,Species,Country,VE,12616,CITES_EU
8035,Species,Country,VE,12621,CITES_EU
8036,Species,Territory,AN,22075,CITES_EU
8036,Species,Country,BB,22075,CITES_EU
8036,Species,Country,BR,12616,CITES_EU
8036,Species,Country,BR,22075,CITES_EU
8036,Species,Country,CO,12616,CITES_EU
8036,Species,Country,CU,22075,CITES_EU
8036,Species,Country,DM,22075,CITES_EU
8036,Species,Country,EC,22075,CITES_EU
8036,Species,Country,GD,22075,CITES_EU
8036,Species,Territory,GP,22075,CITES_EU
8036,Species,Country,HT,22075,CITES_EU
8036,Species,Country,JM,22075,CITES_EU
8036,Species,Country,KN,12616,CITES_EU
8036,Species,Country,KN,8767,CITES_EU
8036,Species,Country,LC,12616,CITES_EU
8036,Species,Country,LC,8767,CITES_EU
8036,Species,Territory,MQ,8767,CITES_EU
8036,Species,Territory,MS,8767,CITES_EU
8036,Species,Country,MX,,CITES_EU
8036,Species,Country,MX,19868,CITES_EU
8036,Species,Country,MX,22075,CITES_EU
8036,Species,Country,MY,22075,CITES_EU
8036,Species,Country,NI,22075,CITES_EU
8036,Species,Territory,PR,22075,CITES_EU
8036,Species,Country,VC,12616,CITES_EU
8036,Species,Country,VC,8767,CITES_EU
8036,Species,Country,VE,22075,CITES_EU
8036,Species,Territory,VG,22075,CITES_EU
8037,Species,Country,BO,12612,CITES_EU
8037,Species,Country,BO,12616,CITES_EU
8044,Species,Country,EC,,CITES_EU
8044,Species,Country,EC,12612,CITES_EU
8045,Species,Country,CO,,CITES_EU
