Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
Arnica,Genus,86,Family,28,A,L.,,CITES_EU
Arnottia,Genus,87,Family,4,A,A. Rich.,,CITES_EU
Arpophyllum,Genus,88,Family,4,A,La Llave & Lex.,,CITES_EU
Arrojadoa,Genus,89,Family,3,A,Britton & Rose,,CITES_EU
Arthrocereus,Genus,90,Family,3,A,A. Berger & F. Knuth,,CITES_EU
Arthrochilus,Genus,91,Family,4,A,F. Muell.,,CITES_EU
Artorima,Genus,92,Family,4,A,Dressler & Pollard,,CITES_EU
Arundina,Genus,93,Family,4,A,Blume,,CITES_EU
Ascarina,Genus,94,Family,29,A,J.R. & G. Forst.,,CITES_EU
Ascocentrum,Genus,96,Family,4,A,Schlechter,,CITES_EU
Ascochilus,Genus,98,Family,4,A,Ridl.,,CITES_EU
Ascoglossum,Genus,99,Family,4,A,Schlechter,,CITES_EU
Aspasia,Genus,100,Family,4,A,Lindl.,,CITES_EU
Astrophytum,Genus,102,Family,3,A,Lem.,,CITES_EU
Austrocactus,Genus,106,Family,3,A,Britton & Rose,,CITES_EU
Avonia,Genus,108,Family,22,A,(E.Mey ex Fenzl.) G.D.Rowley,,CITES_EU
Aztekium,Genus,109,Family,3,A,Bodeker,,CITES_EU
Banksia,Genus,112,Family,32,A,L.f.,,CITES_EU
Barbosella,Genus,113,Family,4,A,Schlechter,,CITES_EU
Barkeria,Genus,115,Family,4,A,Knowles & Westc.,,CITES_EU
Barlia,Genus,116,Family,4,A,Parl.,,CITES_EU
Barlia,Genus,117,Family,4,A,Schltr.,,CITES_EU
Bartholina,Genus,118,Family,4,A,R. Br.,,CITES_EU
Basiphyllaea,Genus,120,Family,4,A,Schlechter,,CITES_EU
Batocarpus,Genus,123,Family,33,A,Karst.,,CITES_EU
Beadlea,Genus,124,Family,4,A,Small,,CITES_EU
Beccariophoenix,Genus,125,Family,27,A,Jum. & H. Perrier,,CITES_EU
Beclardia,Genus,126,Family,4,A,A. Rich.,,CITES_EU
Beloglottis,Genus,127,Family,4,A,Schlechter,,CITES_EU
Bergerocactus,Genus,130,Family,3,A,Britton & Rose,,CITES_EU
Biarum,Genus,131,Family,9,A,Schott,,CITES_EU
Biermannia,Genus,132,Family,4,A,King & Pantling,,CITES_EU
Bifrenaria,Genus,133,Family,4,A,Lindl.,,CITES_EU
Bipinnula,Genus,135,Family,4,A,Comm. ex Juss.,,CITES_EU
Bletia,Genus,136,Family,4,A,Ruiz & Pav.,,CITES_EU
Bletilla,Genus,137,Family,4,A,Reichb.f.,,CITES_EU
Blossfeldia,Genus,138,Family,3,A,Werderm.,,CITES_EU
Bogoria,Genus,139,Family,4,A,J.J. Smith,,CITES_EU
Bollea,Genus,140,Family,4,A,Reichb.f.,,CITES_EU
Bolusiella,Genus,141,Family,4,A,Schlechter,,CITES_EU
Bonatea,Genus,142,Family,4,A,Willd.,,CITES_EU
Bonniera,Genus,143,Family,4,A,Cordemoy,,CITES_EU
Boronia,Genus,144,Family,34,A,J.E. Smith,,CITES_EU
Bothriochilus,Genus,145,Family,4,A,Lem.,,CITES_EU
Bowenia,Genus,146,Family,35,A,Hook.,,CITES_EU
Brachionidium,Genus,147,Family,4,A,Lindl.,,CITES_EU
Brachycereus,Genus,149,Family,3,A,Britton & Rose,,CITES_EU
Brachycorythis,Genus,150,Family,4,A,Lindl.,,CITES_EU
Brachypeza,Genus,151,Family,4,A,Schltr. ex Garay,,CITES_EU
Brachystele,Genus,152,Family,4,A,Schlechter,,CITES_EU
Brasilicereus,Genus,154,Family,3,A,Backeb.,,CITES_EU
Brassavola,Genus,155,Family,4,A,R. Br.,,CITES_EU
Brassia,Genus,156,Family,4,A,R. Br.,,CITES_EU
Briegeria,Genus,157,Family,4,A,Senghas,,CITES_EU
Bromheadia,Genus,158,Family,4,A,Lindl.,,CITES_EU
Broughtonia,Genus,159,Family,4,A,R. Br.,,CITES_EU
Browningia,Genus,160,Family,3,A,Britton & Rose,,CITES_EU
Bulbophyllum,Genus,163,Family,4,A,Thouars,,CITES_EU
Bulleyia,Genus,164,Family,4,A,Schlechter,,CITES_EU
Bulnesia,Genus,165,Family,36,A,C. Gay,,CITES_EU
Burnettia,Genus,166,Family,4,A,Lindl.,,CITES_EU
Byblis,Genus,168,Family,37,A,Salisb.,,CITES_EU
Cadetia,Genus,169,Family,4,A,Gaudich.,,CITES_EU
Caesalpinia,Genus,170,Family,19,A,L.,,CITES_EU
Caladenia,Genus,171,Family,4,A,R. Br.,,CITES_EU
Calanthe,Genus,172,Family,4,A,Ker-Gawl.,,CITES_EU
Calibanus,Genus,174,Family,20,A,Rose,,CITES_EU
Calochilus,Genus,175,Family,4,A,R. Br.,,CITES_EU
Calochlaena,Genus,176,Family,38,A,(Maxon) R.A. White,,CITES_EU
Calymmanthium,Genus,180,Family,3,A,Ritter,,CITES_EU
Calypso,Genus,181,Family,4,A,Salisb.,,CITES_EU
Calyptrochilum,Genus,182,Family,4,A,Kraenzl.,,CITES_EU
Camarotis,Genus,183,Family,4,A,Lindl.,,CITES_EU
Camellia,Genus,184,Family,39,A,L.,,CITES_EU
Campylocentrum,Genus,185,Family,4,A,Benth.,,CITES_EU
Carnegiea,Genus,187,Family,3,A,B. & R.,,CITES_EU
Caryocar,Genus,188,Family,40,A,L.,,CITES_EU
Caryopteris,Genus,189,Family,41,A,Bunge,,CITES_EU
Catasetum,Genus,191,Family,4,A,Rich.,,CITES_EU
Cattleya,Genus,192,Family,4,A,Lindl.,,CITES_EU
Cattleyopsis,Genus,193,Family,4,A,Lem.,,CITES_EU
Caularthron,Genus,195,Family,4,A,Rafin.,,CITES_EU
Cedrela,Genus,196,Family,42,A,P. Br.,,CITES_EU
Centroglossa,Genus,198,Family,4,A,Barb.Rodr.,,CITES_EU
Centrostigma,Genus,199,Family,4,A,Schlechter,,CITES_EU
Cephalanthera,Genus,200,Family,4,A,Rich.,,CITES_EU
Cephalantheropsis,Genus,201,Family,4,A,Guillaumin,,CITES_EU
Cephalocereus,Genus,202,Family,3,A,Pfeiffer,,CITES_EU
Cephalocleistocactus,Genus,203,Family,3,A,Ritter,,CITES_EU
Cephalotus,Genus,204,Family,44,A,Labill.,,CITES_EU
Ceraria,Genus,205,Family,22,A,Pearson & Stephens,,CITES_EU
Ceratandra,Genus,206,Family,4,A,Eckl. ex Bauer,,CITES_EU
Ceratocentron,Genus,207,Family,4,A,Senghas,,CITES_EU
Ceratostylis,Genus,209,Family,4,A,Blume,,CITES_EU
Ceratozamia,Genus,210,Family,13,A,Brongn.,,CITES_EU
Cereus,Genus,211,Family,3,A,Mill.,,CITES_EU
Ceropegia,Genus,212,Family,15,A,L.,,CITES_EU
Chamaeangis,Genus,214,Family,4,A,Schlechter,,CITES_EU
Chamaeanthus,Genus,215,Family,4,A,Schlechter ex J.J. Sm.,,CITES_EU
Chamaesyce,Genus,217,Family,10,A,Gray,,CITES_EU
Chamorchis,Genus,219,Family,4,A,Rich.,,CITES_EU
Changnienia,Genus,220,Family,4,A,Chien,,CITES_EU
Chaseella,Genus,221,Family,4,A,Summerh.,,CITES_EU
Chaubardia,Genus,222,Family,4,A,Reichb.f.,,CITES_EU
Chaubardiella,Genus,223,Family,4,A,Garay,,CITES_EU
Chauliodon,Genus,224,Family,4,A,Summerh.,,CITES_EU
Cheirorchis,Genus,226,Family,4,A,C.E. Carr,,CITES_EU
Cheirostylis,Genus,227,Family,4,A,Blume,,CITES_EU
Chelonistele,Genus,228,Family,4,A,Pfitzer,,CITES_EU
Chigua,Genus,229,Family,13,A,D.W. Stev.,,CITES_EU
Chiloglottis,Genus,230,Family,4,A,R. Br.,,CITES_EU
Chiloschista,Genus,231,Family,4,A,Lindl.,,CITES_EU
Chloraea,Genus,233,Family,4,A,Lindl.,,CITES_EU
Chloranthus,Genus,234,Family,29,A,Sw.,,CITES_EU
Chondrorhyncha,Genus,235,Family,4,A,Lindl.,,CITES_EU
Christensonia,Genus,236,Family,4,A,Haager 1993,,CITES_EU
Chroniochilus,Genus,237,Family,4,A,J.J. Smith,,CITES_EU
Chrysalidocarpus,Genus,238,Family,27,A,H.A. Wendl.,,CITES_EU
Chrysocycnis,Genus,239,Family,4,A,Linden & Reichb.f.,,CITES_EU
Chrysoglossum,Genus,240,Family,4,A,Blume,,CITES_EU
Chusua,Genus,241,Family,4,A,Nevski,,CITES_EU
Chysis,Genus,242,Family,4,A,Lindl.,,CITES_EU
Cibotium,Genus,244,Family,38,A,Kaulf.,,CITES_EU
Cintia,Genus,245,Family,3,A,K.Kníže & J.?íha,,CITES_EU
Cipocereus,Genus,246,Family,3,A,Ritter,,CITES_EU
Cirrhopetalum,Genus,248,Family,4,A,Lindl.,,CITES_EU
Cischweinfia,Genus,249,Family,4,A,Dressler & N.H. Williams,,CITES_EU
Cistanche,Genus,250,Family,46,A,Hoffmanns. & Link,,CITES_EU
Cleisostoma,Genus,254,Family,4,A,Blume,,CITES_EU
Cleisostomopsis,Genus,255,Family,4,A,Seidenfaden 1992,,CITES_EU
Cleistes,Genus,256,Family,4,A,Rich. ex Lindl.,,CITES_EU
Cleistocactus,Genus,257,Family,3,A,Lem.,,CITES_EU
Cleistocana,Genus,258,Family,3,A,,,CITES_EU
Clematepistephium,Genus,259,Family,4,A,N. Halle,,CITES_EU
Clowesia,Genus,260,Family,4,A,Lindl.,,CITES_EU
Cnemidaria,Genus,261,Family,1,A,C. Presl,,CITES_EU
Coccineorchis,Genus,262,Family,4,A,Schlechter,,CITES_EU
Cochleanthes,Genus,263,Family,4,A,Rafin.,,CITES_EU
Codonosiphon,Genus,266,Family,4,A,Schlechter,,CITES_EU
Coelia,Genus,267,Family,4,A,Lindl.,,CITES_EU
Coeliopsis,Genus,268,Family,4,A,Reichb.f.,,CITES_EU
Coeloglossum,Genus,269,Family,4,A,Hartm.,,CITES_EU
Coelogyne,Genus,270,Family,4,A,Lindl.,,CITES_EU
Coilochilus,Genus,272,Family,4,A,Schlechter,,CITES_EU
Coleocephalocereus,Genus,273,Family,3,A,Backeb.,,CITES_EU
Collabium,Genus,274,Family,4,A,Blume,,CITES_EU
Comparettia,Genus,276,Family,4,A,Poepp. & Endl.,,CITES_EU
Comperia,Genus,277,Family,4,A,K. Koch,,CITES_EU
Conospermum,Genus,279,Family,32,A,J.E. Smith,,CITES_EU
Constantia,Genus,280,Family,4,A,Barb.Rodr.,,CITES_EU
Copiapoa,Genus,281,Family,3,A,Britton & Rose,,CITES_EU
Corallorhiza,Genus,282,Family,4,A,Châtel.,,CITES_EU
Corallorrhiza,Genus,283,Family,4,A,Gagnebin,,CITES_EU
Cordiglottis,Genus,285,Family,4,A,J.J. Smith,,CITES_EU
Corryocactus,Genus,286,Family,3,A,Britton & Rose,,CITES_EU
Coryanthes,Genus,287,Family,4,A,Hook.,,CITES_EU
Corybas,Genus,288,Family,4,A,Salisb.,,CITES_EU
Corycium,Genus,289,Family,4,A,Sw.,,CITES_EU
Corymborkis,Genus,290,Family,4,A,Thouars,,CITES_EU
Coryphantha,Genus,291,Family,3,A,(Engelm.) Lem.,,CITES_EU
Cottonia,Genus,292,Family,4,A,Wight,,CITES_EU
Cranichis,Genus,293,Family,4,A,Sw.,,CITES_EU
Cremastra,Genus,294,Family,4,A,Lindl.,,CITES_EU
Cryptanthemis,Genus,298,Family,4,A,Rupp,,CITES_EU
Cryptarrhena,Genus,299,Family,4,A,R. Br.,,CITES_EU
Cryptocentrum,Genus,300,Family,4,A,Benth.,,CITES_EU
Cryptochilus,Genus,301,Family,4,A,Wall.,,CITES_EU
Cryptophoranthus,Genus,302,Family,4,A,Barb.Rodr.,,CITES_EU
Cryptopus,Genus,303,Family,4,A,Lindl.,,CITES_EU
Cryptostylis,Genus,305,Family,4,A,R. Br.,,CITES_EU
Cuitlauzina,Genus,306,Family,4,A,La Llave & Lex.,,CITES_EU
