Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation
inconstans,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
incumbens,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
incurvatum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
ingratum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
integrilabium,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
integrum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
interruptum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
ischnopetalum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
ischnophyton,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
isochiloides,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
isthmiferum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
iteratum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
jadunae,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
janowskyi,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
jennae,SPECIES,,GENUS,13382,A,P.O'Byrne,,CITES_EU
jennyanum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
judithiae,SPECIES,,GENUS,13382,A,P.O'Byrne,,CITES_EU
juniperinum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
kanakorum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
kaniense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
karoense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
katherinae,SPECIES,,GENUS,13382,A,A.D.Hawkes,,CITES_EU
kelsallii,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
kempterianum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
kentrochilum,SPECIES,,GENUS,13382,A,Hook.f.,,CITES_EU
kerstingianum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
khasianum,SPECIES,,GENUS,13382,A,Deori,,CITES_EU
kietaense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
kirchianum,SPECIES,,GENUS,13382,A,A.D.Hawkes & A.H.Heller,,CITES_EU
kjellbergii,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
klossii,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
koordersii,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
kurashigei,SPECIES,,GENUS,13382,A,T.Yukawa,,CITES_EU
kuyperi,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
labangense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
labuanum,SPECIES,,GENUS,13382,A,Lindl.,,CITES_EU
laceratum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
lacteum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
lageniforme,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
lagorum,SPECIES,,GENUS,13382,A,P.Royen,,CITES_EU
lamproglossum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
lanceolatum,SPECIES,,GENUS,13382,A,Gaudich.,,CITES_EU
lankaviense,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
latelabellatum,SPECIES,,GENUS,13382,A,Gilli,,CITES_EU
latoureoides,SPECIES,,GENUS,13382,A,(Schltr.) J.J.Sm.,,CITES_EU
laurifolium,SPECIES,,GENUS,13382,A,(Kraenzl.) J.J.Sm.,,CITES_EU
ledifolium,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
leeanum,SPECIES,,GENUS,13382,A,O'Brien,,CITES_EU
legareiense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
lepidochilum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
levatii,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
leytense,SPECIES,,GENUS,13382,A,Ames,,CITES_EU
loherianum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
lonchigerum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
longicaule,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
macraporum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
macrolobum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
macrostigma,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
maculosum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
maidenianum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
malacanthum,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
maleolens,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
maliliense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
maluense,SPECIES,,GENUS,13382,A,(Schltr.) J.J.Sm.,,CITES_EU
mamberamense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
margaretiae,SPECIES,,GENUS,13382,A,T.M.Reeve,,CITES_EU
masonii,SPECIES,,GENUS,13382,A,Rupp,,CITES_EU
mastersianum,SPECIES,,GENUS,13382,A,F.Muell. & Kraenzl.,,CITES_EU
megalanthum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
mekynosepalum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
melanostictum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
melanotrichum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
meliodorum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
mellicolor,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
micholitzii,SPECIES,,GENUS,13382,A,Rolfe ex Ames,,CITES_EU
micronephelium,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
minimiflorum,SPECIES,,GENUS,13382,A,Gilli,,CITES_EU
minjemense,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
mirandum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
mischobulbum,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
montedeakinense,SPECIES,,GENUS,13382,A,F.M.Bailey,,CITES_EU
montis-sellae,SPECIES,,GENUS,13382,A,Kraenzl.,,CITES_EU
moquetteanum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
morotaiense,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
morrisonii,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
multifolium,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
multistriatum,SPECIES,,GENUS,13382,A,J.J.Sm.,,CITES_EU
nakaharae,SPECIES,,GENUS,13382,A,Schltr.,,CITES_EU
nanocompactum,SPECIES,,GENUS,13382,A,Seidenf.,,CITES_EU
nanum,SPECIES,,GENUS,13382,A,Hook.f.,,CITES_EU
nareshbahadurii,SPECIES,,GENUS,13382,A,H.B.Naithani,,CITES_EU
nativitatis,SPECIES,,GENUS,13382,A,Ridl.,,CITES_EU
neglectum,SPECIES,,GENUS,13382,A,Gagnep.,,CITES_EU
