Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
albomaculatus,SPECIES,,GENUS,98458,S,"Plucàr, 1846",,CITES_EU,SPECIES,105033
canis,SPECIES,,GENUS,98458,S,"Mitchill, 1815",,CITES_EU,SPECIES,105035
fasciatus,SPECIES,,GENUS,104831,S,"Garman, 1913",,CITES_EU,SPECIES,105037
striatus,SPECIES,,GENUS,104833,S,"Devincenzi, 1920",,CITES_EU,SPECIES,105037
kanekonis,SPECIES,,GENUS,104833,S,"(Tanaka, 1916)",,CITES_EU,SPECIES,105038
manazo,SPECIES,,GENUS,104831,S,"(Bleeker, 1854)",,CITES_EU,SPECIES,105043
mento,SPECIES,,GENUS,104831,S,"(Cope, 1877)",,CITES_EU,SPECIES,105044
edulis,SPECIES,,GENUS,104833,S,"Pérez Canto, 1886",,CITES_EU,SPECIES,105044
abbotti,SPECIES,,GENUS,104833,S,"Evermann & Radcliffe, 1917",,CITES_EU,SPECIES,105044
mediterraneus,SPECIES,,GENUS,104833,S,"Quignard & Capapé, 1972",,CITES_EU,SPECIES,105049
maculata,SPECIES,,GENUS,98462,S,"Ehrenberg, 1829",,CITES_EU,SPECIES,98257
granulosus,SPECIES,,GENUS,98458,S,"Bloch & Schneider, 1801",,CITES_EU,SPECIES,105059
acus,SPECIES,,GENUS,105056,S,"Garman, 1906",,CITES_EU,SPECIES,105059
steindachneri,SPECIES,,GENUS,105056,S,"Pietschmann, 1907",,CITES_EU,SPECIES,105059
drygalskii,SPECIES,,GENUS,105056,S,"Engelhardt, 1912",,CITES_EU,SPECIES,105059
niaukang,SPECIES,,GENUS,105056,S,"Teng, 1959",,CITES_EU,SPECIES,105059
scalpratus,SPECIES,,GENUS,105056,S,"McCulloch, 1915",,CITES_EU,SPECIES,105065
squamosus,SPECIES,,GENUS,98458,S,"Bonaterre, 1788",,CITES_EU,SPECIES,105067
foliaceus,SPECIES,,GENUS,105056,S,"Günther, 1877",,CITES_EU,SPECIES,105067
nilsoni,SPECIES,,GENUS,105056,S,"Thompson, 1930",,CITES_EU,SPECIES,105067
ferrugineus,SPECIES,,GENUS,105056,S,"Meng, Hu & Li, 1982",,CITES_EU,SPECIES,105067
robustus,SPECIES,,GENUS,105056,S,"Deng, Xiong & Zhan, 1985",,CITES_EU,SPECIES,105067
uyato,SPECIES,,GENUS,98458,S,"Rafinesque, 1810",,CITES_EU,SPECIES,105069
bragancae,SPECIES,,GENUS,105056,S,"Regan, 1906",,CITES_EU,SPECIES,105069
machiquensis,SPECIES,,GENUS,105056,S,"Maul, 1955",,CITES_EU,SPECIES,105069
zeehaani,SPECIES,,GENUS,105056,S,"White, Ebert & Compagno, 2008",,CITES_EU,SPECIES,105069
crepidalbus,SPECIES,,GENUS,105056,S,"Barbosa du Bocage & de Brito Capello, 1864",,CITES_EU,SPECIES,105072
