Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade, Designation
Panisea,Genus,800,22223,,N,CITES
Paphinia,Genus,801,22223,,N,CITES
Papilionanthe,Genus,803,22223,,N,CITES
Papillilabium,Genus,804,22223,,N,CITES
Papperitzia,Genus,805,22223,,N,CITES
Pecteilis,Genus,813,22223,,N,CITES
Pedilochilus,Genus,814,22223,,N,CITES
Pelatantheria,Genus,816,22223,,N,CITES
Pelexia,Genus,818,22223,,N,CITES
Pennilabium,Genus,820,22223,,N,CITES
Pericopsis,Genus,823,22223,,N,CITES
Peristeria,Genus,825,22223,,N,CITES
Peristylus,Genus,826,22223,,N,CITES
Pescatoria,Genus,828,22223,,N,CITES
Phaius,Genus,829,22223,,N,CITES
Phoenix,Genus,831,22223,,N,CITES
Pholidota,Genus,832,22223,,N,CITES
Phreatia,Genus,835,22223,,N,CITES
Phymatidium,Genus,836,22223,,N,CITES
Physoceras,Genus,838,22223,,N,CITES
Picrorhiza,Genus,840,22223,,N,CITES
Pilgerodendron,Genus,841,22223,,N,CITES
Pimelea,Genus,844,22223,,N,CITES
Pinus,Genus,846,22223,,N,CITES
Piperia,Genus,847,22223,,N,CITES
Pityphyllum,Genus,848,22223,,N,CITES
Platanthera,Genus,849,22223,,N,CITES
Platycoryne,Genus,850,22223,,N,CITES
Platyglottis,Genus,851,22223,,N,CITES
Platylepis,Genus,852,22223,,N,CITES
Platymiscium,Genus,853,22223,,N,CITES
Platystele,Genus,855,22223,,N,CITES
Platythelys,Genus,856,22223,,N,CITES
Plectorrhiza,Genus,857,22223,,N,CITES
Plectrelminthus,Genus,858,22223,,N,CITES
Pleurothallis,Genus,861,22223,,N,CITES
Plocoglottis,Genus,862,22223,,N,CITES
Poaephyllum,Genus,863,22223,,N,CITES
Podangis,Genus,864,22223,,N,CITES
Podocarpus,Genus,865,22223,,N,CITES
Podochilus,Genus,866,22223,,N,CITES
Podophyllum,Genus,867,22223,,N,CITES
Pogonia,Genus,868,22223,,N,CITES
Polystachya,Genus,874,22223,,N,CITES
Pomatocalpa,Genus,875,22223,,N,CITES
Ponera,Genus,876,22223,,N,CITES
Ponthieva,Genus,877,22223,,N,CITES
Porpax,Genus,879,22223,,N,CITES
Porphyrodesme,Genus,880,22223,,N,CITES
Porroglossum,Genus,883,22223,,N,CITES
Prasophyllum,Genus,886,22223,,N,CITES
Prepusa,Genus,887,22223,,N,CITES
Prescottia,Genus,888,22223,,N,CITES
Pristiglottis,Genus,889,22223,,N,CITES
Promenaea,Genus,890,22223,,N,CITES
Protea,Genus,892,22223,,N,CITES
Prunus,Genus,894,22223,,N,CITES
Pseuderia,Genus,896,22223,,N,CITES
Pseudocentrum,Genus,898,22223,,N,CITES
Pseudocranichis,Genus,899,22223,,N,CITES
Pseudogoodyera,Genus,900,22223,,N,CITES
Pseudolaelia,Genus,901,22223,,N,CITES
Pseudorchis,Genus,904,22223,,N,CITES
Psilochilus,Genus,907,22223,,N,CITES
Psychilis,Genus,908,22223,,N,CITES
Pterichis,Genus,912,22223,,N,CITES
Pterocarpus,Genus,914,22223,,N,CITES
Pteroceras,Genus,915,22223,,N,CITES
Pteroglossa,Genus,916,22223,,N,CITES
Pteroglossaspis,Genus,917,22223,,N,CITES
Pterostylis,Genus,919,22223,,N,CITES
Pterygodium,Genus,920,22223,,N,CITES
Pterygota,Genus,921,22223,,N,CITES
Quercus,Genus,925,22223,,N,CITES
Quisqueya,Genus,928,22223,,N,CITES
Rangaeris,Genus,929,22223,,N,CITES
Rauhiella,Genus,930,22223,,N,CITES
Rauvolfia,Genus,932,22223,,N,CITES
Ravenea,Genus,933,22223,,N,CITES
Restrepia,Genus,939,22223,,N,CITES
Restrepiopsis,Genus,941,22223,,N,CITES
Rhinerrhiza,Genus,944,22223,,N,CITES
Rhizanthella,Genus,947,22223,,N,CITES
Rhyncholaelia,Genus,949,22223,,N,CITES
Ribes,Genus,953,22223,,N,CITES
Ridleyella,Genus,954,22223,,N,CITES
Risleya,Genus,956,22223,,N,CITES
Robiquetia,Genus,957,22223,,N,CITES
Rodriguezia,Genus,958,22223,,N,CITES
Rudolfiella,Genus,965,22223,,N,CITES
Rusbyella,Genus,966,22223,,N,CITES
Saccoglossum,Genus,967,22223,,N,CITES
Saccolabiopsis,Genus,968,22223,,N,CITES
Saccolabium,Genus,969,22223,,N,CITES
Sacoila,Genus,970,22223,,N,CITES
Salacca,Genus,971,22223,,N,CITES
Sarcanthopsis,Genus,976,22223,,N,CITES
Sarcochilus,Genus,978,22223,,N,CITES
Sarcoglottis,Genus,979,22223,,N,CITES
Sarcostoma,Genus,982,22223,,N,CITES
Satyridium,Genus,985,22223,,N,CITES
Satyrium,Genus,986,22223,,N,CITES
Saussurea,Genus,989,22223,,N,CITES
Scaphosepalum,Genus,990,22223,,N,CITES
Scaphyglottis,Genus,991,22223,,N,CITES
Scelochilus,Genus,993,22223,,N,CITES
Schiedeella,Genus,994,22223,,N,CITES
Schistotylus,Genus,995,22223,,N,CITES
Schizochilus,Genus,996,22223,,N,CITES
Schizodium,Genus,997,22223,,N,CITES
Schlimmia,Genus,998,22223,,N,CITES
Schoenorchis,Genus,1000,22223,,N,CITES
Schomburgkia,Genus,1001,22223,,N,CITES
Scuticaria,Genus,1003,22223,,N,CITES
Sedirea,Genus,1004,22223,,N,CITES
Seidenfadenia,Genus,1005,22223,,N,CITES
Selaginella,Genus,1006,22223,,N,CITES
Selenipedium,Genus,1008,22223,,N,CITES
Serapias,Genus,1009,22223,,N,CITES
Shortia,Genus,1010,22223,,N,CITES
Sievekingia,Genus,1011,22223,,N,CITES
Sigmatostalix,Genus,1012,22223,,N,CITES
Silene,Genus,1013,22223,,N,CITES
Silvorchis,Genus,1014,22223,,N,CITES
Skeptrostachys,Genus,1017,22223,,N,CITES
Smithorchis,Genus,1018,22223,,N,CITES
Smithsonia,Genus,1019,22223,,N,CITES
Smitinandia,Genus,1020,22223,,N,CITES
Sobennikoffia,Genus,1021,22223,,N,CITES
Sobralia,Genus,1022,22223,,N,CITES
Solanum,Genus,1023,22223,,N,CITES
Solenangis,Genus,1024,22223,,N,CITES
Solenocentrum,Genus,1027,22223,,N,CITES
Soterosanthus,Genus,1031,22223,,N,CITES
Spathoglottis,Genus,1032,22223,,N,CITES
Sphyrastylis,Genus,1036,22223,,N,CITES
Spiranthes,Genus,1038,22223,,N,CITES
Stanhopea,Genus,1041,22223,,N,CITES
Staurochilus,Genus,1042,22223,,N,CITES
Stelis,Genus,1043,22223,,N,CITES
Stellaria,Genus,1044,22223,,N,CITES
Stellilabium,Genus,1045,22223,,N,CITES
Stenia,Genus,1046,22223,,N,CITES
Stenoglottis,Genus,1049,22223,,N,CITES
Stenorrhynchos,Genus,1051,22223,,N,CITES
Stereochilus,Genus,1054,22223,,N,CITES
Steveniella,Genus,1058,22223,,N,CITES
Stolzia,Genus,1062,22223,,N,CITES
Suarezia,Genus,1064,22223,,N,CITES
Summerhayesia,Genus,1065,22223,,N,CITES
Sunipia,Genus,1066,22223,,N,CITES
Swietenia,Genus,1068,22223,,N,CITES
Systeloglossum,Genus,1071,22223,,N,CITES
Tachigali,Genus,1072,22223,,N,CITES
Taeniophyllum,Genus,1074,22223,,N,CITES
Tainia,Genus,1076,22223,,N,CITES
Teagueia,Genus,1081,22223,,N,CITES
Telipogon,Genus,1082,22223,,N,CITES
