Date,Manual ID,Title,Lang,Master Document,Volume,Type,General/ Part,PDF Filename trimmed
1987,A-111.002.008.004,CITES ID Manual - Cephalorhynchus hectori,EN,,1,CITES ID Manual,General,A-111.002.008.004 Cephalorhynchus hectori_E.pdf
1987,A-111.002.008.004,Manual de identificación de la CITES - Cephalorhynchus hectori,ES,A-111.002.008.004,1,CITES ID Manual,General,A-111.002.008.004 Cephalorhynchus hectori_S.pdf
1983,A-118.003.001.001,CITES ID Manual - Ceratotherium simum,EN,,1,CITES ID Manual,General,A-118.003.001.001 Ceratotherium simum simum_E.pdf
1983,A-118.003.001.001,Manual de identificación de la CITES - Ceratotherium simum,ES,A-118.003.001.001,1,CITES ID Manual,General,A-118.003.001.001 Ceratotherium simum_S.pdf
1987,A-106.008.001.000,CITES ID Manual - Cercocebus - Identification key,EN,,1,CITES ID Manual,General,A-106.008.001.000 Cercopithecidae identification aid_E.pdf
1987,A-106.008.001.000,Manual de identificación de la CITES - Cercocebus - Guía de identificación,ES,A-106.008.001.000,1,CITES ID Manual,General,A-106.008.001.000 Cercopithecidae identification aid_S.pdf
1987,A-106.008.001.003,CITES ID Manual - Cercocebus galeritus,EN,,1,CITES ID Manual,General,A-106.008.001.003 Cercocebus galeritus_E.pdf
1987,A-106.008.001.003,Manual de identificación de la CITES - Cercocebus galeritus,ES,A-106.008.001.003,1,CITES ID Manual,General,A-106.008.001.003 Cercocebus galeritus_S.pdf
1987,A-106.008.001.004,CITES ID Manual - Cercocebus torquatus,EN,,1,CITES ID Manual,General,A-106.008.001.004 Cercocebus torquatus_E.pdf
1987,A-106.008.001.004,Manual de identificación de la CITES - Cercocebus torquatus,ES,A-106.008.001.004,1,CITES ID Manual,General,A-106.008.001.004 Cercocebus torquatus_S.pdf
1987,A-106.008.000.001,CITES ID Manual - Cercopithecidae,EN,,1,CITES ID Manual,General,A-106.008.000.001 Cercopithecidae General Notes_E.pdf
1987,A-106.008.000.001,Manual de identificación de la CITES - Cercopithecidae,ES,A-106.008.000.001,1,CITES ID Manual,General,A-106.008.000.001 Cercopithecidae general notes_S.pdf
1987,A-106.008.006.000,CITES ID Manual - Cercopithecidae,EN,,1,CITES ID Manual,General,A-106.008.006.000 Colobinae general notes_E.pdf
1987,A-106.008.006.000,Manual de identificación de la CITES - Cercopithecidae,ES,A-106.008.006.000,1,CITES ID Manual,General,A-106.008.006.000 Colobinae general notes_S.pdf
1987,A-106.008.006.000b,CITES ID Manual - Cercopithecidae - Identification key,EN,,1,CITES ID Manual,General,A-106.008.006.000b Cercopithecidae Langur Aid_E.pdf
1987,A-106.008.006.000b,Manual de identificación de la CITES - Cercopithecidae - Guía de identificación,ES,A-106.008.006.000b,1,CITES ID Manual,General,A-106.008.006.000b Colobinae identification aid_S.pdf
1986,A-119.006.000.001,CITES ID Manual - Cervidae,EN,,1,CITES ID Manual,General,A-119.006.000.001 Cervidae general notes_E.pdf
1986,A-119.006.000.001,Manual de identificación de la CITES - Cervidae,ES,A-119.006.000.001,1,CITES ID Manual,General,A-119.006.000.001 Cervidae general notes_S.pdf
1988,A-119.006.000.002,CITES ID Manual - Cervidae - Parts and derivatives (antlers),EN,,1,CITES ID Manual,Parts and derivatives,A-119.006.000.002 Cervidae deer antlers_E.pdf
1988,A-119.006.000.002,Manual de identificación de la CITES - Cervidae - Partes y derivados (astas),ES,A-119.006.000.002,1,CITES ID Manual,Parts and derivatives,A-119.006.000.002 Cervidae deer antlers_S.pdf
1988,A-119.006.004.005d,CITES ID Manual - Cervus elaphus bactrianus,EN,,1,CITES ID Manual,General,A-119.006.004.005d Cervus elaphus bactrianus_E.pdf
1988,A-119.006.004.005d,Manual de identificación de la CITES - Cervus elaphus bactrianus,ES,A-119.006.004.005d,1,CITES ID Manual,General,A-119.006.004.005d Cervus elaphus bactrianus_S.pdf
1988,A-119.006.004.005e,CITES ID Manual - Cervus elaphus barbarus,EN,,1,CITES ID Manual,General,A-119.006.004.005e Cervus elaphus barbarus_E.pdf
1988,A-119.006.004.005e,Manual de identificación de la CITES - Cervus elaphus barbarus,ES,A-119.006.004.005e,1,CITES ID Manual,General,A-119.006.004.005e Cervus elaphus barbarus_S.pdf
