taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference,Designation
95554,SPECIES,COUNTRY,GM,20130,CMS
95554,SPECIES,COUNTRY,GH,20130,CMS
95554,SPECIES,COUNTRY,GN,20130,CMS
95554,SPECIES,COUNTRY,GW,20130,CMS
95554,SPECIES,COUNTRY,KE,20130,CMS
95554,SPECIES,COUNTRY,LR,20130,CMS
95554,SPECIES,COUNTRY,MW,20130,CMS
95554,SPECIES,COUNTRY,ML,20130,CMS
95554,SPECIES,COUNTRY,MR,20130,CMS
95554,SPECIES,COUNTRY,MZ,20130,CMS
95554,SPECIES,COUNTRY,NA,20130,CMS
95554,SPECIES,COUNTRY,NE,20130,CMS
95554,SPECIES,COUNTRY,NG,20130,CMS
95554,SPECIES,COUNTRY,RW,20130,CMS
95554,SPECIES,COUNTRY,SN,20130,CMS
95554,SPECIES,COUNTRY,SL,20130,CMS
95554,SPECIES,COUNTRY,SO,20130,CMS
95554,SPECIES,COUNTRY,ZA,20130,CMS
95554,SPECIES,COUNTRY,SS,20130,CMS
95554,SPECIES,COUNTRY,SD,20130,CMS
95554,SPECIES,COUNTRY,TG,20130,CMS
95554,SPECIES,COUNTRY,UG,20130,CMS
95554,SPECIES,COUNTRY,TZ,20130,CMS
95554,SPECIES,COUNTRY,ZM,20130,CMS
95554,SPECIES,COUNTRY,ZW,20130,CMS
66320,SPECIES,COUNTRY,DJ,20130,CMS
66320,SPECIES,COUNTRY,ET,20130,CMS
66320,SPECIES,COUNTRY,KE,20130,CMS
66320,SPECIES,COUNTRY,SO,20130,CMS
66320,SPECIES,COUNTRY,UG,20130,CMS
66320,SPECIES,COUNTRY,TZ,20130,CMS
96303,SPECIES,COUNTRY,AO,20130,CMS
96303,SPECIES,COUNTRY,BJ,20130,CMS
96303,SPECIES,COUNTRY,BW,20130,CMS
96303,SPECIES,COUNTRY,BF,20130,CMS
96303,SPECIES,COUNTRY,BI,20130,CMS
96303,SPECIES,COUNTRY,CM,20130,CMS
96303,SPECIES,COUNTRY,CF,20130,CMS
96303,SPECIES,COUNTRY,TD,20130,CMS
96303,SPECIES,COUNTRY,CG,20130,CMS
96303,SPECIES,COUNTRY,CI,20130,CMS
96303,SPECIES,COUNTRY,CD,20130,CMS
