Date,Manual ID,Title,Language,Master document,Volume,Type,General/Parts,PDF filename
2001,Disco-ferricola-jl-text.pdf,Manual de identificación de la CITES - Discocactus ferricola,ES,Discocactus ferricola_E.pdf,6,CITES ID Manual,General,Disco-ferricola-jl-text.pdf
2001,Discocactus ferricola_E.pdf,CITES ID Manual - Discocactus ferricola,EN,,6,CITES ID Manual,General,Discocactus ferricola_E.pdf
2001,Disco-hepta-catingicola-jl-text.pdf,Manual de identificación de la CITES - Discocactus heptacanthus - ssp. catingicola ,ES,Discocactus heptacanthus ssp catingicola_E.pdf,6,CITES ID Manual,General,Disco-hepta-catingicola-jl-text.pdf
2001,disco-hepta-heptacanthus-boliviensis-jl-text.pdf,Manual de identificación de la CITES - Discocactus heptacanthus - var. boliviensis,ES,Discocactus heptacanthus ssp heptacanthus „boliviensis“_E.pdf,6,CITES ID Manual,General,disco-hepta-heptacanthus-boliviensis-jl-text.pdf
2001,disco-hepta-heptacanthus-cephaliaciculosus-jl-text.pdf,Manual de identificación de la CITES - Discocactus heptacanthus - var. cephaliaciculosus,ES,Discocactus heptacanthus ssp heptacanthus „cephaliaciculosus“_E.pdf,6,CITES ID Manual,General,disco-hepta-heptacanthus-cephaliaciculosus-jl-text.pdf
2001,disco-hepta-heptacanthus-jl-text.pdf,Manual de identificación de la CITES - Discocactus heptacanthus - ssp. heptacanthus,ES,discocactus heptacanthus ssp heptacanthus_E.pdf,6,CITES ID Manual,General,disco-hepta-heptacanthus-jl-text.pdf
2001,Disco-hepta-magnimammus-jl-text.pdf,Manual de identificación de la CITES - Discocactus heptacanthus - ssp. magnimammus ,ES,Discocactus heptacanthus ssp magnimammus_E.pdf,6,CITES ID Manual,General,Disco-hepta-magnimammus-jl-text.pdf
2001,Discocactus heptacanthus ssp catingicola_E.pdf,CITES ID Manual - Discocactus heptacanthus - ssp. catingicola ,EN,,6,CITES ID Manual,General,Discocactus heptacanthus ssp catingicola_E.pdf
2001,Discocactus heptacanthus ssp heptacanthus „boliviensis“_E.pdf,CITES ID Manual - Discocactus heptacanthus - var. boliviensis,EN,,6,CITES ID Manual,General,Discocactus heptacanthus ssp heptacanthus „boliviensis“_E.pdf
2001,Discocactus heptacanthus ssp heptacanthus „cephaliaciculosus“_E.pdf,CITES ID Manual - Discocactus heptacanthus - var. cephaliaciculosus,EN,,6,CITES ID Manual,General,Discocactus heptacanthus ssp heptacanthus „cephaliaciculosus“_E.pdf
2001,discocactus heptacanthus ssp heptacanthus_E.pdf,CITES ID Manual - Discocactus heptacanthus - ssp. heptacanthus,EN,,6,CITES ID Manual,General,discocactus heptacanthus ssp heptacanthus_E.pdf
2001,Discocactus heptacanthus ssp magnimammus_E.pdf,CITES ID Manual - Discocactus heptacanthus - ssp. magnimammus ,EN,,6,CITES ID Manual,General,Discocactus heptacanthus ssp magnimammus_E.pdf
2001,Disco-horstii-jl-text.pdf,Manual de identificación de la CITES - Discocactus horstii,ES,Discocactus horstii_E.pdf,6,CITES ID Manual,General,Disco-horstii-jl-text.pdf
2001,Discocactus horstii_E.pdf,CITES ID Manual - Discocactus horstii,EN,,6,CITES ID Manual,General,Discocactus horstii_E.pdf
2001,Disco-placentiformis-jl-text.pdf,Manual de identificación de la CITES - Discocactus placentiformis,ES,Discocactus placentiformis_E.pdf,6,CITES ID Manual,General,Disco-placentiformis-jl-text.pdf
2001,Disco-placentiformis-latispinus-jl-text.pdf,Manual de identificación de la CITES - Discocactus placentiformis - var. latispinus,ES,Discocactus placentiformis „latispinus“_E.pdf,6,CITES ID Manual,General,Disco-placentiformis-latispinus-jl-text.pdf
2001,Discocactus placentiformis „latispinus“_E.pdf,CITES ID Manual - Discocactus placentiformis - var. latispinus,EN,,6,CITES ID Manual,General,Discocactus placentiformis „latispinus“_E.pdf
2001,Discocactus placentiformis_E.pdf,CITES ID Manual - Discocactus placentiformis,EN,,6,CITES ID Manual,General,Discocactus placentiformis_E.pdf
2001,Disco-pseudoinsignis-jl-text.pdf,Manual de identificación de la CITES - Discocactus pseudoinsignis,ES,Discocactus pseudoinsignis_E.pdf,6,CITES ID Manual,General,Disco-pseudoinsignis-jl-text.pdf
2001,Discocactus pseudoinsignis_E.pdf,CITES ID Manual - Discocactus pseudoinsignis,EN,,6,CITES ID Manual,General,Discocactus pseudoinsignis_E.pdf
2001,Disco-zehnt-boomianus-araneispinus-jl-text.pdf,Manual de identificación de la CITES - Discocactus zehntneri - ssp. boomianus var. araneispinus,ES,Discocactus zehntneri ssp boomianus „araneispinus“_E.pdf,6,CITES ID Manual,General,Disco-zehnt-boomianus-araneispinus-jl-text.pdf
2001,Disco-zehnt-boomianus-buenekeri-jl-text.pdf,Manual de identificación de la CITES - Discocactus zehntneri - ssp. boomianus var. buenekeri,ES,Discocactus zehntneri ssp boomianus „buenekeri“_E.pdf,6,CITES ID Manual,General,Disco-zehnt-boomianus-buenekeri-jl-text.pdf
2001,Disco-zehnt-boomianus-horstiorum-jl-text.pdf,Manual de identificación de la CITES - Discocactus zehntneri - ssp. boomianus var. horstiorum,ES,Discocactus zehntneri ssp boomianus „horstiorum“_E.pdf,6,CITES ID Manual,General,Disco-zehnt-boomianus-horstiorum-jl-text.pdf
2001,Disco-zehnt-boomianus-jl-text.pdf,Manual de identificación de la CITES - Discocactus zehntneri - ssp. boomianus ,ES,Discocactus zehntneri ssp boomianus_E.pdf,6,CITES ID Manual,General,Disco-zehnt-boomianus-jl-text.pdf
2001,Disco-zehnt-zehntneri-albispinus-jl-text.pdf,Manual de identificación de la CITES - Discocactus zehntneri - ssp. zehntneri var. albispinus,ES,Discocactus zehntneri ssp zehntneri „albispinus“_E.pdf,6,CITES ID Manual,General,Disco-zehnt-zehntneri-albispinus-jl-text.pdf
2001,Disco-zehnt-zehntneri-jl-text.pdf,Manual de identificación de la CITES - Discocactus zehntneri - ssp. zehntneri,ES,Discocactus zehntneri ssp zehntneri_E.pdf,6,CITES ID Manual,General,Disco-zehnt-zehntneri-jl-text.pdf
2001,Discocactus zehntneri ssp boomianus „araneispinus“_E.pdf,CITES ID Manual - Discocactus zehntneri - ssp. boomianus var. araneispinus,EN,,6,CITES ID Manual,General,Discocactus zehntneri ssp boomianus „araneispinus“_E.pdf
2001,Discocactus zehntneri ssp boomianus „buenekeri“_E.pdf,CITES ID Manual - Discocactus zehntneri - spp. boomianus var. buenekeri,EN,,6,CITES ID Manual,General,Discocactus zehntneri ssp boomianus „buenekeri“_E.pdf
2001,Discocactus zehntneri ssp boomianus „horstiorum“_E.pdf,CITES ID Manual - Discocactus zehntneri - spp. boomianus var. horstiorum,EN,,6,CITES ID Manual,General,Discocactus zehntneri ssp boomianus „horstiorum“_E.pdf
2001,Discocactus zehntneri ssp boomianus_E.pdf,CITES ID Manual - Discocactus zehntneri - ssp. boomianus ,EN,,6,CITES ID Manual,General,Discocactus zehntneri ssp boomianus_E.pdf
2001,Discocactus zehntneri ssp zehntneri „albispinus“_E.pdf,CITES ID Manual - Discocactus zehntneri - ssp. zehntneri var. albispinus,EN,,6,CITES ID Manual,General,Discocactus zehntneri ssp zehntneri „albispinus“_E.pdf
2001,Discocactus zehntneri ssp zehntneri_E.pdf,CITES ID Manual - Discocactus zehntneri - ssp. zehntneri,EN,,6,CITES ID Manual,General,Discocactus zehntneri ssp zehntneri_E.pdf
2003,Dudleya stolonifera_E.pdf,CITES ID Manual - Dudleya stolonifera,EN,,6,CITES ID Manual,General,Dudleya stolonifera_E.pdf
2003,Dudleya stolonifera_S.pdf,Manual de identificación de la CITES - Dudleya stolonifera,ES,Dudleya stolonifera_E.pdf,6,CITES ID Manual,General,Dudleya stolonifera_S.pdf
2003,Dudleya traskiae_E.pdf,CITES ID Manual - Dudleya traskiae,EN,,6,CITES ID Manual,General,Dudleya traskiae_E.pdf
2003,Dudleya traskiae_S.pdf,Manual de identificación de la CITES - Dudleya traskiae,ES,Dudleya traskiae_E.pdf,6,CITES ID Manual,General,Dudleya traskiae_S.pdf
2001,Echinocereus-ferreirianus-lindsayi-jl-text.pdf,Manual de identificación de la CITES - Echinocereus ferreiranus lindsayorum,ES,Echinocereus ferreirianus ssp lindsayi_E.pdf,6,CITES ID Manual,General,Echinocereus-ferreirianus-lindsayi-jl-text.pdf
2001,Echinocereus ferreirianus ssp lindsayi_E.pdf,CITES ID Manual - Echinocereus ferreiranus lindsayorum,EN,,6,CITES ID Manual,General,Echinocereus ferreirianus ssp lindsayi_E.pdf
2001,Echinocereus-schmollii-jl-text.pdf,Manual de identificación de la CITES - Echinocereus schmollii,ES,Echinocereus schmollii_E.pdf,6,CITES ID Manual,General,Echinocereus-schmollii-jl-text.pdf
2001,Echinocereus schmollii_E.pdf,CITES ID Manual - Echinocereus schmollii,EN,,6,CITES ID Manual,General,Echinocereus schmollii_E.pdf
2001,Escobaria-minima-jl-text.pdf,Manual de identificación de la CITES - Escobaria minima,ES,Escobaria minima_E.pdf,6,CITES ID Manual,General,Escobaria-minima-jl-text.pdf
2001,Escobaria minima_E.pdf,CITES ID Manual - Escobaria minima,EN,,6,CITES ID Manual,General,Escobaria minima_E.pdf
2001,Escobaria-sneedii-sneedii-jl-text.pdf,Manual de identificación de la CITES - Escobaria sneedii,ES,Escobaria sneedii ssp sneedii_E.pdf,6,CITES ID Manual,General,Escobaria-sneedii-sneedii-jl-text.pdf
2001,Escobaria sneedii ssp sneedii_E.pdf,CITES ID Manual - Escobaria sneedii,EN,,6,CITES ID Manual,General,Escobaria sneedii ssp sneedii_E.pdf
2001,Escobaria-sneedii-leei-jl-text.pdf,Manual de identificación de la CITES - Escobaria sneedii leei,ES,Escobaria sneedii ssp leei_E.pdf,6,CITES ID Manual,General,Escobaria-sneedii-leei-jl-text.pdf
2001,Escobaria sneedii ssp leei_E.pdf,CITES ID Manual - Escobaria sneedii leei,EN,,6,CITES ID Manual,General,Escobaria sneedii ssp leei_E.pdf
1999,F-cuppressoides-E.pdf,CITES ID Manual - Fitzroya cupressoides - Timber,EN,,6,CITES ID Manual,Parts and Derivatives,F-cuppressoides-E.pdf
1999,Fitzroya cupresoides_S.pdf,Manual de identificación de la CITES - Fitzroya cupressoides - Madera,ES,F-cuppressoides-E.pdf,6,CITES ID Manual,Parts and Derivatives,Fitzroya cupresoides_S.pdf
2003,Fouquieria columnaris_E.pdf,CITES ID Manual - Fouquieria columnaris,EN,,6,CITES ID Manual,General,Fouquieria columnaris_E.pdf
2003,Fouquieria columnaris_S.pdf,Manual de identificación de la CITES - Fouquieria columnaris,ES,Fouquieria columnaris_E.pdf,6,CITES ID Manual,General,Fouquieria columnaris_S.pdf
2003,Fouquieria fasciculata_E.pdf,CITES ID Manual - Fouquieria fasciculata,EN,,6,CITES ID Manual,General,Fouquieria fasciculata_E.pdf
2003,Fouquieria fasciculata_Sl.pdf,Manual de identificación de la CITES - Fouquieria fasciculata,ES,Fouquieria fasciculata_E.pdf,6,CITES ID Manual,General,Fouquieria fasciculata_Sl.pdf
2003,Fouquieria purpusii_E.pdf,CITES ID Manual - Fouquieria purpusii,EN,,6,CITES ID Manual,General,Fouquieria purpusii_E.pdf
2003,Fouquieria purpusii_S.pdf,Manual de identificación de la CITES - Fouquieria purpusii,ES,Fouquieria purpusii_E.pdf,6,CITES ID Manual,General,Fouquieria purpusii_S.pdf
2001,Gastrodia elata_E.pdf,CITES ID Manual - Gastrodia elata - Medicinal plants,EN,,6,CITES ID Manual,Parts and Derivatives,Gastrodia elata_E.pdf
2001,Gastrodia elata_S.pdf,Manual de identificación de la CITES - Gastrodia elata - Plantas medicinales,ES,Gastrodia elata_E.pdf,6,CITES ID Manual,Parts and Derivatives,Gastrodia elata_S.pdf
2002,Gonystylus_E.pdf,CITES ID Manual - Gonystylus - Timber,EN,,6,CITES ID Manual,Parts and Derivatives,Gonystylus_E.pdf
2001,Guaiacum officinale_E.pdf,CITES ID Manual - Guaiacum - Medicinal plants,EN,,6,CITES ID Manual,Parts and Derivatives,Guaiacum officinale_E.pdf
