Date,Manual ID,Title,Language,Master Document ID,Volume,Type,General/Parts,PDF Filename
1985,F-112.001.015.010,Manual de identificación de la CITES - Vulpes vulpes - Partes y Derivados,ES,F-112.001.015.010,4,CITES ID Manual,Parts and Derivatives,F-112.001.015.010 Vulpes vulpes_S.pdf
1985,F-112.004.000.002,CITES ID Manual - Lutrinae - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.000.002 Lutrinae - Fur skins_E.pdf
1985,F-112.004.000.002,Manuel d'identification de la CITES - Lutrinae - Parties et Produits,FR,F-112.004.000.002,4,CITES ID Manual,Parts and Derivatives,F-112.004.000.002 Lutrinae - Fourrures_F.pdf
1985,F-112.004.000.002,Manual de identificación de la CITES - Lutrinae - Partes y Derivados,ES,F-112.004.000.002,4,CITES ID Manual,Parts and Derivatives,F-112.004.000.002 Lutrinae - Pieles_S.pdf
1985,F-112.004.021.001,CITES ID Manual - Aonyx capensis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.021.001 Aonyx capensis_EN.pdf
1985,F-112.004.021.001,Manual de identificación de la CITES - Aonyx capensis - Partes y Derivados,ES,F-112.004.021.001,4,CITES ID Manual,Parts and Derivatives,F-112.004.021.001 Aonyx capensis_S.pdf
1985,F-112.004.022.001,CITES ID Manual - Enhydra lutris - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.022.001 Enhydra lutris_EN.pdf
1985,F-112.004.022.001,Manual de identificación de la CITES - Enhydra lutris - Partes y Derivados,ES,F-112.004.022.001,4,CITES ID Manual,Parts and Derivatives,F-112.004.022.001 Enhydra lutris_S.pdf
1985,F-112.004.023.001,CITES ID Manual - Lontra canadensis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.001 Lutra canadensis_EN.pdf
1985,F-112.004.023.001,Manual de identificación de la CITES - Lontra canadensis - Partes y Derivados,ES,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.001 Lutra canadensis_S.pdf
1985,F-112.004.023.002,CITES ID Manual - Lontra felina - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.002 Lutra felina_EN.pdf
1985,F-112.004.023.002,Manual de identificación de la CITES - Lontra felina - Partes y Derivados,ES,F-112.004.023.002,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.002 Lutra felina_S.pdf
1985,F-112.004.023.003,CITES ID Manual - Lontra longicaudis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.003 Lutra longicaudis_EN.pdf
1985,F-112.004.023.003,Manual de identificación de la CITES - Lontra longicaudis - Partes y Derivados,ES,F-112.004.023.003,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.003 Lutra longicaudis_S.pdf
1986,F-112.004.023.004,CITES ID Manual - Lutra lutra - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.003 Lutra lutra_EN.pdf
1985,F-112.004.023.005,CITES ID Manual - Hydrictis maculicollis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.005 Lutra maculicollis_EN.pdf
1985,F-112.004.023.005,Manual de identificación de la CITES - Hydrictis maculicollis - Partes y Derivados,ES,F-112.004.023.005,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.005 Lutra maculicollis_S.pdf
1986,F-112.004.023.006,CITES ID Manual - Lutrogale perspicillata - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.006 Lutra perspicillata_EN.pdf
1986,F-112.004.023.006,Manual de identificación de la CITES - Lutrogale perspicillata - Partes y Derivados,ES,F-112.004.023.006,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.006 Lutra perspicillata_S.pdf
1986,F-112.004.023.007,CITES ID Manual - Lontra provocax - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.007 Lutra provocax_EN.pdf
1986,F-112.004.023.007,Manual de identificación de la CITES - Lontra provocax - Partes y Derivados,ES,F-112.004.023.007,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.007 Lutra provocax_S.pdf
