id,rank,Internal distribution note,Designation
66345,SPECIES,Previous distributions for Morocco deleted as part of CMS project 9612 in 2025-2026.,CMS
12071,SPECIES,"Previous distributions for Austria, Bangladesh, Belgium, Botswana, Czech Republic, Côte d'Ivoire, Democratic Republic of the Congo, Denmark, Estonia, Finland, Former Serbia and Montenegro, Hungary, Lesotho, Mongolia, Mozambique, Myanmar, Norway, Poland, Qatar, Slovakia, Slovenia, Sri Lanka, Svalbard and Jan Mayen Islands, Sweden, Switzerland, United Kingdom of Great Britain and Northern Ireland, Zimbabwe deleted as part of CMS project 9612 in 2025-2026.",CMS
94727,SPECIES,"Previous distributions for Hong Kong, SAR, Republic of Korea deleted as part of CMS project 9612 in 2025-2026.",CMS
54400,SPECIES,"Previous distributions for Afghanistan, Burkina Faso, Faroe Islands, Former Serbia and Montenegro, Iceland, Ireland, Kyrgyzstan, Myanmar, Seychelles, Somalia, Sudan [prior to secession of South Sudan], Uzbekistan deleted as part of CMS project 9612 in 2025-2026.",CMS
54430,SPECIES,"Previous distributions for Christmas Island, Egypt, Gabon, Hong Kong, SAR, Israel, Jordan, Kyrgyzstan, Lebanon, Macao, SAR, Mongolia, Oman, Saudi Arabia, Tajikistan, Timor-Leste, Türkiye, Uzbekistan, Yemen deleted as part of CMS project 9612 in 2025-2026.",CMS
66339,SPECIES,"Previous distributions for Pakistan, Singapore deleted as part of CMS project 9612 in 2025-2026.",CMS
66335,SPECIES,"Previous distributions for Republic of Korea, Singapore deleted as part of CMS project 9612 in 2025-2026.",CMS
66337,SPECIES,"Previous distributions for Iraq, Israel, Lesotho, Liberia, Sudan [prior to secession of South Sudan], Tunisia deleted as part of CMS project 9612 in 2025-2026.",CMS
94474,SPECIES,"Previous distributions for Algeria, Burundi, Equatorial Guinea, France, Guinea, Libya, Morocco, Togo deleted as part of CMS project 9612 in 2025-2026.",CMS
66341,SPECIES,Previous distributions for Gabon deleted as part of CMS project 9612 in 2025-2026.,CMS
11978,SPECIES,"Previous distributions for Bermuda (United Kingdom), Faroe Islands, Former Serbia and Montenegro, Greenland, Iceland, Maldives, Netherlands Antilles, Seychelles deleted as part of CMS project 9612 in 2025-2026.",CMS
11894,SPECIES,"Previous distributions for Belarus, Hong Kong, SAR, India, Mongolia, Myanmar, Nepal, Spain, Thailand, Viet Nam deleted as part of CMS project 9612 in 2025-2026.",CMS
11939,SPECIES,"Previous distributions for Antigua and Barbuda, Barbados, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Cayman Islands (United Kingdom), Croatia, Curaçao, Denmark, Dominica, Haiti, Iceland, Jamaica, Martinique, Montserrat (United Kingdom), Netherlands Antilles, Portugal, Puerto Rico, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Sint Maarten, Spain, Turks and Caicos Islands (United Kingdom) deleted as part of CMS project 9612 in 2025-2026.",CMS
94738,SPECIES,"Previous distributions for Algeria, Benin, China, Cyprus, Côte d'Ivoire, France, Ghana, Hungary, Malta, Oman, Spain, Togo deleted as part of CMS project 9612 in 2025-2026.",CMS
54460,SPECIES,"Previous distributions for Antigua and Barbuda, Aruba, Australia, Botswana, Brazil, Brunei Darussalam, Cook Islands, Côte d'Ivoire, Former Serbia and Montenegro, French Polynesia, French Southern and Antarctic Territories, Gabon, Guadeloupe, Jamaica, Malawi, Maldives, Netherlands Antilles, Papua New Guinea, Seychelles, Tonga, Trinidad and Tobago deleted as part of CMS project 9612 in 2025-2026.",CMS
94728,SPECIES,"Previous distributions for Falkland Islands (Malvinas), Guadeloupe, Jamaica, Panama, Saint-Martin deleted as part of CMS project 9612 in 2025-2026.",CMS
54461,SPECIES,"Previous distributions for Cameroon, Eswatini, Ghana, Israel, Lesotho, Libya, Malawi, South Sudan deleted as part of CMS project 9612 in 2025-2026.",CMS
