taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,
54434,SPECIES,COUNTRY,AZ,20130,CMS,
54434,SPECIES,COUNTRY,BH,20130,CMS,
54434,SPECIES,COUNTRY,BD,20130,CMS,
54434,SPECIES,COUNTRY,BY,20130,CMS,
54434,SPECIES,COUNTRY,BE,20130,CMS,
54434,SPECIES,COUNTRY,BT,20130,CMS,
54434,SPECIES,COUNTRY,BA,20130,CMS,
54434,SPECIES,COUNTRY,BG,20130,CMS,
54434,SPECIES,COUNTRY,CN,20130,CMS,
54434,SPECIES,COUNTRY,HR,20130,CMS,
54434,SPECIES,COUNTRY,CY,20130,CMS,
54434,SPECIES,COUNTRY,CZ,20130,CMS,
54434,SPECIES,COUNTRY,KP,20130,CMS,
54434,SPECIES,COUNTRY,DK,20130,CMS,
54434,SPECIES,COUNTRY,DJ,20130,CMS,
54434,SPECIES,COUNTRY,EG,20130,CMS,
54434,SPECIES,COUNTRY,EE,20130,CMS,
54434,SPECIES,COUNTRY,ET,20130,CMS,
54434,SPECIES,COUNTRY,FI,20130,CMS,
54434,SPECIES,COUNTRY,FR,20130,CMS,
54434,SPECIES,COUNTRY,GE,20130,CMS,
54434,SPECIES,COUNTRY,GE,20130,CMS,
54434,SPECIES,COUNTRY,DE,20130,CMS,
54434,SPECIES,TERRITORY,GI,20130,CMS,
54434,SPECIES,COUNTRY,GR,20130,CMS,
54434,SPECIES,TERRITORY,HK,20130,CMS,
54434,SPECIES,COUNTRY,HU,20130,CMS,
54434,SPECIES,COUNTRY,IN,20130,CMS,
54434,SPECIES,COUNTRY,IR,20130,CMS,
54434,SPECIES,COUNTRY,IQ,20130,CMS,
54434,SPECIES,COUNTRY,IE,20130,CMS,
54434,SPECIES,COUNTRY,IL,20130,CMS,
54434,SPECIES,COUNTRY,IT,20130,CMS,
54434,SPECIES,COUNTRY,JP,20130,CMS,
54434,SPECIES,COUNTRY,JO,20130,CMS,
54434,SPECIES,COUNTRY,KZ,20130,CMS,
54434,SPECIES,COUNTRY,KE,20130,CMS,
54434,SPECIES,COUNTRY,KW,20130,CMS,
54434,SPECIES,COUNTRY,KG,20130,CMS,
54434,SPECIES,COUNTRY,LA,20130,CMS,
54434,SPECIES,COUNTRY,LV,20130,CMS,
54434,SPECIES,COUNTRY,LB,20130,CMS,
54434,SPECIES,COUNTRY,LY,20130,CMS,
54434,SPECIES,COUNTRY,LI,20130,CMS,
54434,SPECIES,COUNTRY,LT,20130,CMS,
54434,SPECIES,COUNTRY,LU,20130,CMS,
54434,SPECIES,TERRITORY,MO,20130,CMS,
54434,SPECIES,COUNTRY,MT,20130,CMS,
54434,SPECIES,COUNTRY,MC,20130,CMS,
54434,SPECIES,COUNTRY,MN,20130,CMS,
54434,SPECIES,COUNTRY,ME,20130,CMS,
54434,SPECIES,COUNTRY,MA,20130,CMS,
54434,SPECIES,COUNTRY,MM,20130,CMS,
54434,SPECIES,COUNTRY,NP,20130,CMS,
54434,SPECIES,COUNTRY,NL,20130,CMS,
54434,SPECIES,COUNTRY,NE,20130,CMS,
54434,SPECIES,COUNTRY,MK,20130,CMS,
54434,SPECIES,COUNTRY,NO,20130,CMS,
54434,SPECIES,COUNTRY,OM,20130,CMS,
54434,SPECIES,COUNTRY,PK,20130,CMS,
54434,SPECIES,COUNTRY,PL,20130,CMS,
54434,SPECIES,COUNTRY,PT,20130,CMS,
54434,SPECIES,COUNTRY,QA,20130,CMS,
54434,SPECIES,COUNTRY,KR,20130,CMS,
54434,SPECIES,COUNTRY,MD,20130,CMS,
54434,SPECIES,COUNTRY,RO,20130,CMS,
