taxon_concept_id,Rank,GEO_entity,ISO Code 2,Designation,Tags
12147,SPECIES,COUNTRY,SI,CMS,extinct
54609,SPECIES,COUNTRY,MA,CMS,extinct (?)
54509,SPECIES,COUNTRY,CD,CMS,distribution uncertain
54509,SPECIES,COUNTRY,NG,CMS,extinct (?)
54601,SPECIES,COUNTRY,SZ,CMS,extinct
66107,SPECIES,COUNTRY,MX,CMS,extinct
103275,SPECIES,COUNTRY,MY,CMS,extinct
103275,SPECIES,COUNTRY,PH,CMS,extinct
103275,SPECIES,COUNTRY,TH,CMS,extinct
11612,SPECIES,COUNTRY,AT,CMS,extinct
11434,SPECIES,COUNTRY,VN,CMS,extinct
11505,SPECIES,COUNTRY,AF,CMS,extinct (?)
11505,SPECIES,COUNTRY,IN,CMS,extinct (?)
11505,SPECIES,COUNTRY,PK,CMS,extinct (?)
11505,SPECIES,COUNTRY,TM,CMS,extinct (?)
11634,SPECIES,TERRITORY,FO,CMS,extinct
11897,SPECIES,COUNTRY,DZ,CMS,extinct (?)
11897,SPECIES,COUNTRY,TN,CMS,extinct
11897,SPECIES,COUNTRY,AE,CMS,introduced
11930,SPECIES,COUNTRY,GQ,CMS,extinct
94743,SPECIES,COUNTRY,TR,CMS,extinct
94743,SPECIES,COUNTRY,AE,CMS,reintroduced
94743,SPECIES,COUNTRY,AM,CMS,extinct
11787,SPECIES,COUNTRY,SD,CMS,distribution uncertain
11750,SPECIES,COUNTRY,AF,CMS,extinct (?)
11750,SPECIES,COUNTRY,DZ,CMS,extinct
11750,SPECIES,COUNTRY,BG,CMS,extinct (?)
11750,SPECIES,COUNTRY,PL,CMS,extinct
11750,SPECIES,COUNTRY,SY,CMS,extinct (?)
11750,SPECIES,COUNTRY,GB,CMS,extinct
11750,SPECIES,COUNTRY,BY,CMS,extinct
99287,SPECIES,COUNTRY,DZ,CMS,extinct
99287,SPECIES,COUNTRY,AT,CMS,extinct
99287,SPECIES,COUNTRY,BG,CMS,extinct
99287,SPECIES,COUNTRY,CZ,CMS,extinct
99287,SPECIES,COUNTRY,DE,CMS,extinct
99287,SPECIES,COUNTRY,GR,CMS,extinct
99287,SPECIES,COUNTRY,HU,CMS,extinct
99287,SPECIES,COUNTRY,PL,CMS,extinct
99287,SPECIES,COUNTRY,RS,CMS,extinct
99287,SPECIES,COUNTRY,SK,CMS,extinct
99287,SPECIES,COUNTRY,BY,CMS,extinct
99287,SPECIES,COUNTRY,MD,CMS,extinct
99287,SPECIES,COUNTRY,ME,CMS,extinct
94871,SPECIES,COUNTRY,CN,CMS,distribution uncertain
94871,SPECIES,COUNTRY,KG,CMS,distribution uncertain
11697,SPECIES,COUNTRY,AT,CMS,extinct
11697,SPECIES,COUNTRY,HU,CMS,extinct
11697,SPECIES,COUNTRY,ME,CMS,extinct
11697,SPECIES,COUNTRY,RU,CMS,extinct (?)
11697,SPECIES,COUNTRY,RS,CMS,extinct
11697,SPECIES,COUNTRY,SK,CMS,extinct
11576,SPECIES,COUNTRY,FI,CMS,extinct (?)
11554,SPECIES,COUNTRY,DE,CMS,extinct
11547,SPECIES,COUNTRY,GE,CMS,extinct
96062,SPECIES,COUNTRY,FR,CMS,extinct (?)
96062,SPECIES,TERRITORY,GI,CMS,extinct
96439,SPECIES,COUNTRY,IR,CMS,extinct (?)
95113,SPECIES,COUNTRY,PK,CMS,extinct (?)
95430,SPECIES,TERRITORY,GU,CMS,extinct
96422,SPECIES,COUNTRY,US,CMS,introduced
12099,SPECIES,COUNTRY,BS,CMS,distribution uncertain
12099,SPECIES,TERRITORY,TC,CMS,distribution uncertain
12099,SPECIES,TERRITORY,VG,CMS,distribution uncertain
12099,SPECIES,TERRITORY,VI,CMS,distribution uncertain
11769,SPECIES,COUNTRY,AU,CMS,introduced
11769,SPECIES,COUNTRY,NZ,CMS,introduced
11769,SPECIES,TERRITORY,SH,CMS,"extinct, introduced"
11972,SPECIES,COUNTRY,MM,CMS,distribution uncertain
11637,SPECIES,COUNTRY,AU,CMS,introduced
11637,SPECIES,COUNTRY,NZ,CMS,introduced
11637,SPECIES,TERRITORY,SH,CMS,"extinct, introduced"
11569,SPECIES,COUNTRY,LV,CMS,extinct
11304,SPECIES,COUNTRY,TM,CMS,extinct
54526,SPECIES,COUNTRY,JM,CMS,introduced
11499,SPECIES,COUNTRY,CD,CMS,distribution uncertain
11825,SPECIES,COUNTRY,BD,CMS,extinct (?)
11825,SPECIES,COUNTRY,BA,CMS,extinct
11825,SPECIES,COUNTRY,HR,CMS,extinct
11825,SPECIES,COUNTRY,DE,CMS,extinct
11825,SPECIES,COUNTRY,MK,CMS,extinct
11504,SPECIES,COUNTRY,HU,CMS,extinct
11504,SPECIES,COUNTRY,ME,CMS,extinct (?)
11504,SPECIES,COUNTRY,RS,CMS,extinct (?)
11694,SPECIES,COUNTRY,MG,CMS,extinct
11394,SPECIES,COUNTRY,CM,CMS,distribution uncertain
11394,SPECIES,COUNTRY,CG,CMS,distribution uncertain
11394,SPECIES,COUNTRY,CD,CMS,distribution uncertain
11394,SPECIES,COUNTRY,GQ,CMS,distribution uncertain
11394,SPECIES,COUNTRY,GA,CMS,distribution uncertain
11394,SPECIES,COUNTRY,NG,CMS,distribution uncertain
11394,SPECIES,COUNTRY,ST,CMS,distribution uncertain
11394,SPECIES,COUNTRY,TG,CMS,distribution uncertain
11441,SPECIES,COUNTRY,ET,CMS,extinct
11441,SPECIES,COUNTRY,IQ,CMS,extinct (?)
11441,SPECIES,COUNTRY,IL,CMS,extinct
11441,SPECIES,COUNTRY,SN,CMS,extinct
11441,SPECIES,COUNTRY,SD,CMS,extinct
11441,SPECIES,COUNTRY,CH,CMS,extinct
11441,SPECIES,COUNTRY,TR,CMS,"extinct, reintroduced"
11372,SPECIES,COUNTRY,BH,CMS,introduced
11372,SPECIES,COUNTRY,EG,CMS,extinct
11372,SPECIES,COUNTRY,FR,CMS,introduced
11372,SPECIES,COUNTRY,ES,CMS,introduced
66227,SPECIES,COUNTRY,NL,CMS,introduced
54668,SPECIES,COUNTRY,AG,CMS,extinct
54668,SPECIES,TERRITORY,VG,CMS,"extinct, reintroduced"
12051,SPECIES,COUNTRY,EH,CMS,extinct (?)
12094,SPECIES,TERRITORY,BV,CMS,extinct
12104,SPECIES,COUNTRY,AU,CMS,extinct
99519,SPECIES,COUNTRY,DZ,CMS,extinct
54408,SPECIES,COUNTRY,LV,CMS,extinct
54483,SPECIES,COUNTRY,LV,CMS,extinct
11324,SPECIES,COUNTRY,JO,CMS,extinct (?)
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
