Kingdom, PhyName, ClaName, OrdName, FamName, GenName, Spcname, SpcInfraepithet, Spcrecid, SpcStatus
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, laysanensis, NULL, 1229, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, bernieri, NULL, 1222, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, capensis, NULL, 1223, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, clypeata, NULL, 1224, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, nesiotis, NULL, 1239, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, acuta, NULL, 1219, A
Animalia, CHORDATA, AVES, ANSERIFORMES, ANATIDAE, Anas, aucklandica, NULL, 1221, A
Animalia, CHORDATA, MAMMALIA, SCANDENTIA, TUPAIIDAE, Anathana, ellioti, NULL, 1255, A
Animalia, CHORDATA, AMPHIBIA, CAUDATA, CRYPTOBRANCHIDAE, Andrias, davidianus, NULL, 1272, A
Animalia, CHORDATA, AMPHIBIA, CAUDATA, CRYPTOBRANCHIDAE, Andrias, japonicus, NULL, 1273, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Androdon, aequatorialis, NULL, 1275, A
Animalia, CHORDATA, MAMMALIA, CETACEA, ZIPHIIDAE, Berardius, arnuxii, NULL, 2762, A
Animalia, CHORDATA, MAMMALIA, CETACEA, ZIPHIIDAE, Berardius, bairdii, NULL, 2763, A
Animalia, CHORDATA, MAMMALIA, DIPROTODONTIA, POTOROIDAE, Bettongia, tropica, NULL, 2787, A
Animalia, CHORDATA, MAMMALIA, DIPROTODONTIA, POTOROIDAE, Bettongia, gaimardi, NULL, 2783, A
Animalia, CHORDATA, MAMMALIA, DIPROTODONTIA, POTOROIDAE, Bettongia, lesueur, NULL, 2784, A
Animalia, CHORDATA, MAMMALIA, DIPROTODONTIA, POTOROIDAE, Bettongia, penicillata, NULL, 2785, A
Animalia, CHORDATA, ACTINOPTERYGII, SALMONIFORMES, SALMONIDAE, Coregonus, alpenae, NULL, 5361, A
Animalia, CHORDATA, AVES, CUCULIFORMES, MUSOPHAGIDAE, Corythaeola, cristata, NULL, 5415, A
Animalia, CHORDATA, AVES, GALLIFORMES, CRACIDAE, Crax, rubra, NULL, 5508, A
Animalia, CHORDATA, AVES, GALLIFORMES, CRACIDAE, Crax, alberti, NULL, 5503, A
Animalia, CHORDATA, AVES, GALLIFORMES, CRACIDAE, Crax, daubentoni, NULL, 5506, A
Animalia, CHORDATA, AVES, GALLIFORMES, CRACIDAE, Crax, globulosa, NULL, 5507, A
Animalia, CHORDATA, AVES, CUCULIFORMES, MUSOPHAGIDAE, Crinifer, piscator, NULL, 5530, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, rhombifer, NULL, 5670, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, siamensis, NULL, 5671, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, novaeguineae, NULL, 5665, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, palustris, NULL, 5667, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, porosus, NULL, 5668, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, johnsoni, NULL, 5662, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, moreletii, NULL, 5663, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, niloticus, NULL, 5664, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, acutus, NULL, 5659, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, cataphractus, NULL, 5660, A
Animalia, CHORDATA, REPTILIA, CROCODYLIA, CROCODYLIDAE, Crocodylus, intermedius, NULL, 5661, A
Animalia, CHORDATA, REPTILIA, SERPENTES, VIPERIDAE, Crotalus, durissus, NULL, 5684, A
Animalia, CHORDATA, REPTILIA, SERPENTES, VIPERIDAE, Crotalus, durissus, unicolor, 5685, A
Animalia, CHORDATA, MAMMALIA, RODENTIA, CTENODACTYLIDAE, Ctenodactylus, gundi, NULL, 5792, A
Animalia, CHORDATA, REPTILIA, SAURIA, CHAMAELEONIDAE, Kinyongia, xenorhina, NULL, 3021, A
Animalia, CHORDATA, REPTILIA, SAURIA, CHAMAELEONIDAE, Kinyongia, tavetana, NULL, 3015, A
Animalia, CHORDATA, REPTILIA, SAURIA, CHAMAELEONIDAE, Kinyongia, tenuis, NULL, 3016, A
Animalia, CHORDATA, REPTILIA, SAURIA, CHAMAELEONIDAE, Kinyongia, uthmoelleri, NULL, 3019, A
Animalia, CHORDATA, REPTILIA, SAURIA, CHAMAELEONIDAE, Kinyongia, adolfifriderici, NULL, 2999, A
Animalia, CHORDATA, REPTILIA, SAURIA, CHAMAELEONIDAE, Kinyongia, carpenteri, NULL, 3001, A
Animalia, CHORDATA, REPTILIA, SAURIA, CHAMAELEONIDAE, Kinyongia, oxyrhina, NULL, 3010, A
Animalia, CHORDATA, REPTILIA, SAURIA, CHAMAELEONIDAE, Nadzikambia, mlanjense, NULL, 3008, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Diopsittaca, nobilis, NULL, 1973, A
Animalia, CHORDATA, REPTILIA, SERPENTES, VIPERIDAE, Atropoides, nummifer, NULL, 2919, A
Animalia, CHORDATA, AVES, PASSERIFORMES, ICTERIDAE, Xanthopsar, flavus, NULL, 679, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Guarouba, guarouba, NULL, 2001, A
Animalia, CHORDATA, AVES, COLUMBIFORMES, COLUMBIDAE, Nesoenas, mayeri, NULL, 5192, A
Animalia, CHORDATA, AVES, CORACIIFORMES, BUCEROTIDAE, Rhinoplax, vigil, NULL, 3153, A
Animalia, CHORDATA, AVES, CORACIIFORMES, BUCEROTIDAE, Rhyticeros, undulatus, NULL, 153, A
Animalia, CHORDATA, AVES, CORACIIFORMES, BUCEROTIDAE, Rhyticeros, narcondami, NULL, 149, A
Animalia, CHORDATA, AVES, CORACIIFORMES, BUCEROTIDAE, Rhyticeros, plicatus, NULL, 151, A
Animalia, CHORDATA, AVES, CORACIIFORMES, BUCEROTIDAE, Rhyticeros, subruficollis, NULL, 152, A
Animalia, CHORDATA, AVES, CORACIIFORMES, BUCEROTIDAE, Rhyticeros, everetti, NULL, 147, A
Animalia, CHORDATA, AVES, APODIFORMES, TROCHILIDAE, Schistes, geoffroyi, NULL, 2385, A
Animalia, CHORDATA, AVES, GALLIFORMES, PHASIANIDAE, Meleagris, ocellata, NULL, 702, A
Animalia, CHORDATA, REPTILIA, SERPENTES, VIPERIDAE, Porthidium, nasutum, NULL, 2918, A
Animalia, CHORDATA, REPTILIA, SERPENTES, VIPERIDAE, Porthidium, ophryomegas, NULL, 2920, A
Animalia, CHORDATA, REPTILIA, SERPENTES, VIPERIDAE, Bothriechis, schlegelii, NULL, 2921, A
Animalia, CHORDATA, MAMMALIA, CETACEA, PHOCOENIDAE, Phocoena, dioptrica, NULL, 2416, A
Animalia, CHORDATA, AVES, STRIGIFORMES, STRIGIDAE, Pseudoscops, clamator, NULL, 2166, A
Animalia, CHORDATA, REPTILIA, TESTUDINES, GEOEMYDIDAE, Mauremys, nigricans, NULL, 4656, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Agapornis, taranta, NULL, 668, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Agapornis, nigrigenis, NULL, 663, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Agapornis, personatus, NULL, 664, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Agapornis, pullarius, NULL, 665, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Agapornis, canus, NULL, 660, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Agapornis, fischeri, NULL, 661, A
Animalia, CHORDATA, AVES, PSITTACIFORMES, PSITTACIDAE, Agapornis, lilianae, NULL, 662, A
Animalia, CHORDATA, AVES, COLUMBIFORMES, COLUMBIDAE, Columba, unicincta, NULL, 5202, A
Animalia, CHORDATA, AVES, COLUMBIFORMES, COLUMBIDAE, Columba, guinea, NULL, 5187, A
Animalia, CHORDATA, AVES, COLUMBIFORMES, COLUMBIDAE, Columba, iriditorques, NULL, 5189, A
