Kingdom,SpcRecID, CtyRecID, CtyShort
Animalia,3131,185, Saudi Arabia
Animalia,3133,2, Albania
Animalia,3133,5, Andorra
Animalia,3131,233, Western Sahara
Animalia,3133,14, Austria
Animalia,3133,15, Azerbaijan
Animalia,3133,1, Afghanistan
Animalia,3133,21, Belgium
Animalia,3133,33, Bulgaria
Animalia,3133,11, Armenia
Animalia,3133,55, Czech Republic
Animalia,3133,67, Estonia
Animalia,3133,20, Belarus
Animalia,3133,73, France
Animalia,3133,80, Georgia
Animalia,3133,44, China
Animalia,3133,84, Greece
Animalia,3133,96, Hong Kong SAR
Animalia,3133,72, Finland
Animalia,3133,99, India
Animalia,3133,101, Iran (Islamic Republic of)
Animalia,3133,81, Germany
Animalia,3133,104, Israel
Animalia,3133,105, Italy
Animalia,3133,97, Hungary
Animalia,3133,109, Kazakhstan
Animalia,3133,112, Democratic People's Republic of Korea
Animalia,3133,102, Iraq
Animalia,3133,115, Kyrgyzstan
Animalia,3133,117, Latvia
Animalia,3133,107, Japan
Animalia,3133,122, Liechtenstein
Animalia,3133,123, Lithuania
Animalia,3133,113, Republic of Korea 
Animalia,3133,139, Republic of Moldova
Animalia,3133,141, Mongolia
Animalia,3133,118, Lebanon
Animalia,3133,159, Norway
Animalia,3133,161, Pakistan
Animalia,3133,124, Luxembourg
Animalia,3133,170, Portugal
Animalia,3133,173, Romania
Animalia,3133,149, Netherlands
Animalia,3133,196, Spain
Animalia,3133,202, Sweden
Animalia,3133,169, Poland
Animalia,3133,204, Syrian Arab Republic
Animalia,3133,206, Tajikistan
Animalia,3133,174, Russian Federation
Animalia,3133,215, Turkmenistan
Animalia,3133,219, Ukraine
Animalia,3133,203, Switzerland
Animalia,3133,57, Denmark
Animalia,3133,83, Gibraltar
Animalia,3133,214, Turkey
Animalia,3133,190, Slovakia
Animalia,3133,27, Bosnia and Herzegovina
Animalia,3133,225, Uzbekistan
Animalia,3133,239, The former Yugoslav Republic of Macedonia
Animalia,3133,191, Slovenia
Animalia,3133,221, United Kingdom of Great Britain and Northern Ireland
Animalia,3134,110, Kenya
Animalia,3134,119, Lesotho
Animalia,3133,52, Croatia
Animalia,3134,144, Mozambique
Animalia,3134,146, Namibia
Animalia,3134,68, Ethiopia
Animalia,3134,201, Swaziland
Animalia,3134,207, United Republic of Tanzania
Animalia,3134,127, Malawi
Animalia,3134,66, Eritrea
Animalia,3135,18, Bangladesh
Animalia,3134,194, South Africa
Animalia,3135,145, Myanmar
Animalia,3135,148, Nepal
Animalia,3134,238, Zimbabwe
Animalia,3135,161, Pakistan
Animalia,3135,208, Thailand
Animalia,3135,99, India
Animalia,3136,23, Benin
Animalia,3136,28, Botswana
Animalia,3133,267, Serbia
Animalia,3136,35, Burundi
Animalia,3136,37, Cameroon
Animalia,3135,44, China
Animalia,3136,42, Chad
Animalia,3136,56, Côte d'Ivoire
Animalia,3136,34, Burkina Faso
Animalia,3136,79, Gambia
Animalia,3136,82, Ghana
Animalia,3136,41, Central African Republic
Animalia,3136,91, Guinea Bissau
Animalia,3136,110, Kenya
Animalia,3136,68, Ethiopia
Animalia,3136,120, Liberia
Animalia,3136,127, Malawi
Animalia,3136,90, Guinea
Animalia,3136,134, Mauritania
Animalia,3136,144, Mozambique
Animalia,3136,119, Lesotho
Animalia,3136,154, Niger
Animalia,3136,155, Nigeria
Animalia,3136,130, Mali
Animalia,3136,186, Senegal
Animalia,3136,193, Somalia
Animalia,3136,146, Namibia
Animalia,3136,201, Swaziland
Animalia,3136,207, United Republic of Tanzania
Animalia,3136,175, Rwanda
Animalia,3136,218, Uganda
Animalia,3136,236, Democratic Republic of the Congo
Animalia,3136,194, South Africa
Animalia,3136,238, Zimbabwe
Animalia,3136,6, Angola
Animalia,3136,209, Togo
Animalia,3136,58, Djibouti
Animalia,3136,66, Eritrea
Animalia,3136,237, Zambia
Animalia,3137,6, Angola
Animalia,3137,37, Cameroon
Animalia,3136,270, South Sudan
Animalia,3137,56, Côte d'Ivoire
Animalia,3137,65, Equatorial Guinea
Animalia,3136,188, Sierra Leone
Animalia,3137,82, Ghana
Animalia,3137,90, Guinea
Animalia,3137,49, Congo
Animalia,3137,155, Nigeria
Animalia,3137,188, Sierra Leone
Animalia,3137,78, Gabon
Animalia,3138,18, Bangladesh
Animalia,3138,25, Bhutan
Animalia,3137,120, Liberia
Animalia,3138,99, India
Animalia,3138,116, Lao People's Democratic Republic
Animalia,3137,236, Democratic Republic of the Congo
Animalia,3138,148, Nepal
Animalia,3138,197, Sri Lanka
Animalia,3138,36, Cambodia
Animalia,3138,229, Viet Nam
Animalia,3138,44, China
Animalia,3138,145, Myanmar
Animalia,3140,37, Cameroon
Animalia,3140,41, Central African Republic
Animalia,3138,208, Thailand
Animalia,3140,56, Côte d'Ivoire
Animalia,3140,65, Equatorial Guinea
Animalia,3140,6, Angola
Animalia,3140,82, Ghana
Animalia,3140,120, Liberia
Animalia,3140,49, Congo
Animalia,3140,188, Sierra Leone
Animalia,3140,218, Uganda
Animalia,3140,78, Gabon
Animalia,3140,175, Rwanda
Animalia,3141,37, Cameroon
Animalia,3140,155, Nigeria
Animalia,3141,78, Gabon
Animalia,3141,82, Ghana
Animalia,3140,236, Democratic Republic of the Congo
Animalia,3141,120, Liberia
Animalia,3141,236, Democratic Republic of the Congo
Animalia,3141,56, Côte d'Ivoire
Animalia,3142,32, Brunei Darussalam
Animalia,3142,145, Myanmar
Animalia,3141,49, Congo
Animalia,3142,208, Thailand
