Kingdom,SpcRecID, LegListing, LegDateListed, CountryRecID, LegNotes
Animalia,2476, I/r, 1983-07-29,241, NULL
Animalia,2476, I/w, 1989-01-06,14, NULL
Animalia,2476, I/w, 1991-05-07,30, NULL
Animalia,2476, I/w, 1995-04-26,241, NULL
Animalia,2476, I/w, 2001-10-24,166, NULL
Animalia,2477, I/r, 2000-04-02,98, NULL
Animalia,2477, I/r, 1975-07-09,38, NULL
Animalia,2477, I/w, 1978-08-11,38, NULL
Animalia,2478, I/r, 1977-02-04,13, NULL
Animalia,2478, I/r, 1977-02-04,38, NULL
Animalia,2478, I/r, 1980-11-04,107,Stocks in N. Atlantic off Iceland and off Newfoundland; stock in area from 40S to the Antarctic continent form 120W to 60W
Animalia,2478, I/r, 1977-02-04,241, NULL
Animalia,2478, I/r, 1977-02-04,194, NULL
Animalia,2478, I/w, 1981-08-27,13, NULL
Animalia,2478, I/w, 1982-10-29,38, NULL
Animalia,2478, I/r, 1981-06-06,107, NULL
Animalia,2478, I/w, 1995-04-26,241, NULL
Animalia,2478, I/w, 1981-02-17,194, NULL
Animalia,2478, I/r, 1981-06-06,159, NULL
Animalia,2478, II/r, 1977-02-04,38, NULL
Animalia,2478, II/r, 1977-02-04,194, NULL
Animalia,2478, II/w, 1979-06-28,38, Reservation withdrawn as species transferred from II to I
Animalia,2478, II/w, 1979-06-28,194, Reservation withdrawn as species transferred from II to I
Animalia,2478, III, 1976-07-14,224, NULL
Animalia,2478, I/r, 2000-04-02,98, NULL
Animalia,2480, I/r, 2000-07-19,107, NULL
Animalia,2480, I/r, 1986-01-01,166, NULL
Animalia,2480, I/w, 2001-10-24,166, NULL
Animalia,2609, III, 1976-10-28,51, NULL
Animalia,2609, III/r, 1977-10-24,57, NULL
Animalia,2609, III/w, 1984-01-01,57, NULL
Animalia,2613, III/r, 1977-10-24,57, NULL
Animalia,2613, III/w, 1984-01-01,57, NULL
Animalia,2613, III, 1976-10-28,51, NULL
Animalia,2614, I/r, 1976-10-31,221,On behalf of HK
Animalia,2614, I/w, 1978-07-03,221,On behalf of HK
Animalia,2678, III, 1975-12-04,135, NULL
Animalia,2678, III/r, 1977-10-24,57, NULL
Animalia,2678, III/w, 1984-01-01,57, NULL
Animalia,2763, I/r, 1983-07-29,107, NULL
Animalia,2813, I/r, 1975-07-09,38, NULL
Animalia,2813, I/w, 1977-04-15,38, NULL
Animalia,2836, II/r, 1976-10-31,221,On behalf of HK
Animalia,2836, II/w, 1978-03-07,221,On behalf of HK
Animalia,2851, II/r, 1981-06-06,122, NULL
Animalia,2851, II/r, 1981-06-06,203, NULL
Animalia,2851, II/w, 1987-03-20,122, NULL
Animalia,2851, II/w, 1987-03-20,203, NULL
Animalia,2852, II/r, 1981-06-06,122, NULL
Animalia,2852, II/r, 1981-06-06,203, NULL
Animalia,2852, II/w, 1987-03-20,122, NULL
Animalia,2852, II/w, 1987-03-20,203, NULL
Animalia,2853, II/r, 1981-06-06,122, NULL
Animalia,2853, II/r, 1981-06-06,203, NULL
Animalia,2853, II/w, 1987-03-20,122, NULL
Animalia,2853, II/w, 1987-03-20,203, NULL
Animalia,2854, II/r, 1981-06-06,122, NULL
Animalia,2854, II/r, 1981-06-06,203, NULL
Animalia,2854, II/w, 1987-03-20,122, NULL
Animalia,2854, II/w, 1987-03-20,203, NULL
Animalia,2855, II/r, 1981-06-06,122, NULL
Animalia,2855, II/r, 1981-06-06,203, NULL
Animalia,2855, II/w, 1987-03-20,122, NULL
Animalia,2855, II/w, 1987-03-20,203, NULL
Animalia,2856, II/r, 1981-06-06,122, NULL
Animalia,2856, II/r, 1981-06-06,203, NULL
Animalia,2856, II/w, 1987-03-20,122, NULL
Animalia,2856, II/w, 1987-03-20,203, NULL
Animalia,2897, III, 1976-02-26,82, NULL
Animalia,2897, Deleted, 2007-03-04,82, NULL
Animalia,2897, III/r, 1977-10-24,57, NULL
Animalia,2897, III/w, 1984-01-01,57, NULL
Animalia,2899, III/r, 1977-10-24,57, NULL
Animalia,2899, III/w, 1984-01-01,57, NULL
Animalia,2899, Deleted, 2007-03-04,82, NULL
Animalia,2899, III, 1976-02-26,82, NULL
Animalia,2916, III, 1987-04-13,95, NULL
Animalia,2916, III/r, 1987-04-13,14, NULL
Animalia,2916, III/w, 1990-09-26,14, NULL
Animalia,2918, III/r, 1987-04-13,14, NULL
Animalia,2918, III/w, 1990-09-26,14, NULL
Animalia,2918, III, 1987-04-13,95, NULL
Animalia,2919, III, 1987-04-13,95, NULL
Animalia,2919, III/r, 1987-04-13,14, NULL
Animalia,2919, III/w, 1990-09-26,14, NULL
Animalia,2920, III/r, 1987-04-13,14, NULL
Animalia,2920, III/w, 1990-09-26,14, NULL
Animalia,2920, III, 1987-04-13,95, NULL
Animalia,2921, III, 1987-04-13,95, NULL
Animalia,2921, III/r, 1987-04-13,14, NULL
Animalia,2921, III/w, 1990-09-26,14, NULL
Animalia,2977, II/r, 1985-08-01,14, NULL
Animalia,2977, II/w, 1989-01-06,14, NULL
Animalia,3058, I/r, 1975-07-09,38, NULL
Animalia,3058, I/w, 1982-10-29,38, NULL
Animalia,3112, II/r, 1981-06-06,122, NULL
Animalia,3112, II/r, 1981-06-06,203, NULL
Animalia,3112, II/w, 1987-03-20,122, NULL
Animalia,3112, II/w, 1987-03-20,203, NULL
Animalia,3113, II/r, 1981-06-06,122, NULL
Animalia,3113, II/r, 1981-06-06,203, NULL
Animalia,3113, II/w, 1987-03-20,122, NULL
Animalia,3113, II/w, 1987-03-20,203, NULL
Animalia,3114, II/r, 1981-06-06,122, NULL
Animalia,3114, II/r, 1981-06-06,203, NULL
Animalia,3114, II/w, 1987-03-20,122, NULL
Animalia,3114, II/w, 1987-03-20,203, NULL
Animalia,3115, II/r, 1981-06-06,122, NULL
Animalia,3115, II/r, 1981-06-06,203, NULL
Animalia,3115, II/w, 1987-03-20,122, NULL
Animalia,3115, II/w, 1987-03-20,203, NULL
Animalia,3116, II/r, 1981-06-06,122, NULL
Animalia,3116, II/r, 1981-06-06,203, NULL
Animalia,3116, II/w, 1987-03-20,122, NULL
Animalia,3116, II/w, 1987-03-20,203, NULL
Animalia,3117, II/r, 1981-06-06,122, NULL
Animalia,3117, II/r, 1981-06-06,203, NULL
Animalia,3117, II/w, 1987-03-20,122, NULL
Animalia,3117, II/w, 1987-03-20,203, NULL
Animalia,3118, II/r, 1981-06-06,122, NULL
Animalia,3118, II/r, 1981-06-06,203, NULL
Animalia,3118, II/w, 1987-03-20,122, NULL
Animalia,3118, II/w, 1987-03-20,203, NULL
Animalia,3119, II/r, 1981-06-06,122, NULL
Animalia,3119, II/r, 1981-06-06,203, NULL
Animalia,3119, II/w, 1987-03-20,122, NULL
Animalia,3119, II/w, 1987-03-20,203, NULL
Animalia,3124, III/r, 1977-10-24,57, NULL
Animalia,3124, III/w, 1984-01-01,57, NULL
