Kingdom,SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,,,,,,,,,
Animalia,233,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,234,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,235,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,236,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,241,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,244,II,01/04/1998 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,282,I,04/02/1977 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,283,I,04/02/1977 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,284,I,04/02/1977 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,285,II,18/01/1990 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,316,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,318,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,319,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,320,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,323,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,325,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,327,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,328,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,329,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,330,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,333,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,334,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,335,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,336,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,337,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,339,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,340,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,341,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,344,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,345,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,348,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,349,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,351,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,353,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,355,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,356,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,358,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,360,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,362,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,363,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,364,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,365,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,366,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,367,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,368,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,371,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,372,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,373,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,375,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,376,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,377,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,380,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,381,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,382,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,383,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,384,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,385,II,01/08/1985 00:00,NULL,NULL,,,,,,,,,,,,,,
