Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SynonymSpcRecID,SpcStatus,AcceptedSpcRecID
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,occidentalis,Skottsb.,23256,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,olowaluana,Sherff,23257,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,ovalis,Sherff,23258,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,polyantha,Sherff,23259,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,polystigmata,Sherff,23260,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,prolifica,Sherff,23261,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,prolificoides,Sherff,23262,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,ramosior,Sherff,23263,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,rhynchocarpa,Sherff,23264,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,rhynchocarpoides,Degener & Sherff,27242,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,rockii,Sherff,23265,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,simulans,Sherff,27243,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,skottsbergii,Sherff,23266,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,tenuistylis,Sherff,23655,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,meiandra,(Hillebrand) Harms,var.,tenuistyloides,Degener & Sherff,23657,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,micrantha,Sherff,NULL,NULL,NULL,23268,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,munroi,Sherff,NULL,NULL,NULL,27244,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,oahuensis,(A.Gray) Harms,var.,eradiata,Sherff,27245,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,oahuensis,(A.Gray) Harms,var.,fauriei,Sherff,27246,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,oahuensis,(A.Gray) Harms,var.,hailiensis,(Deg. & Sherff) Deg. & Sherff,27247,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,oahuensis,(A.Gray) Harms,var.,longipes,Sherff,27248,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,oahuensis,(A.Gray) Harms,var.,pseudolongipes,Degener & Sherff,23270,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,oahuensis,(A.Gray) Harms,var.,pseudorhachis,Sherff,27249,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,oahuensis,(A.Gray) Harms,var.,subglobosa,"Degener, I. Degener & Sherff",23271,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,oahuensis,(A.Gray) Harms,var.,venulosior,Sherff,23272,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,pupukeensis,Skottsb.,var.,decipiens,Degener & Sherff,23273,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,pupukeensis,Skottsb.,var.,nitida,Degener & Sherff,27251,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,pupukeensis,Skottsb.,var.,pupukeensis,NULL,27250,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,pupukeensis,Skottsb.,var.,venosa,Degener & Sherff,27252,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,sherffii,Degener & I. Degener,NULL,NULL,NULL,23274,S,23278
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,turbans,Sherff,NULL,NULL,NULL,27253,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,waialealae,Rock,var.,kohuana,Degener & Sherff,23275,S,23278
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,waialealae,Rock,var.,pluricostata,Degener & Sherff,23276,S,23278
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,waialealae,Rock,var.,urceolata,Sherff,27254,S,23278
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,waialealae,Rock,var.,wahiawensis,Sherff,23277,S,23278
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,waianensis,Degener,var.,palehuana,Sherff,27256,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,waianensis,Degener,var.,waianensis,NULL,27255,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,waimeae,Wawra,var.,angustior,Sherff,27257,S,68052
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Ainsworthia,byzantina,Azn.,NULL,NULL,NULL,114961,S,114133
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Angelica,litoralis,Fr.,NULL,NULL,NULL,118905,S,143050
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Angelica,reuteri,Boiss.,NULL,NULL,NULL,116277,S,81776
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Anthriscus,longirostris,Bertol.,NULL,NULL,NULL,143588,S,81784
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Anthriscus,trichosperma,(Schur) Spreng.,NULL,NULL,NULL,117964,S,81784
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Archangelica,litoralis,(Fr.) C.Agardh,NULL,NULL,NULL,141766,S,143050
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Archangelica,officinalis,Hoffm.,NULL,NULL,NULL,79450,S,76825
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Athamanta,denudata,Hornem.,NULL,NULL,NULL,113463,S,82801
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Athamanta,hungarica,Borbás,NULL,NULL,NULL,148519,S,7510
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Azorella,caespitosa,Cav.,NULL,NULL,NULL,43968,S,111905
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Bulbocastanum,linnaei,Schur,NULL,NULL,NULL,113387,S,82459
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Bunium,alpinum,"sensu Lange, non Waldst. & Kit.",NULL,NULL,NULL,117712,S,133707
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Bunium,capillifolium,(Guss.) Bertol.,NULL,NULL,NULL,113731,S,117655
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Bunium,petraeum,Ten.,NULL,NULL,NULL,116230,S,125280
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Bupleurum,gracile,"(M.Bieb.) DC., non d'Urv.",NULL,NULL,NULL,81357,S,138255
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Bupleurum,pachnospermum,Pancic,NULL,NULL,NULL,107529,S,78441
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Bupleurum,protractum,Hoffmanns. & Link,NULL,NULL,NULL,116271,S,120550
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Bupleurum,pyrenaeum,Gouan,NULL,NULL,NULL,116734,S,143864
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Bupleurum,veronense,Turra,NULL,NULL,NULL,115999,S,78440
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Carum,meoides,(Griseb.) Halácsy pro parte,NULL,NULL,NULL,116617,S,124892
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Carum,petroselinum,(L.) Benth.,NULL,NULL,NULL,115756,S,80097
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Carum,rupestre,Boiss. & Heldr.,NULL,NULL,NULL,113999,S,124892
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Caucalis,elongata,Hoffmanns. & Link,NULL,NULL,NULL,115097,S,150318
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Caucalis,maritima,(L.) Gouan,NULL,NULL,NULL,116630,S,80557
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Cerefolium,cerefolium,L. Schinz & Thell.,NULL,NULL,NULL,149600,S,81784
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Chaerophyllum,anthriscus,(L.) Crantz,NULL,NULL,NULL,117673,S,79445
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Chaerophyllum,cicutaria,Vill.,NULL,NULL,NULL,114075,S,118327
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Chaerophyllum,hirsutum,L.,ssp.,villarsii,(W.D.J.Koch) Arcang.,116465,S,116463
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Chaerophyllum,maculatum,Willd. ex DC.,NULL,NULL,NULL,114234,S,88330
Plantae,NULL,NULL,APIALES,UMBELLIFERAE,Chaerophyllum,nodosum,(L.) Crantz,NULL,NULL,NULL,127776,S,103163
