Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SynonymSpcRecID,SpcStatus,AcceptedSpcRecID
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Lathyrophthalmus,quinquelineatus,"(Fabricius, 1781)",NULL,NULL,NULL,79421,S,89701
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Lejogaster,splendida,"(Meigen, 1822)",NULL,NULL,NULL,90410,S,90409
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Megasyrphus,annulipes,"(Zetterstedt, 1838)",NULL,NULL,NULL,90354,S,90353
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Melangyna,guttata,"(Fallén, 1817)",NULL,NULL,NULL,91152,S,91154
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Melangyna,triangulifera,"(Zetterstedt, 1843)",NULL,NULL,NULL,91153,S,91155
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Metasyrphus,corollae,"(Fabricius, 1794)",NULL,NULL,NULL,90375,S,90374
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Metasyrphus,lapponicus,"(Zetterstedt, 1838)",NULL,NULL,NULL,90377,S,90376
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Metasyrphus,latifasciatus,"(Macquart, 1829)",NULL,NULL,NULL,90379,S,90378
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Metasyrphus,latilunulatus,"(Collin, 1931)",NULL,NULL,NULL,90381,S,90380
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Metasyrphus,lundbecki,"(Soot-Ryen, 1946)",NULL,NULL,NULL,91158,S,90382
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Metasyrphus,luniger,"(Meigen, 1822)",NULL,NULL,NULL,90384,S,90383
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Metasyrphus,nielseni,"Dusek & Láska, 1976",NULL,NULL,NULL,90386,S,90385
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Metasyrphus,nitens,"(Zetterstedt, 1843)",NULL,NULL,NULL,90388,S,90387
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Microdon,eggeri,"Mik, 1897",NULL,NULL,NULL,91870,S,91871
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Myolepta,luteola,"(Gmelin, 1788)",NULL,NULL,NULL,91806,S,91808
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Neocnemodon,brevidens,"(Egger, 1865)",NULL,NULL,NULL,90398,S,90397
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Neocnemodon,latitarsis,"(Egger, 1865)",NULL,NULL,NULL,90401,S,90400
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Neocnemodon,pubescens,"Delucchi & Pschorn-Walcher, 1955",NULL,NULL,NULL,90403,S,90402
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Neocnemodon,verrucula,"(Collin, 1931)",NULL,NULL,NULL,90405,S,90404
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Neocnemodon,vitripennis,"(Meigen, 1822)",NULL,NULL,NULL,90407,S,90406
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Orthonevra,splendens,"(Meigen, 1822)",NULL,NULL,NULL,91818,S,91819
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Pipizella,varipes,"(Meigen, 1822)",NULL,NULL,NULL,91847,S,91848
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Platycheirus,albimanus,"(Fabricius, 1781)",NULL,NULL,NULL,91114,S,91115
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Pyrophaena,granditarsa,"(Forster, 1771)",NULL,NULL,NULL,91136,S,91135
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Pyrophaena,rosarum,"(Fabricius, 1787)",NULL,NULL,NULL,91137,S,91138
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Sphaerophoria,abbreviata,"Zetterstedt, 1859",NULL,NULL,NULL,91784,S,91785
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Sphegina,kimakowiczi,"Strobl, 1897",NULL,NULL,NULL,91821,S,91822
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Xanthogramma,citrofasciatum,"(Degeer, 1776)",NULL,NULL,NULL,91800,S,91801
Animalia,ARTHROPODA,INSECTA,DIPTERA,SYRPHIDAE,Xylota,abiens,"Meigen, 1822",NULL,NULL,NULL,91862,S,91890
Animalia,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE,Ephemera,triplex,"Traver, 1935",NULL,NULL,NULL,7811,S,73583
Animalia,ARTHROPODA,INSECTA,EPHEMEROPTERA,PSEUDIRONIDAE,Pseudiron,meridionalis,"Traver, 1935",NULL,NULL,NULL,18469,S,73584
Animalia,ARTHROPODA,INSECTA,HOMOPTERA,CICADELLIDAE,Aflexia,rubranura,"(DeLong, 1935)",NULL,NULL,NULL,73588,S,8538
Animalia,ARTHROPODA,INSECTA,HYMENOPTERA,SPHECIDAE,Ectemnius,bidecoratus,"(Perkins, 1899)",NULL,NULL,NULL,74005,S,7027
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,ARCTIIDAE,Callimorpha,quadripunctaria,"(Poda, 1761)",NULL,NULL,NULL,72127,S,73766
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,CARPOSINIDAE,Heterocrossa,viridis,"(Walsingham, 1907)",NULL,NULL,NULL,9989,S,73999
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,HESPERIIDAE,Hesperia,leonardus,"(Skinner, 1911)",ssp.,montana,NULL,9970,S,9969
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,HESPERIIDAE,Muschampia,cribrellum,"(Eversmann, 1841)",NULL,NULL,NULL,73769,S,21264
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,HESPERIIDAE,Muschampia,tessellum,"(Hübner, 1803)",NULL,NULL,NULL,73770,S,21265
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,HESPERIIDAE,Ochlodes,sylvanus,"(Esper, 1777)",NULL,NULL,NULL,91038,S,79740
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,HESPERIIDAE,Panoquina,panoquinoides,"(Skinner, 1891)",ssp.,errans,"(Skinner, 1892)",15947,S,15946
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Aricia,icarioides,"Behr, 1867",ssp.,missionensis,NULL,73777,S,10758
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Aricia,icarioides,"Hovanitz, 1937",ssp.,moroensis,NULL,73778,S,10759
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Aricia,icarioides,"Boisduval, 1852",ssp.,pheres,NULL,73779,S,10760
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Cyclargus,thomasi,"(Comstock & Huntington, 1943)",ssp.,bethunebakeri,NULL,73776,S,9868
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Deciduphagus,mossii,(R. Brown),ssp.,bayensis,NULL,73775,S,3587
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Euchrysops,ariadne,"(Butler, 1898)",NULL,NULL,NULL,73780,S,11535
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Heodes,ochimus,"(Herrich-Schäffer, 1851)",NULL,NULL,NULL,98779,S,79811
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lycaeides,argyrognomon,"(Lintner, 1879)",ssp.,lotis,NULL,12431,S,73781
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lycaeides,melissa,"Nabokov, 1944",ssp.,samuelis,NULL,12432,S,73782
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lycaena,alciphron,"(Rottemburg, 1775)",NULL,NULL,NULL,85234,S,79804
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lycaena,dorcas,"Brower, 1940",ssp.,claytoni,NULL,12434,S,73783
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lycaena,hermes,"Edwards, 1870",NULL,NULL,NULL,12435,S,73784
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lycaena,ottomanus,"(Lefèbvre, 1830)",NULL,NULL,NULL,41093,S,79802
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lycaena,tityrus,"(Poda, 1761)",NULL,NULL,NULL,85236,S,79803
