Date,Manual ID,Title,Lang,Master Document ID,Volume,Type,General/ Part,PDF Filename trimmed
1983,A-306.002.001.003,CITES ID Manual - Crocodylus intermedius,EN,,3,CITES ID Manual,General,A-306.002.001.003 Crocodylus intermedius_E.pdf
1983,A-306.002.001.003,Manual de identificación de la CITES - Crocodylus intermedius,ES,A-306.002.001.003,3,CITES ID Manual,General,A-306.002.001.003 Crocodylus intermedius_S.pdf
1983,A-306.002.001.004,CITES ID Manual - Crocodylus johnstoni,EN,,3,CITES ID Manual,General,A-306.002.001.004 Crocodylus johnsoni_E.pdf
1983,A-306.002.001.004,Manual de identificación de la CITES - Crocodylus johnstoni,ES,A-306.002.001.004,3,CITES ID Manual,General,A-306.002.001.004 Crocodylus johnsoni_S.pdf
1983,A-306.002.001.005,CITES ID Manual - Crocodylus moreletii,EN,,3,CITES ID Manual,General,A-306.002.001.005 Crocodylus moreletii_E.pdf
1983,A-306.002.001.005,Manual de identificación de la CITES - Crocodylus moreletii,ES,A-306.002.001.005,3,CITES ID Manual,General,A-306.002.001.005 Crocodylus moreletii_S.pdf
1983,A-306.002.001.006,CITES ID Manual - Crocodylus niloticus,EN,,3,CITES ID Manual,General,A-306.002.001.006 Crocodylus niloticus_E.pdf
1983,A-306.002.001.006,Manual de identificación de la CITES - Crocodylus niloticus,ES,A-306.002.001.006,3,CITES ID Manual,General,A-306.002.001.006 Crocodylus niloticus_S.pdf
1983,A-306.002.001.007,CITES ID Manual - Crocodylus novaeguineae,EN,,3,CITES ID Manual,General,A-306.002.001.007 Crocodylus novaeguineae_E.pdf
1983,A-306.002.001.007,Manual de identificación de la CITES - Crocodylus novaeguineae,ES,A-306.002.001.007,3,CITES ID Manual,General,A-306.002.001.007 Crocodylus novaeguineae_S.pdf
1983,A-306.002.001.008,Manual de identificación de la CITES - Crocodylus palustris,ES,,3,CITES ID Manual,General,A-306.002.001.008 Crocodylus palustris_S.pdf
1983,A-306.002.001.009,CITES ID Manual - Crocodylus porosus,EN,,3,CITES ID Manual,General,A-306.002.001.009 Crocodylus porosus_E.pdf
1983,A-306.002.001.009,Manual de identificación de la CITES - Crocodylus porosus,ES,A-306.002.001.009,3,CITES ID Manual,General,A-306.002.001.009 Crocodylus porosus_S.pdf
1983,A-306.002.001.010,CITES ID Manual - Crocodylus rhombifer,EN,,3,CITES ID Manual,General,A-306.002.001.010 Crocodylus rhombifer_E.pdf
1983,A-306.002.001.010,Manual de identificación de la CITES - Crocodylus rhombifer,ES,A-306.002.001.010,3,CITES ID Manual,General,A-306.002.001.010 Crocodylus rhombifer_S.pdf
1983,A-306.002.001.011,CITES ID Manual - Crocodylus siamensis,EN,,3,CITES ID Manual,General,A-306.002.001.011 Crocodylus siamensis_E.pdf
1983,A-306.002.001.011,Manual de identificación de la CITES - Crocodylus siamensis,ES,A-306.002.001.011,3,CITES ID Manual,General,A-306.002.001.011 Crocodylus siamensis_S.pdf
1983,A-306.002.002.001,CITES ID Manual - Osteolaemus tetraspis,EN,,3,CITES ID Manual,General,A-306.002.002.001 Osteolaemus tetraspis_E.pdf
