Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade,Designation
Theraphosidae,FAMILY,807,29671,,Y,"CITES, EU"
kahlenbergi,SPECIES,105245,28997,,Y,"CITES, EU"
Ornithoptera,GENUS,3399,28022,,Y,"CITES, EU"
Trogonoptera,GENUS,4937,28022,,Y,"CITES, EU"
Troides,GENUS,4939,28022,,Y,"CITES, EU"
endroedyi,SPECIES,105246,28998,,Y,"CITES, EU"
medicinalis,SPECIES,10190,29672,,Y,"CITES, EU"
verbana,SPECIES,98794,29672,,Y,"CITES, EU"
Aves,CLASS,5,29654,,Y,"CITES, EU"
ANSERIFORMES,Order,9,29654,,Y,"CITES, EU"
APODIFORMES,Order,12,29654,,Y,"CITES, EU"
CAPRIMULGIFORMES,Order,24,29654,,Y,"CITES, EU"
CASUARIIFORMES,Order,27,29654,,Y,"CITES, EU"
CHARADRIIFORMES,Order,32,29654,,Y,"CITES, EU"
CICONIIFORMES,Order,34,29654,,Y,"CITES, EU"
COLUMBIFORMES,Order,40,29654,,Y,"CITES, EU"
CORACIIFORMES,Order,42,29654,,Y,"CITES, EU"
CUCULIFORMES,Order,44,29654,,Y,"CITES, EU"
FALCONIFORMES,Order,59,29654,,Y,"CITES, EU"
GALLIFORMES,Order,61,29654,,Y,"CITES, EU"
GAVIIFORMES,Order,63,29654,,Y,"CITES, EU"
GRUIFORMES,Order,65,29654,,Y,"CITES, EU"
PASSERIFORMES,Order,109,29654,,Y,"CITES, EU"
PELECANIFORMES,Order,111,29654,,Y,"CITES, EU"
PICIFORMES,Order,119,29654,,Y,"CITES, EU"
PODICIPEDIFORMES,Order,122,29654,,Y,"CITES, EU"
PROCELLARIIFORMES,Order,127,29654,,Y,"CITES, EU"
PSITTACIFORMES,Order,129,29654,,Y,"CITES, EU"
RHEIFORMES,Order,132,29654,,Y,"CITES, EU"
SPHENISCIFORMES,Order,144,29654,,Y,"CITES, EU"
STRIGIFORMES,Order,147,29654,,Y,"CITES, EU"
STRUTHIONIFORMES,Order,148,29654,,Y,"CITES, EU"
TINAMIFORMES,Order,157,29654,,Y,"CITES, EU"
TROGONIFORMES,Order,160,29654,,Y,"CITES, EU"
ANATIDAE,Family,43,29654,,Y,"CITES, EU"
ANHIMIDAE,Family,47,29654,,Y,"CITES, EU"
APODIDAE,Family,63,29654,,Y,"CITES, EU"
TROCHILIDAE,Family,828,29654,,Y,"CITES, EU"
CAPRIMULGIDAE,Family,139,29654,,Y,"CITES, EU"
CASUARIIDAE,Family,148,29654,,Y,"CITES, EU"
ALCIDAE,Family,28,29654,,Y,"CITES, EU"
BURHINIDAE,Family,121,29654,,Y,"CITES, EU"
CHARADRIIDAE,Family,169,29654,,Y,"CITES, EU"
GLAREOLIDAE,Family,340,29654,,Y,"CITES, EU"
HAEMATOPODIDAE,Family,357,29654,,Y,"CITES, EU"
LARIDAE,Family,424,29654,,Y,"CITES, EU"
RECURVIROSTRIDAE,Family,702,29654,,Y,"CITES, EU"
RYNCHOPIDAE,Family,718,29654,,Y,"CITES, EU"
SCOLOPACIDAE,Family,733,29654,,Y,"CITES, EU"
STERCORARIIDAE,Family,769,29654,,Y,"CITES, EU"
DROMADIDAE,Family,871,29654,,Y,"CITES, EU"
ARDEIDAE,Family,67,29654,,Y,"CITES, EU"
BALAENICIPITIDAE,Family,89,29654,,Y,"CITES, EU"
CICONIIDAE,Family,188,29654,,Y,"CITES, EU"
PHOENICOPTERIDAE,Family,620,29654,,Y,"CITES, EU"
SCOPIDAE,Family,736,29654,,Y,"CITES, EU"
THRESKIORNITHIDAE,Family,809,29654,,Y,"CITES, EU"
COLUMBIDAE,Family,205,29654,,Y,"CITES, EU"
PTEROCLIDIDAE,Family,687,29654,,Y,"CITES, EU"
ALCEDINIDAE,Family,27,29654,,Y,"CITES, EU"
BUCEROTIDAE,Family,117,29654,,Y,"CITES, EU"
CORACIIDAE,Family,208,29654,,Y,"CITES, EU"
MEROPIDAE,Family,486,29654,,Y,"CITES, EU"
UPUPIDAE,Family,844,29654,,Y,"CITES, EU"
CUCULIDAE,Family,227,29654,,Y,"CITES, EU"
MUSOPHAGIDAE,Family,513,29654,,Y,"CITES, EU"
ACCIPITRIDAE,Family,5,29654,,Y,"CITES, EU"
CATHARTIDAE,Family,149,29654,,Y,"CITES, EU"
FALCONIDAE,Family,310,29654,,Y,"CITES, EU"
PANDIONIDAE,Family,572,29654,,Y,"CITES, EU"
SAGITTARIIDAE,Family,722,29654,,Y,"CITES, EU"
CRACIDAE,Family,217,29654,,Y,"CITES, EU"
MEGAPODIIDAE,Family,478,29654,,Y,"CITES, EU"
PHASIANIDAE,Family,613,29654,,Y,"CITES, EU"
GAVIIDAE,Family,330,29654,,Y,"CITES, EU"
GRUIDAE,Family,349,29654,,Y,"CITES, EU"
OTIDIDAE,Family,569,29654,,Y,"CITES, EU"
PEDIONOMIDAE,Family,589,29654,,Y,"CITES, EU"
RALLIDAE,Family,697,29654,,Y,"CITES, EU"
RHYNOCHETIDAE,Family,719,29654,,Y,"CITES, EU"
TURNICIDAE,Family,837,29654,,Y,"CITES, EU"
AEGITHALIDAE,Family,17,29654,,Y,"CITES, EU"
ALAUDIDAE,Family,26,29654,,Y,"CITES, EU"
ATRICHORNITHIDAE,Family,85,29654,,Y,"CITES, EU"
BOMBYCILLIDAE,Family,107,29654,,Y,"CITES, EU"
CERTHIIDAE,Family,162,29654,,Y,"CITES, EU"
CINCLIDAE,Family,189,29654,,Y,"CITES, EU"
CORVIDAE,Family,214,29654,,Y,"CITES, EU"
COTINGIDAE,Family,215,29654,,Y,"CITES, EU"
DREPANIDIDAE,Family,267,29654,,Y,"CITES, EU"
EMBERIZIDAE,Family,283,29654,,Y,"CITES, EU"
ESTRILDIDAE,Family,301,29654,,Y,"CITES, EU"
FRINGILLIDAE,Family,318,29654,,Y,"CITES, EU"
HIRUNDINIDAE,Family,384,29654,,Y,"CITES, EU"
ICTERIDAE,Family,404,29654,,Y,"CITES, EU"
LANIIDAE,Family,423,29654,,Y,"CITES, EU"
MELIPHAGIDAE,Family,483,29654,,Y,"CITES, EU"
MIMIDAE,Family,497,29654,,Y,"CITES, EU"
MOTACILLIDAE,Family,508,29654,,Y,"CITES, EU"
MUSCICAPIDAE,Family,512,29654,,Y,"CITES, EU"
NECTARINIIDAE,Family,532,29654,,Y,"CITES, EU"
ORIOLIDAE,Family,563,29654,,Y,"CITES, EU"
PARADISAEIDAE,Family,576,29654,,Y,"CITES, EU"
PARIDAE,Family,580,29654,,Y,"CITES, EU"
PARULIDAE,Family,583,29654,,Y,"CITES, EU"
PITTIDAE,Family,635,29654,,Y,"CITES, EU"
PLOCEIDAE,Family,649,29654,,Y,"CITES, EU"
PRUNELLIDAE,Family,675,29654,,Y,"CITES, EU"
PYCNONOTIDAE,Family,693,29654,,Y,"CITES, EU"
SITTIDAE,Family,750,29654,,Y,"CITES, EU"
STURNIDAE,Family,777,29654,,Y,"CITES, EU"
TROGLODYTIDAE,Family,830,29654,,Y,"CITES, EU"
TYRANNIDAE,Family,840,29654,,Y,"CITES, EU"
ZOSTEROPIDAE,Family,867,29654,,Y,"CITES, EU"
FREGATIDAE,Family,317,29654,,Y,"CITES, EU"
PELECANIDAE,Family,591,29654,,Y,"CITES, EU"
PHAETHONTIDAE,Family,607,29654,,Y,"CITES, EU"
PHALACROCORACIDAE,Family,608,29654,,Y,"CITES, EU"
SULIDAE,Family,783,29654,,Y,"CITES, EU"
CAPITONIDAE,Family,137,29654,,Y,"CITES, EU"
PICIDAE,Family,627,29654,,Y,"CITES, EU"
RAMPHASTIDAE,Family,698,29654,,Y,"CITES, EU"
PODICIPEDIDAE,Family,653,29654,,Y,"CITES, EU"
DIOMEDEIDAE,Family,258,29654,,Y,"CITES, EU"
HYDROBATIDAE,Family,388,29654,,Y,"CITES, EU"
PELECANOIDIDAE,Family,592,29654,,Y,"CITES, EU"
PROCELLARIIDAE,Family,670,29654,,Y,"CITES, EU"
PSITTACIDAE,Family,683,29654,,Y,"CITES, EU"
CACATUIDAE,Family,7108,29654,,Y,"CITES, EU"
LORIIDAE,Family,7109,29654,,Y,"CITES, EU"
RHEIDAE,Family,708,29654,,Y,"CITES, EU"
SPHENISCIDAE,Family,761,29654,,Y,"CITES, EU"
STRIGIDAE,Family,772,29654,,Y,"CITES, EU"
TYTONIDAE,Family,841,29654,,Y,"CITES, EU"
STRUTHIONIDAE,Family,776,29654,,Y,"CITES, EU"
TINAMIDAE,Family,814,29654,,Y,"CITES, EU"
TROGONIDAE,Family,831,29654,,Y,"CITES, EU"
SAURIA,ORDER,136,25976,FAMILY:50,Y,"CITES, EU"
AGAMIDAE,Family,21,25976,,Y,"CITES, EU"
ANGUIDAE,Family,46,25976,,Y,"CITES, EU"
CHAMAELEONIDAE,Family,167,25976,,Y,"CITES, EU"
CORDYLIDAE,Family,213,25976,,Y,"CITES, EU"
GEKKONIDAE,Family,332,25976,,Y,"CITES, EU"
HELODERMATIDAE,Family,369,25976,,Y,"CITES, EU"
IGUANIDAE,Family,405,25976,,Y,"CITES, EU"
LACERTIDAE,Family,419,25976,,Y,"CITES, EU"
PYGOPODIDAE,Family,694,25976,,Y,"CITES, EU"
SCINCIDAE,Family,731,25976,,Y,"CITES, EU"
TEIIDAE,Family,795,25976,,Y,"CITES, EU"
VARANIDAE,Family,849,25976,,Y,"CITES, EU"
XANTUSIIDAE,Family,859,25976,,Y,"CITES, EU"
XENOSAURIDAE,Family,861,25976,,Y,"CITES, EU"
GERRHOSAURIDAE,Family,2603,25976,,Y,"CITES, EU"
