Name,Rank,RecID,ParentRank,ParentRecID,Status,Author,Notes,Designation
ammon,Species,15733,Genus,3442,A,"(Linnaeus, 1758)",,"CITES,EU"
hodgsonii,Subspecies,15734,Species,15733,A,"Blyth, 1841",,"CITES,EU"
canadensis,Species,15735,Genus,3442,A,"Shaw, 1804",,"CITES,EU"
ophion,Subspecies,15737,Species,15739,A,"Blyth, 1841",,"CITES,EU"
vignei,Subspecies,15738,Species,29583,A,"Blyth, 1841",,"CITES,EU"
orientalis,Species,15739,Genus,3442,A,"Gmelin, 1774",,"CITES,EU"
nivicola,Species,15740,Genus,3442,N,"Eschscholtz, 1829",,"CITES,EU"
nigrimontana,Subspecies,15745,Species,15733,A,"Severtzov, 1873",,"CITES,EU"
longirostris,Species,15781,Genus,3451,A,"(Bloch & Schneider, 1801)",,EU
guerinii,Species,15795,Genus,3453,A,"(Boissonneau, 1840)",,"CITES,EU"
crassispinosa,Species,15796,Genus,3454,A,"Nemenzo, 1980",,"CITES,EU"
glabra,Species,15797,Genus,3454,A,"Nemenzo, 1959",,"CITES,EU"
lacera,Species,15798,Genus,3454,A,"(Verrill, 1864)",,"CITES,EU"
rotundifolia,Species,15801,Genus,3455,A,"(Milne Edwards & Haime, 1848)",,"CITES,EU"
leucocephala,Species,15802,Genus,3456,A,"(Scopoli, 1769)",,"CITES,EU"
bezoarticus,Species,15803,Genus,3457,A,"(Linnaeus, 1758)",,"CITES,EU"
Rhipidipathes,Genus,15821,Family,7107,S,"Milne Edwards & Haime, 1857",,"CITES,EU"
superciliosus,Species,15840,Genus,3886,A,"(Shelley, 1873)",,"CITES,EU"
Tylopathes,Genus,15845,Family,7133,S,"Brook, 1889",,"CITES,EU"
foliosa,Species,15860,Genus,3464,A,"Veron, 1990",,"CITES,EU"
gemmae,Species,15861,Genus,3464,A,"Nemenzo, 1955",,"CITES,EU"
rugosa,Species,15862,Genus,3464,A,"(Lamarck, 1801)",,"CITES,EU"
speciosa,Species,15863,Genus,3464,A,"(Dana, 1846)",,"CITES,EU"
fuscata,Species,15868,Genus,2612,A,"(Vieillot, 1817)",,EU
oryzivora,Species,15869,Genus,2612,A,"(Linnaeus, 1758)",,"CITES,EU"
larvata,Species,15874,Genus,3472,A,"(C. E. H. Smith, 1827)",,"CITES,EU"
palpebrosus,Species,15889,Genus,3479,A,"(Cuvier, 1807)",,"CITES,EU"
trigonatus,Species,15890,Genus,3479,A,"(Schneider, 1801)",,"CITES,EU"
ramosa,Species,15916,Genus,3482,A,"Yabe & Sugiyama, 1941",,"CITES,EU"
steindachneri,Species,15918,Genus,3484,A,"(Siebenrock, 1906)",,"CITES,EU"
caramba,Species,15930,Genus,3491,A,"Taylor, 1966",,CITES
paniscus,Species,15932,Genus,3493,A,"Schwartz, 1929",,"CITES,EU"
troglodytes,Species,15933,Genus,3493,A,"(Blumenbach, 1775)",,"CITES,EU"
