Kingdom,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID,,
Animalia,CHORDATA,MAMMALIA,RODENTIA,CAPROMYIDAE,Plagiodontia,velozi,NULL,NULL,17463,S,17462
Animalia,CHORDATA,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Planigale,subtilissima,NULL,NULL,73325,S,17472
Animalia,CHORDATA,MAMMALIA,CETACEA,PLATANISTIDAE,Platanista,minor,NULL,NULL,17489,S,17488
Animalia,CHORDATA,MAMMALIA,CETACEA,PLATANISTIDAE,Platanista,gangetica,ssp.,gangetica,69775,S,17488
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Platyrrhinus,nigellus,NULL,NULL,104248,S,17565
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Plecotus,rafinesquii,NULL,NULL,101174,S,17600
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Plecotus,phyllotis,NULL,NULL,70667,S,10790
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Plecotus,microdontus,NULL,NULL,96174,S,96173
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Plecotus,mexicanus,NULL,NULL,99438,S,17599
Animalia,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Poecilictis,libyca,NULL,NULL,17835,S,28263
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomelomys,ruemmleri,NULL,NULL,44201,S,5043
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomelomys,sevia,NULL,NULL,101420,S,17879
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,lamia,NULL,NULL,44212,S,4692
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,mollipilosus,NULL,NULL,44213,S,17884
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,vates,NULL,NULL,44214,S,4693
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,forbesi,NULL,NULL,43554,S,4691
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,shawmayeri,NULL,NULL,43555,S,4691
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,kagi,NULL,NULL,44211,S,4692
Animalia,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Poiana,richardsonii,ssp.,liberiensis,17886,S,44401
Animalia,CHORDATA,MAMMALIA,DIPROTODONTIA,POTOROIDAE,Potorous,tridactylus,ssp.,gilbertii,18105,S,18107
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,ruppi,NULL,NULL,74135,S,14090
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,butleri,NULL,NULL,77856,S,14092
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,aeta,NULL,NULL,77857,S,10593
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,shortridgei,NULL,NULL,44192,S,12869
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,stella,NULL,NULL,44193,S,10597
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,verreauxii,NULL,NULL,44194,S,14095
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,natalensis,NULL,NULL,44189,S,12868
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,parvus,NULL,NULL,44190,S,10592
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,pernanus,NULL,NULL,44191,S,12863
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,fumatus,NULL,NULL,44186,S,14094
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,fumosus,NULL,NULL,44187,S,9759
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,huberti,NULL,NULL,44188,S,74556
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,carillus,NULL,NULL,44181,S,10595
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Praomys,denniae,NULL,NULL,44183,S,10596
