ComName,LangShort,RecId,Rank,Designation,ReferenceID
Петнист агути,BUL,4693,SPECIES,CITES_EU,
Мексиканско дървесно бодливо свинче,BUL,5368,SPECIES,CITES_EU,
Обикновено дървесно бодливо свинче,BUL,7122,SPECIES,CITES_EU,
Гребенесто бодливо свинче,BUL,7532,SPECIES,CITES_EU,
Австралийски плъх,BUL,9566,SPECIES,CITES_EU,
Лъжлива мишка от Залива на акулите,BUL,10382,SPECIES,CITES_EU,
Лъжлив воден плъх,BUL,4523,SPECIES,CITES_EU,
Дебелоопашат централноавстралийски плъх,BUL,5898,SPECIES,CITES_EU,
Мексиканско кученце,BUL,7981,SPECIES,CITES_EU,
Дългоопашат мармот,BUL,5312,SPECIES,CITES_EU,
Хималайски мармот,BUL,9329,SPECIES,CITES_EU,
Дюгон,BUL,3515,SPECIES,CITES_EU,
Окландска кафява патица,BUL,10928,SPECIES,CITES_EU,
Мадагаскарска патица,BUL,5867,SPECIES,CITES_EU,
Кафявa патица,BUL,6426,SPECIES,CITES_EU,
Байкалска патица,BUL,10921,SPECIES,CITES_EU,
Лайзанска патица,BUL,9799,SPECIES,CITES_EU,
Камбелова патица,BUL,3253,SPECIES,CITES_EU,
Лятно бърне,BUL,5298,SPECIES,CITES_EU,
Белокрила патица,BUL,9079,SPECIES,CITES_EU,
Мадагаскарска потапница,BUL,4033,SPECIES,CITES_EU,
Белоока потапница,BUL,5560,SPECIES,CITES_EU,
Алеутска гъска,BUL,12303,SUBSPECIES,CITES_EU,
Червеногуша гъска,BUL,11171,SPECIES,CITES_EU,
Хавайска гъска,BUL,4174,SPECIES,CITES_EU,
Коскороба,BUL,5645,SPECIES,CITES_EU,
Черношиест лебед,BUL,4108,SPECIES,CITES_EU,
Кубинска дървесна патица,BUL,4624,SPECIES,CITES_EU,
Чернокорема дървесна патица,BUL,10553,SPECIES,CITES_EU,
Двуцветна дървесна патица,BUL,5686,SPECIES,CITES_EU,
Бразилски нирец,BUL,10789,SPECIES,CITES_EU,
Тръноопашата потапница,BUL,7880,SPECIES,CITES_EU,
Розовоглава патица,BUL,9052,SPECIES,CITES_EU,
Гребеноклюна патица,BUL,7522,SPECIES,CITES_EU,
Качулат ангъч,BUL,5794,SPECIES,CITES_EU,
Извитоклюн колибър,BUL,10946,SPECIES,CITES_EU,
Двуивичест турилик,BUL,3318,SPECIES,CITES_EU,
Реликтова чайка,BUL,9314,SPECIES,CITES_EU,
Ескимосов свирец,BUL,5141,SPECIES,CITES_EU,
Тънкоклюн свирец,BUL,7401,SPECIES,CITES_EU,
Охотски зеленокрак брегобегач,BUL,7520,SPECIES,CITES_EU,
Голяма бяла чапла,BUL,5220,SPECIES,CITES_EU,
Биволска чапла,BUL,4253,SPECIES,CITES_EU,
Малка бяла чапла,BUL,3947,SPECIES,CITES_EU,
Китоглава чапла,BUL,3272,SPECIES,CITES_EU,
Далекоизточен щъркел,BUL,5126,SPECIES,CITES_EU,
