Hash No,Event No,For Display,Text
#8,139,#8 No 101/2012,"Designates underground parts (i.e. roots, rhizomes): whole, parts and powdered."
#9,139,#9 No 101/2012,"Designates all parts and derivatives, except those bearing a label ÒProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxxÓ."
#10,139,#10 No 101/2012,"Designates logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments."
#11,139,#11 No 101/2012,"Designates logs, sawn wood, veneer sheets, plywood, powder and extracts."
#12,139,#12 No 101/2012,"Designates logs, sawn wood, veneer sheets, plywood and essential oil, excluding finished products packaged and ready for retail trade."
#13,139,#13 No 101/2012,"Designates the kernel (also known as ÒendospermÓ, ÒpulpÓ or ÒcopraÓ) and any derivative thereof."
#1,140,#1 No 1158/2012,"Designates all parts and derivatives, except:<p>
(a) seeds, spores and pollen (including pollinia); (b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
#2,140,#2 No 1158/2012,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen; and<p>
(b) finished products packaged and ready for retail trade."
#3,140,#3 No 1158/2012,Designates whole and sliced roots and parts of roots.
#4,140,#4 No 1158/2012,"Designates all parts and derivatives, except:<p>
(a) seeds (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from Beccariophoenix madagascariensis and Neodypsis decaryi exported from Madagascar;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants;<p>
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants of the genus Vanilla (Orchidaceae) and of the family Cactaceae;<p>
(e) stems, flowers, and parts and derivatives thereof of naturalised or artificially propagated plants of the genera Opuntia subgenus Opuntia and Selenicereus (Cactaceae); and<p>
(f) finished products of Euphorbia antisyphilitica packaged and ready for retail trade."
#5,140,#5 No 1158/2012,"Designates logs, sawn wood and veneer sheets."
#6,140,#6 No 1158/2012,"Designates logs, sawn wood, veneer sheets and plywood."
#7,140,#7 No 1158/2012,"Designates logs, wood-chips, powder and extracts."
#8,140,#8 No 1158/2012,"Designates underground parts (i.e. roots, rhizomes): whole, parts and powdered."
#9,140,#9 No 1158/2012,"Designates all parts and derivatives, except those bearing a label ÒProduced from Hoodia spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement No BW/NA/ZA xxxxxxÓ."
#10,140,#10 No 1158/2012,"Designates logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments."
#11,140,#11 No 1158/2012,"Designates logs, sawn wood, veneer sheets, plywood, powder and extracts."
#12,140,#12 No 1158/2012,"Designates logs, sawn wood, veneer sheets, plywood and essential oil, excluding finished products packaged and ready for retail trade."
#13,140,#13 No 1158/2012,"Designates the kernel (also known as ÒendospermÓ, ÒpulpÓ or ÒcopraÓ) and any derivative thereof."
§1,29,§1 No 2724/2000,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
§2,29,§2 No 2724/2000,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
§3,29,§3 No 2724/2000,"Live specimens and dried and fresh plants, including; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
§1,82,§1 No 1497/2003,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
§2,82,§2 No 1497/2003,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
§3,82,§3 No 1497/2003,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
§1,98,§1 No 1332/2005,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
§2,98,§2 No 1332/2005,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
§3,98,§3 No 1332/2005,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
§1,100,§1 No 318/2008,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
§2,100,§2 No 318/2008,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
§3,100,§3 No 318/2008,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
§4,100,§4 No 318/2008,"Live specimens and logs, sawn wood and veneer sheets."
§1,137,§1 No 407/2009,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
§2,137,§2 No 407/2009,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
§3,137,§3 No 407/2009,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
§4,137,§4 No 407/2009,"Live specimens and logs, sawn wood and veneer sheets."
§1,138,§1 No 709/2010,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
§2,138,§2 No 709/2010,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
§3,138,§3 No 709/2010,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
§4,138,§4 No 709/2010,"Live specimens and logs, sawn wood and veneer sheets."
§1,139,§1 No 101/2012,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
§2,139,§2 No 101/2012,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
§3,139,§3 No 101/2012,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
§4,139,§4 No 101/2012,"Live specimens and logs, sawn wood and veneer sheets."
§1,140,§1 No 1158/2012,"Live specimens and whole, or substantially whole, dead specimens and any whole, or substantially whole, skins, raw or tanned."
§2,140,§2 No 1158/2012,"Live specimens and whole, or substantially whole, dead specimens and any feathers or any skin or other part with feathers on it."
§3,140,§3 No 1158/2012,"Live specimens and dried and fresh plants, including, where appropriate; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
§4,140,§4 No 1158/2012,"Live specimens and logs, sawn wood and veneer sheets."
