Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
pulcherrimus,SPECIES,,GENUS,1563,S,"Gray, 1856",,CITES_EU,SPECIES,100292
pulcherrima,SPECIES,,GENUS,2349,S,"Strauch, 1862",,CITES_EU,SPECIES,100292
incisa,SPECIES,,GENUS,1563,S,"Bocourt, 1868",,CITES_EU,SPECIES,100292
bocourti,SPECIES,,GENUS,100257,S,"Gray, 1873",,CITES_EU,SPECIES,100292
frontalis,SPECIES,,GENUS,100257,S,"Gray, 1873",,CITES_EU,SPECIES,100292
incisa,SPECIES,,GENUS,2349,S,"Strauch, 1890",,CITES_EU,SPECIES,100292
manni,SPECIES,,GENUS,2511,S,"Dunn, 1930",,CITES_EU,SPECIES,100292
dorsata,SPECIES,,GENUS,1563,S,"Schweigger, 1812",,CITES_EU,SPECIES,100293
punctularia,SPECIES,,GENUS,1563,S,"Schweigger, 1812",,CITES_EU,SPECIES,100293
punctularia,SPECIES,,GENUS,30302,S,"Merrem, 1820",,CITES_EU,SPECIES,100293
planitia,SPECIES,,GENUS,30302,S,"Merrem, 1820",,CITES_EU,SPECIES,100293
dorsualis,SPECIES,,GENUS,1563,S,"Spix, 1824",,CITES_EU,SPECIES,100293
dorsata,SPECIES,,GENUS,2349,S,"Wagler, 1830",,CITES_EU,SPECIES,100293
callocephalus,SPECIES,,GENUS,2158,S,"Gray, 1863",,CITES_EU,SPECIES,100293
callocephala,SPECIES,,GENUS,2349,S,"Strauch, 1865",,CITES_EU,SPECIES,100293
bellii,SPECIES,,GENUS,100257,S,"Gray, 1872",,CITES_EU,SPECIES,100293
scabra,SPECIES,,GENUS,100257,S,"Gray, 1872",,CITES_EU,SPECIES,100293
mexicana,SPECIES,,GENUS,100257,S,"Gray, 1870",,CITES_EU,SPECIES,100294
rubida,SPECIES,,GENUS,30432,S,"Boulenger, 1889",,CITES_EU,SPECIES,100294
rubida,SPECIES,,GENUS,2349,S,"Strauch, 1890",,CITES_EU,SPECIES,100294
rubida,SPECIES,,GENUS,2511,S,"Siebenrock, 1909",,CITES_EU,SPECIES,100294
nigrinoda,SPECIES,,GENUS,801,S,"Cochran & Goin, 1970",,CITES_EU,SPECIES,8521
sabinensis,SPECIES,,GENUS,2291,S,"Vetter, 2004",,CITES_EU,SPECIES,5264
versa,SPECIES,,GENUS,801,S,"McDowell, 1964",,CITES_EU,SPECIES,6509
blochii,SPECIES,,GENUS,1499,S,"(Cuvier, 1816)",,CITES_EU,SPECIES,100437
