taxon_concept_id,start_regulation_name,country_name,start_date,opinion_name,term_code,source_code,is_current,notes,internal_notes,nomenclature_note_en,nomenclature_note_es,nomenclature_note_fr
9800,SRG 88,United States Minor Outlying Islands,2019-12-12,i) removed,LIV,W,FALSE,,,,,
9800,SRG 88,Viet Nam,2019-12-12,i) removed,LIV,W,FALSE,,,,,
1256,SRG 88,American Samoa,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Cocos (Keeling) Islands,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Djibouti,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Guam,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,India,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Israel,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Japan,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Madagascar,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Maldives,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Marshall Islands,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Mauritius,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Micronesia (Federated States of),2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Myanmar,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,New Caledonia,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Northern Mariana Islands,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Oman,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Palau,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Papua New Guinea,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Philippines,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Samoa,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Seychelles,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Singapore,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Solomon Islands,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Sri Lanka,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,"Taiwan, Province of China",2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Thailand,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Vanuatu,2019-12-12,i) removed,COR,W,FALSE,,,,,
1256,SRG 88,Viet Nam,2019-12-12,i) removed,COR,W,FALSE,,,,,
1086,SRG 88,Indonesia,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,American Samoa,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,British Indian Ocean Territory (United Kingdom),2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Djibouti,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Egypt,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Guam,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,India,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Israel,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Japan,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Kenya,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Kiribati,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Madagascar,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Malaysia,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Maldives,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Marshall Islands,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Mauritius,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,New Caledonia,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Northern Mariana Islands,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Palau,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Papua New Guinea,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Philippines,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Saudi Arabia,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Singapore,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Solomon Islands,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Sudan,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,"Taiwan, Province of China",2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Thailand,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,United Republic of Tanzania,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,United States Minor Outlying Islands,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Vanuatu,2019-12-12,i) removed,COR,W,FALSE,,,,,
757,SRG 88,Viet Nam,2019-12-12,i) removed,COR,W,FALSE,,,,,
7414,SRG 88,Norway,2019-12-12,i) removed,TRO,W,FALSE,,,,,
27858,SRG 88,Philippines,2019-12-12,i) removed,,A,FALSE,,,,,
3521,SRG 88,Nepal,2019-12-12,i) removed,,F,FALSE,,,,,
5621,SRG 88,United Republic of Tanzania,2019-12-12,i) removed,,F,FALSE,,,,,
8032,SRG 88,United Republic of Tanzania,2019-12-12,i) removed,,F,FALSE,,,,,
9203,SRG 88,United Republic of Tanzania,2019-12-12,i) removed,,F,FALSE,,,,,
8800,SRG 88,United Republic of Tanzania,2019-12-12,i) removed,,F,FALSE,,,,,
7462,SRG 88,United Republic of Tanzania,2019-12-12,i) removed,,F,FALSE,,,,,
8048,SRG 88,United Republic of Tanzania,2019-12-12,i) removed,,F,FALSE,,,,,
12210,SRG 88,Lebanon,2019-12-12,i) removed,,F,FALSE,,,,,
6915,SRG 88,Indonesia,2019-12-12,i) removed,,R,FALSE,,,,,
32,SRG 88,Nicaragua,2019-12-12,i) removed,,R,FALSE,,,,,
147,SRG 88,Nicaragua,2019-12-12,i) removed,,R,FALSE,,,,,
9928,SRG 88,Mozambique,2019-12-12,i) removed,,R,FALSE,,,,,
10797,SRG 88,Mozambique,2019-12-12,i) removed,,R,FALSE,,,,,
3293,SRG 88,Madagascar,2019-12-12,i) removed,,R,FALSE,,,,,
4465,SRG 88,Ghana,2019-12-12,i) removed,,R,FALSE,,,,,
7194,SRG 88,Ghana,2019-12-12,i) removed,,R,FALSE,,,,,
8551,SRG 88,Mozambique,2019-12-12,i) removed,,R,FALSE,,,,,
10209,SRG 88,Niger,2019-12-12,i) removed,,R,FALSE,,,,,
10209,SRG 88,Togo,2019-12-12,i) removed,,R,FALSE,,,,,
4565,SRG 88,Benin,2019-12-12,i) removed,,R,FALSE,,,,,
4565,SRG 88,Ghana,2019-12-12,i) removed,,R,FALSE,,,,,
4565,SRG 88,Togo,2019-12-12,i) removed,,R,FALSE,,,,,
8867,SRG 88,Mozambique,2019-12-12,i) removed,,R,FALSE,,,,,
12210,SRG 88,Lebanon,2019-12-12,i) removed,,R,FALSE,,,,,
4840,SRG 88,Peru,2019-12-12,i) removed,,R,FALSE,,,,,
8305,SRG 88,Peru,2019-12-12,i) removed,,R,FALSE,,,,,
7458,SRG 88,Peru,2019-12-12,i) removed,,R,FALSE,,,,,
3980,SRG 88,Peru,2019-12-12,i) removed,,R,FALSE,,,,,
7128,SRG 88,Papua New Guinea,2019-12-12,i) removed,,R,FALSE,,,,,
6442,SRG 88,Australia,2019-12-12,i) removed,,R,FALSE,,,,,
55874,SRG 88,Australia,2019-12-12,i) removed,,R,FALSE,,,,,
7954,SRG 88,Brunei Darussalam,2019-12-12,i) removed,,R,FALSE,,,,,
7954,SRG 88,Malaysia,2019-12-12,i) removed,,R,FALSE,,,,,
7954,SRG 88,Myanmar,2019-12-12,i) removed,,R,FALSE,,,,,
7954,SRG 88,Thailand,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,Bangladesh,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,Bhutan,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,Cambodia,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,China,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,"Hong Kong, SAR",2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,India,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,Indonesia,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,Japan,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,Lao People's Democratic Republic,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,Malaysia,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,Myanmar,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,Nepal,2019-12-12,i) removed,,R,FALSE,,,,,
4260,SRG 88,"Taiwan, Province of China",2019-12-12,i) removed,,R,FALSE,,,,,
