cites_name,cites_taxon_code,speciesplusid,speciesplusname,rank
Sitagra spp.,1966,30381,Sitagra,GENUS
Spatula clypeata,1157.1,35848,Spatula clypeata,SPECIES
Spatula spp.,1157,30127,Spatula,GENUS
Speotyto cunicularia,1631.1,31189,Speotyto cunicularia,SPECIES
Speotyto spp.,1631,29745,Speotyto,GENUS
Spermestes bicolor,1938.1,35378,Spermestes bicolor,SPECIES
Spermestes cucullatus,1938.2,35082,Spermestes cucullatus,SPECIES
Spermestes fringilloides,1938.3,33095,Spermestes fringilloides,SPECIES
Spermestes spp.,1938,30253,Spermestes,GENUS
Spinus cucullatus,1913.1,34770,Spinus cucullatus,SPECIES
Spinus spp.,1913,30137,Spinus,GENUS
Sporaeginthus spp.,1940,30082,Sporaeginthus,GENUS
Sporaeginthus subflavus,1940.1,35545,Sporaeginthus subflavus,SPECIES
Stizostedion spp.,2710,30474,Stizostedion,GENUS
Stizostedion vitreum glaucum,2710.1,39085,Stizostedion vitreum glaucum,SPECIES
Tricholimnas spp.,1381,30412,Tricholimnas,GENUS
Tricholimnas sylvestris,1381.1,33320,Tricholimnas sylvestris,SPECIES
Vampyrops lineatus,110.1,32096,Vampyrops lineatus,SPECIES
Vampyrops spp.,110,29824,Vampyrops,GENUS
Wellsophyllia radiata,3392.1,36230,Wellsophyllia radiata,SPECIES
Wellsophyllia spp.,3392,30032,Wellsophyllia,GENUS
Xenoboa spp.,2389.2,29948,Xenoboa,GENUS
Accipitridae spp.,1190,186,Accipitridae,FAMILY
Acipenseridae spp.,2619.4,466,Acipenseridae,FAMILY
Acroporidae spp.,3245.9,381,Acroporidae,FAMILY
Agariciidae spp.,3279.999,240,Agariciidae,FAMILY
Agavaceae spp.,4000.05,12543,Agavaceae,FAMILY
Alligatoridae spp.,2210,333,Alligatoridae,FAMILY
Anatidae spp.,1140,470,Anatidae,FAMILY
Aphanipathidae spp.,3204,570,Aphanipathidae,FAMILY
Apocynaceae spp.,4023.2,12501,Apocynaceae,FAMILY
Balaenidae spp.,560,507,Balaenidae,FAMILY
Balaenopteridae spp.,549,481,Balaenopteridae,FAMILY
Boidae spp.,2360,377,Boidae,FAMILY
Bolyeriidae spp.,2389.5,248,Bolyeriidae,FAMILY
Bovidae spp.,879,540,Bovidae,FAMILY
Bucerotidae spp.,1779,416,Bucerotidae,FAMILY
Cactaceae spp.,4100,12491,Cactaceae,FAMILY
Calyptocephalellidae spp.,2526,284,Calyptocephalellidae,FAMILY
Caryophylliidae spp.,3499,298,Caryophylliidae,FAMILY
Cathartidae spp.,1169,395,Cathartidae,FAMILY
Cebidae spp.,230,401,Cebidae,FAMILY
Cercopithecidae spp.,250,353,Cercopithecidae,FAMILY
Cervidae spp.,860.5,217,Cervidae,FAMILY
Chamaeleonidae spp.,2279.9,243,Chamaeleonidae,FAMILY
Cheirogaleidae spp.,150,390,Cheirogaleidae,FAMILY
Cheloniidae spp.,2150,258,Cheloniidae,FAMILY
Cladopathidae spp.,3207,218,Cladopathidae,FAMILY
Colubridae spp.,2398,286,Colubridae,FAMILY
Columbidae spp.,1450,237,Columbidae,FAMILY
Coralliidae spp.,3219.949,191,Coralliidae,FAMILY
Crocodylidae spp.,2220,290,Crocodylidae,FAMILY
Cyatheaceae spp.,4990,12463,Cyatheaceae,FAMILY
Cycadaceae spp.,5060,12499,Cycadaceae,FAMILY
Delphinidae spp.,510,479,Delphinidae,FAMILY
Dendrobatidae spp.,2529.99,374,Dendrobatidae,FAMILY
Dendrophylliidae spp.,3599.999,426,Dendrophylliidae,FAMILY
Dicksoniaceae spp.,5080,12449,Dicksoniaceae,FAMILY
Didiereaceae spp.,5090,12538,Didiereaceae,FAMILY
