Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
ceylanica,SPECIES,,GENUS,98197,S,"Ferguson, 1877",,CITES_EU,SPECIES,98198
ceylanica,SPECIES,,GENUS,98197,S,"Boulenger, 1885",,CITES_EU,SPECIES,98198
ceylanica,SPECIES,,GENUS,98197,S,"Smith, 1935",,CITES_EU,SPECIES,98198
ceylanica,SPECIES,,GENUS,98197,S,"Manthey & Schuster, 1999",,CITES_EU,SPECIES,98198
cylanica,SPECIES,,GENUS,98197,S,"Barts & Wilms, 2003",,CITES_EU,SPECIES,98198
urarachnoides,SPECIES,,GENUS,98232,S,"Gower et al., 2012",,CITES_EU,SPECIES,98233
urarachnoides,SPECIES,,GENUS,98232,S,"Wallach et al., 2014",,CITES_EU,SPECIES,98233
andersonii,SUBSPECIES,,SPECIES,27816,S,(Boed.) Buxb. & Backeb.,,CITES_EU,SPECIES,27816
dolichocentra,SPECIES,,GENUS,13410,S,Lem.,,CITES_EU,SPECIES,28759
kimnachii,SUBSPECIES,,SPECIES,98429,S,,,CITES_EU,SPECIES,98429
crenatus,SUBSPECIES,,SPECIES,98429,S,,,CITES_EU,SPECIES,98429
grandiflora,SPECIES,,GENUS,39444,S,,,CITES_EU,SPECIES,24335
bonnieae,SPECIES,,GENUS,39283,S,,,CITES_EU,SPECIES,22762
stolonifer,SUBSPECIES,,SPECIES,98427,S,,,CITES_EU,SPECIES,98427
armatum,SPECIES,,GENUS,13448,S,F.Ritter,,CITES_EU,SPECIES,27500
laetevirens,SPECIES,,GENUS,13085,S,Backeb.,,CITES_EU,SPECIES,94032
peniciligera,SPECIES,,GENUS,13085,S,Speg.,,CITES_EU,SPECIES,13974
moelleri,SPECIES,,GENUS,39635,S,(A.Berger) F.M.Knuth,,CITES_EU,SPECIES,94014
patulifolius,SPECIES,,GENUS,12629,S,Buining & Brederoo,,CITES_EU,SPECIES,64452
fendleri,SUBSPECIES,,SPECIES,14253,S,,,CITES_EU,SPECIES,14253
tessellatus,SUBSPECIES,,SPECIES,24342,S,(Akers & Buining) Ostolaza,,CITES_EU,SPECIES,93990
gracilis,SUBSPECIES,,SPECIES,14591,S,P.J.Braun & Esteves,,CITES_EU,SPECIES,14591
calvus,SUBSPECIES,,SPECIES,15342,S,Rauh & Backeb. ,,CITES_EU,SPECIES,15342
estevesii,SPECIES,,GENUS,98500,S,Hofacker & P.J.Braun,,CITES_EU,SPECIES,93914
doelzianus,SUBSPECIES,,SPECIES,15342,S,,,CITES_EU,SPECIES,15342
sericatus,SUBSPECIES,,SPECIES,15342,S,,,CITES_EU,SPECIES,15342
yanganucensis,SUBSPECIES,,SPECIES,52740,S,(Rauh & Backeb.) Ostolaza,,CITES_EU,SPECIES,52740
roczekii,SUBSPECIES,,SPECIES,16853,S,,,CITES_EU,SPECIES,16853
aureiflora,SPECIES,,GENUS,98501,S,(F. Ritter) Lodé,,CITES_EU,SPECIES,21178
bleo,SPECIES,,GENUS,98501,S,(Kunth) Lodé,,CITES_EU,SPECIES,20695
guamacho,SPECIES,,GENUS,98501,S,(F.A.C. Weber) Lodé,,CITES_EU,SPECIES,28022
lychnidiflora,SPECIES,,GENUS,98501,S,(DC.) Lodé,,CITES_EU,SPECIES,17358
marcanoi,SPECIES,,GENUS,98501,S,(Areces) Lodé,,CITES_EU,SPECIES,16581
portulacifolia,SPECIES,,GENUS,98501,S,(L.) Lodé,,CITES_EU,SPECIES,26362
quisqueyana,SPECIES,,GENUS,98501,S,(Alain) Lodé,,CITES_EU,SPECIES,17838
trantuanii,SPECIES,,GENUS,12962,S,"Gogniat & Loubr, 2008",,CITES_EU,SPECIES,98404
amandum,SPECIES,,GENUS,12617,S,"Rchb.f., 1887",,CITES_EU,SPECIES,98382
crossianum,SPECIES,,GENUS,12617,S,"Rchb.f., 1873",,CITES_EU,SPECIES,98382
venustoinsigne,SPECIES,,GENUS,12962,S,"Pradhan, 1979",,CITES_EU,SPECIES,98382
frankeana,SPECIES,,GENUS,39292,S,"(Rolfe) Rolfe, 1912",,CITES_EU,SPECIES,98380
littleana,SPECIES,,GENUS,39292,S,"Rolfe, 1912",,CITES_EU,SPECIES,98372
littleanum,SPECIES,,GENUS,12617,S,"Rolfe, 1895",,CITES_EU,SPECIES,98372
nitens,SPECIES,,GENUS,12617,S,"Rchb.f., 1878",,CITES_EU,SPECIES,98377
sallieri,SPECIES,,GENUS,12617,S,"God.-Leb., 1888",,CITES_EU,SPECIES,98377
grussii,SPECIES,,GENUS,12962,S,"J.M.H.Shaw, 2012",,CITES_EU,SPECIES,98377
nitens,SPECIES,,GENUS,12962,S,"Z.J.Liu, O.Gruss & L.J.Chen, 2011",,CITES_EU,SPECIES,98377
polystigmaticum,SPECIES,,GENUS,12617,S,"Rchb.f., 1888",,CITES_EU,SPECIES,98357
spicerovenustum,SPECIES,,GENUS,12962,S,"Pradhan, 1979",,CITES_EU,SPECIES,98357
shipwayae,SPECIES,,GENUS,39292,S,"(Rolfe) Rolfe, 1912",,CITES_EU,SPECIES,98400
