IsCurrent?,Taxonomy,LawID,SpcRecID,DecLevel,Kingdom,ISO_country,DecOpinion,DecDate,Source,Term,DecNotes,Internal_Notes
0,CITES_EU,87,107,Species,Animalia,CU,Suspension (b),22/12/1997,W,,,
1,CITES_EU,8,111,Species,Animalia,SB,i),16/02/2010,,,,Effective on 24/10/2010 when EC Regulation 997/2010 came into force
1,CITES_EU,8,111,Species,Animalia,PG,i),16/02/2010,,,,Effective on 24/10/2010 when EC Regulation 997/2010 came into force
0,CITES_EU,67,111,Species,Animalia,SB,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,111,Species,Animalia,SB,Suspension (b),03/09/2008,W,,,
0,CITES_EU,63,111,Species,Animalia,SB,Suspension (b),01/10/2007,W,,,
0,CITES_EU,50,111,Species,Animalia,SB,Suspension (b),10/05/2006,W,,,
0,CITES_EU,92,111,Species,Animalia,SB,Suspension (b),18/02/2005,W,,,
0,CITES_EU,91,111,Species,Animalia,SB,Suspension (b),30/04/2004,W,,,
0,CITES_EU,88,111,Species,Animalia,SB,Suspension (b),01/03/2003,W,,,
0,CITES_EU,31,111,Species,Animalia,SB,Suspension (b),29/10/2001,W,,,
0,CITES_EU,33,111,Species,Animalia,SB,Suspension (b),03/02/2001,W,,,
0,CITES_EU,34,111,Species,Animalia,SB,Suspension (b),24/09/2000,W,,,
0,CITES_EU,84,111,Species,Animalia,SB,Suspension (b),19/09/1999,W,,,
0,CITES_EU,86,111,Species,Animalia,SB,Suspension (b),21/11/1998,W,,,
0,CITES_EU,87,111,Species,Animalia,SB,Suspension (b),22/12/1997,W,,,
0,CITES_EU,67,111,Species,Animalia,PG,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,111,Species,Animalia,PG,Suspension (b),03/09/2008,W,,,
0,CITES_EU,63,111,Species,Animalia,PG,Suspension (b),01/10/2007,W,,,
0,CITES_EU,50,111,Species,Animalia,PG,Suspension (b),10/05/2006,W,,,
0,CITES_EU,92,111,Species,Animalia,PG,Suspension (b),18/02/2005,W,,,
0,CITES_EU,91,111,Species,Animalia,PG,Suspension (b),30/04/2004,W,,,
0,CITES_EU,88,111,Species,Animalia,PG,Suspension (b),01/03/2003,W,,,
0,CITES_EU,31,111,Species,Animalia,PG,Suspension (b),29/10/2001,W,,,
0,CITES_EU,33,111,Species,Animalia,PG,Suspension (b),03/02/2001,W,,,
0,CITES_EU,34,111,Species,Animalia,PG,Suspension (b),24/09/2000,W,,,
0,CITES_EU,84,111,Species,Animalia,PG,Suspension (b),19/09/1999,W,,,
0,CITES_EU,86,111,Species,Animalia,PG,Suspension (b),21/11/1998,W,,,
0,CITES_EU,87,111,Species,Animalia,PG,Suspension (b),22/12/1997,W,,,
0,CITES_EU,8,115,Species,Animalia,GN,Negative,08/01/2004,W,,,
1,CITES_EU,8,115,Species,Animalia,TG,Positive,15/03/2005,,,,
0,CITES_EU,124,115,Species,Animalia,GN,Suspension (b),07/09/2011,W,,,
0,CITES_EU,81,115,Species,Animalia,GN,Suspension (b),26/11/2010,W,,,
0,CITES_EU,67,115,Species,Animalia,GN,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,115,Species,Animalia,GN,Suspension (b),03/09/2008,W,,,
0,CITES_EU,63,115,Species,Animalia,GN,Suspension (b),01/10/2007,W,,,
0,CITES_EU,50,115,Species,Animalia,GN,Suspension (b),10/05/2006,W,,,
0,CITES_EU,103,115,Species,Animalia,GN,Suspension (b),10/09/2012,W,,,
1,CITES_EU,141,115,Species,Animalia,GN,Suspension (b),11/07/2013,W,,,
0,CITES_EU,8,121,Species,Animalia,GN,Negative,27/07/2004,W,,,
0,CITES_EU,124,121,Species,Animalia,GN,Suspension (b),07/09/2011,W,,,
0,CITES_EU,81,121,Species,Animalia,GN,Suspension (b),26/11/2010,W,,,
0,CITES_EU,67,121,Species,Animalia,GN,Suspension (b),21/05/2009,W,,,
0,CITES_EU,101,121,Species,Animalia,GN,Suspension (b),03/09/2008,W,,,
0,CITES_EU,63,121,Species,Animalia,GN,Suspension (b),01/10/2007,W,,,
0,CITES_EU,50,121,Species,Animalia,GN,Suspension (b),10/05/2006,W,,,
0,CITES_EU,103,121,Species,Animalia,GN,Suspension (b),10/09/2012,W,,,
1,CITES_EU,141,121,Species,Animalia,GN,Suspension (b),11/07/2013,W,,,
0,CITES_EU,8,129,Order,Animalia,NI,iii),13/12/2004,W,,,
1,CITES_EU,8,129,Order,Animalia,NI,iii),15/03/2005,W,,,
0,CITES_EU,8,132,Species ,Animalia,GN,iii),01/07/2004,,,,
0,CITES_EU,8,132,Species ,Animalia,GN,No opinion,15/01/2004,,,,
1,CITES_EU,8,132,Species ,Animalia,GN,No opinion,15/03/2005,,,,
0,CITES_EU,8,137,Order,Animalia,GH,Negative,12/03/2009,,,,
0,CITES_EU,103,137,Order,Animalia,GH,Suspension (b),10/09/2012,,,,
1,CITES_EU,141,137,Order,Animalia,GH,Suspension (b),11/07/2013,,,,
1,CITES_EU,8,219,Species,Animalia,NA,Positive,07/10/2011,,,,
0,CITES_EU,8,225,Species,Animalia,KZ,Negative,27/09/2000,W,,,
1,CITES_EU,8,225,Species,Animalia,KZ,Positive,15/05/2002,,,,
0,CITES_EU,8,228,Species ,Animalia,RU,iii),29/02/2008,W,,,
1,CITES_EU,8,228,Species,Animalia,RU,iii),01/03/2008,W,,,
1,CITES_EU,8,228,Species,Animalia,CN,iii),29/02/2008,W,,,
0,CITES_EU,8,228,Species,Animalia,RU,Negative,22/05/2003,,,,
0,CITES_EU,8,228,Species,Animalia,RU,Positive,09/10/2003,,,"Subject to publication of reduced quotas on the CITES website, as notified to the Commission",
0,CITES_EU,8,228,Species,Animalia,RU,Positive removed,29/02/2008,,,,
1,CITES_EU,8,229,Species,Animalia,RU,Negative,14/09/2010,,,,
1,CITES_EU,8,229,Species,Animalia,KZ,Negative,14/09/2010,,,,
0,CITES_EU,8,229,Species,Animalia,IR,Negative,14/09/2010,,,,
1,CITES_EU,8,229,Species,Animalia,IR,Negative,03/12/2010,,,,
0,CITES_EU,8,229,Species,Animalia,AZ,Negative,14/09/2010,,,,
1,CITES_EU,8,229,Species,Animalia,AZ,Negative,03/12/2010,,,,
1,CITES_EU,8,232,Species,Animalia,RU,Negative,14/09/2010,,,,
1,CITES_EU,8,232,Species,Animalia,KZ,Negative,14/09/2010,,,,
0,CITES_EU,8,232,Species,Animalia,IR,Negative,14/09/2010,,,,
1,CITES_EU,8,232,Species,Animalia,IR,Negative,03/12/2010,,,,
0,CITES_EU,8,232,Species,Animalia,AZ,Negative,14/09/2010,,,,
1,CITES_EU,8,232,Species,Animalia,AZ,Negative,03/12/2010,,,,
1,CITES_EU,8,235,Species,Animalia,RU,iii),18/05/2010,W,,,
1,CITES_EU,8,235,Species,Animalia,KZ,iii),18/05/2010,W,,,
1,CITES_EU,8,235,Species,Animalia,AZ,iii),18/05/2010,W,,,
0,CITES_EU,8,235,Species,Animalia,IR,Negative,14/09/2010,,,,
1,CITES_EU,8,235,Species,Animalia,IR,Negative,03/12/2010,,,,
1,CITES_EU,8,306,Genus,Animalia,NI,Positive,05/09/2002,,,Worked coral,
0,CITES_EU,8,337,Species,Animalia,HT,Positive,13/06/2005,,,,
1,CITES_EU,8,337,Species,Animalia,HT,Positive,12/06/2006,,,,
1,CITES_EU,8,348,Species ,Animalia,VN,No opinion,09/03/2006,,,,
1,CITES_EU,8,358,Species,Animalia,VU,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,VN,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,US,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,TW,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,TO,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,TH,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,SG,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,SB,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,SA,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,PW,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,PH,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,PG,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,PF,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,MY,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,MV,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,MH,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,MG,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,KI,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,JP,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,IN,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,GU,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,AU,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,358,Species,Animalia,ID,i),28/05/2013,,,,
1,CITES_EU,8,358,Species,Animalia,FJ,i),28/05/2013,,,,
0,CITES_EU,8,358,Species,Animalia,VU,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,VN,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,US,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,TW,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,TO,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,TH,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,SG,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,SB,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,SA,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,PW,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,PH,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,PG,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,PF,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,MY,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,MV,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,MH,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,MG,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,KI,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,JP,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,IN,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,ID,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,GU,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,FJ,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,AU,Positive,22/07/1997,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,VU,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,VN,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,US,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,TW,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,TO,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,TH,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,SG,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,SB,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,SA,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,PW,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,PH,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,PG,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,PF,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,MY,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,MV,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,MH,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,MG,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,KI,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,JP,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,IN,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,ID,Positive removed,28/05/2013,,,,"Published for ""All countries"""
0,CITES_EU,8,358,Species,Animalia,GU,Positive removed,02/12/2011,,,,
0,CITES_EU,8,358,Species,Animalia,AU,Positive removed,02/12/2011,,,,
1,CITES_EU,8,364,Species,Animalia,ZA,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,WS,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,VU,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,UM,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,TZ,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
1,CITES_EU,8,364,Species,Animalia,TW,i),02/12/2011,,,"Trade at species level not anticipated, however trade at genus level may occur",
