Kingdom,RecId,Rank,ISO code,Quota,Unit,StartDate,EndDate,Year,Notes,Terms,Sources,QuoAdded,QuoDate,IsCurrent,PublicDisplay,Link
Animalia,15374,Species,ID,270,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,6375,Species,NI,1100,,01/01/1997,31/12/1997,1997,Quota originally established for <i>Dendrobates pumilio</i> which was subject to a taxonomic change at CITES CoP16.,,,09/05/1999,,0,1,
Animalia,15155,Species,MZ,1000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,15155,Species,SN,10000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,14733,Species,MZ,3000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,14558,Species,ID,450,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,14319,Species,AR,6000,,01/01/1997,31/12/1997,1997,,,,16/05/2003,,0,1,
Animalia,14314,Species,ID,135000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,14253,Species,PE,500,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,14080,Species,AR,3000,,01/01/1997,31/12/1997,1997,,,,16/05/2003,,0,1,
Animalia,13897,Species,RU,40,KIL,01/01/1997,31/12/1997,1997,musk,MUS,,09/05/1999,,0,1,
Animalia,13865,Species,ID,1400,,01/01/1997,31/12/1997,1997,[Note: Quota applies to subspecies <i>Morelia spilota variegata</i>.],,,16/05/2003,,0,1,
Animalia,13856,Species,ID,540,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
