Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
megalophylla,SPECIES,,GENUS,99655,S,(Fröd.) S.H.Fu,,CITES_EU,SPECIES,99669
rotundata,SPECIES,,GENUS,99655,S,(Hemsl.) S.H.Fu,,CITES_EU,SPECIES,99669
crenulatum,SPECIES,,GENUS,103597,S,Hook.f. & ?homson,,CITES_EU,SPECIES,99669
euryphyllum,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99669
megalanthum,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99669
megalophyllum,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99669
rotundatum,SPECIES,,GENUS,103597,S,Hemsl.,,CITES_EU,SPECIES,99669
cretinii,SPECIES,,GENUS,103597,S,Raym.-Hamet,,CITES_EU,SPECIES,99670
discolor,SPECIES,,GENUS,103597,S,Franch.,,CITES_EU,SPECIES,99672
wulingensis,SPECIES,,GENUS,99655,S,(Nakai) Kitag.,,CITES_EU,SPECIES,99673
dumulosum,SPECIES,,GENUS,103597,S,Franch.,,CITES_EU,SPECIES,99673
farreri,SPECIES,,GENUS,103597,S,W.W.Sm.,,CITES_EU,SPECIES,99673
rariflorum,SPECIES,,GENUS,103597,S,N.E.Br.,,CITES_EU,SPECIES,99673
rendlei,SPECIES,,GENUS,103597,S,Raym.-Hamet,,CITES_EU,SPECIES,99673
talihsiense,SPECIES,,GENUS,103597,S,Fröd.,,CITES_EU,SPECIES,99673
wulingense,SPECIES,,GENUS,103597,S,(Nakai) Kitag.,,CITES_EU,SPECIES,99673
fastigiatum,SPECIES,,GENUS,103597,S,Hook.f. & Thomson,,CITES_EU,SPECIES,99674
dubium,SPECIES,,GENUS,103597,S,Paulsen,,CITES_EU,SPECIES,99675
gelidum,SPECIES,,GENUS,103597,S,(Schrenk ex Fisch. & ?.?.Mey.) Karelin & Kirilow,,CITES_EU,SPECIES,99675
heterodontum,SPECIES,,GENUS,103597,S,Hook.f. & Thomson,,CITES_EU,SPECIES,99677
himalense,SPECIES,,GENUS,103597,S,D.Don,,CITES_EU,SPECIES,99679
coriaceum,SPECIES,,GENUS,103597,S,Wall. ex Hook.f. & Thomson,,CITES_EU,SPECIES,99679
hobsonii,SPECIES,,GENUS,103597,S,Prain ex Raym.-Hamet,,CITES_EU,SPECIES,99680
mirabile,SPECIES,,GENUS,103597,S,H.Ohba,,CITES_EU,SPECIES,99680
praegerianum,SPECIES,,GENUS,103597,S,W.W.Sm.,,CITES_EU,SPECIES,99680
bhutanica,SPECIES,,GENUS,99655,S,(Praeger) S.H.Fu,,CITES_EU,SPECIES,99681
bhutanense,SPECIES,,GENUS,103597,S,Praeger,,CITES_EU,SPECIES,99681
karpelesae,SPECIES,,GENUS,99655,S,(Raym.-Hamet) S.H.Fu,,CITES_EU,SPECIES,99682
barnesianum,SPECIES,,GENUS,103597,S,Praeger,,CITES_EU,SPECIES,99682
