TAXON_FAMILY,TERM_CODE
Zosteropidae,BOD
Zygophyllaceae,STE
Zygophyllaceae,DPL
Zygophyllaceae,SEE
Zygophyllaceae,ROO
Guyniidae,LIV
Haemodoraceae,LIV
Helioporidae,LIV
Helodermatidae,LIV
Herpestidae,LIV
Heteromyidae,LIV
Hippopotamidae,LIV
Hirudinidae,LIV
Hirundinidae,LIV
Hominidae,LIV
Humiriaceae,LIV
Hyaenidae,LIV
Hydrobiidae,LIV
Hydrophiidae,LIV
Hylobatidae,LIV
Hystricidae,LIV
Icteridae,LIV
Iguanidae,LIV
Indriidae,LIV
Juglandaceae,LIV
Lacertidae,LIV
Laridae,LIV
Leguminosae,LIV
Lemuridae,LIV
Leporidae,LIV
Liliaceae,LIV
Lorisidae,LIV
Loxocemidae,LIV
Lucanidae,LIV
Lycopodiaceae,LIV
Macropodidae,LIV
Magnoliaceae,LIV
Manidae,LIV
Meandriniidae,LIV
Lepilemuridae,LIV
Megapodidae,LIV
Melastomataceae,LIV
Meliaceae,LIV
Meliphagidae,LIV
Menyanthaceae,LIV
Merulinidae,LIV
Micrabaciidae,LIV
Microhylidae,LIV
Milleporidae,LIV
Monodontidae,LIV
Moraceae,LIV
Moschidae,LIV
Muridae,LIV
Muscicapidae,LIV
Musophagidae,LIV
Mussidae,LIV
Mustelidae,LIV
Myobatrachidae,LIV
Myrmecophagidae,LIV
Myrtaceae,LIV
Mytilidae,LIV
Nectariniidae,LIV
Neobalaenidae,LIV
Nepenthaceae,LIV
Oculinidae,LIV
Odobenidae,LIV
Orchidaceae,LIV
Orobanchaceae,LIV
Orycteropodidae,LIV
Osteoglossidae,LIV
Otariidae,LIV
Otididae,LIV
Palmae,LIV
Pandionidae,LIV
Papaveraceae,LIV
Papilionidae,LIV
Paradisaeidae,LIV
Parmeliaceae,LIV
Paryphantidae,LIV
Passifloraceae,LIV
Pectiniidae,LIV
Pedionomidae,LIV
Pelecanidae,LIV
Pelomedusidae,LIV
Peramelidae,LIV
Percidae,LIV
Phalangeridae,LIV
Phasianidae,LIV
Phocidae,LIV
Phocoenidae,LIV
Phoenicopteridae,LIV
Phyllostomidae,LIV
(Alcyonaria),LIV
(Cetacea),LIV
(Crocodylia),LIV
(Falconiformes),LIV
(Lutrinae),LIV
(Primates),LIV
(Proboscidea),LIV
(Scleractinia),LIV
(Strigiformes),LIV
(Testudines),LIV
Accipitridae,LIV
Achatinellidae,LIV
Acipenseridae,LIV
Acrochordidae,LIV
Acroporidae,LIV
Agamidae,LIV
Agariciidae,LIV
Agavaceae,LIV
Cuniculidae,LIV
Alligatoridae,LIV
Amaryllidaceae,LIV
Ambystomidae,LIV
Anatidae,LIV
Anomaluridae,LIV
Anthemiphylliidae,LIV
Antilocapridae,LIV
Antipathidae,LIV
Apocynaceae,LIV
Araceae,LIV
Araliaceae,LIV
Araucariaceae,LIV
Ardeidae,LIV
Asclepiadaceae,LIV
Astrangiidae,LIV
Astrocoeniidae,LIV
Atrichornithidae,LIV
Balaenicipitidae,LIV
Balaenidae,LIV
Balaenopteridae,LIV
Boidae,LIV
Bolyeriidae,LIV
Bombycillidae,LIV
Bovidae,LIV
Bradypodidae,LIV
Bromeliaceae,LIV
Bucerotidae,LIV
Bufonidae,LIV
Burhinidae,LIV
Burramyidae,LIV
Byblidaceae,LIV
Cactaceae,LIV
Camaenidae,LIV
Camelidae,LIV
Canidae,LIV
Capitonidae,LIV
Caryocaraceae,LIV
Caryophyllaceae,LIV
Caryophylliidae,LIV
Casuariidae,LIV
Cathartidae,LIV
Catostomidae,LIV
Cebidae,LIV
Cephalotaceae,LIV
Ceratodidae,LIV
Cercopithecidae,LIV
Cervidae,LIV
Cetorhinidae,LIV
Chamaeleonidae,LIV
Cheirogaleidae,LIV
Chelidae,LIV
Cheloniidae,LIV
Chinchillidae,LIV
Chloanthaceae,LIV
Choloepidae,LIV
Ciconiidae,LIV
Latimeriidae,LIV
Colubridae,LIV
Columbidae,LIV
Compositae,LIV
Gerrhosauridae,LIV
Corvidae,LIV
Cotingidae,LIV
Cracidae,LIV
Crassulaceae,LIV
Crocodylidae,LIV
Cryptobranchidae,LIV
Cupressaceae,LIV
Cycadaceae,LIV
Cyprinidae,LIV
Cyprinodontidae,LIV
Dasypodidae,LIV
Dasyproctidae,LIV
Dasyuridae,LIV
Daubentoniidae,LIV
Delphinidae,LIV
Dendrobatidae,LIV
Dendrophylliidae,LIV
Dermatemydidae,LIV
Dermochelyidae,LIV
Diapensiaceae,LIV
Dicksoniaceae,LIV
Didiereaceae,LIV
Diomedeidae,LIV
Dioscoreaceae,LIV
Droseraceae,LIV
Dugongidae,LIV
Elapidae,LIV
Elephantidae,LIV
Emberizidae,LIV
Emydidae,LIV
Equidae,LIV
Erethizontidae,LIV
Ericaceae,LIV
Erinaceidae,LIV
Eschrichtidae,LIV
Estrildidae,LIV
Euphorbiaceae,LIV
Fagaceae,LIV
Falconidae,LIV
Faviidae,LIV
Felidae,LIV
Flabellidae,LIV
Fouquieriaceae,LIV
Fregatidae,LIV
Fringillidae,LIV
Fungiacyathidae,LIV
Fungiidae,LIV
Galagidae,LIV
Galaxeidae,LIV
Gavialidae,LIV
Gekkonidae,LIV
Gentianaceae,LIV
Gnetaceae,LIV
Cactaceae,STE
Meliaceae,CAR
Gruidae,EGL
Euphorbiaceae,CUL
Viperidae,VNM
Teiidae,LPL
Teiidae,LPS
Anatidae,SKE
Emberizidae,SKE
Emberizidae,FEA
Ramphastidae,FEA
Cracidae,EGG
Strigidae,EGG
Trochilidae,EGG
Bovidae,HOC
Physeteridae,SKP
Odobenidae,BOP
Monodontidae,BOC
Testudinidae,CAR
Lamnidae,BON
Balaenopteridae,BOP
Balaenopteridae,SKP
Delphinidae,BOP
Delphinidae,SKP
Balaenidae,BOP
Balaenidae,SKP
Pelomedusidae,SKP
Elephantidae,MEA
Columbidae,TRO
Mustelidae,TRO
Physeteridae,LIV
Picidae,LIV
Pinaceae,LIV
Pittidae,LIV
Platanistidae,LIV
Ploceidae,LIV
Pocilloporidae,LIV
Podicipedidae,LIV
Podocarpaceae,LIV
Podophyllaceae,LIV
Poeciliidae,LIV
Polyodontidae,LIV
Poritidae,LIV
Portulacaceae,LIV
Primulaceae,LIV
Procyonidae,LIV
Proteaceae,LIV
Psittacidae,LIV
Pteropodidae,LIV
Pycnonotidae,LIV
Pygodopodidae,LIV
Pythonidae,LIV
Rallidae,LIV
Ramphastidae,LIV
Ranidae,LIV
Ranunculaceae,LIV
Rheidae,LIV
Rhinocerotidae,LIV
Rhizangiidae,LIV
Rhynochetidae,LIV
Rosaceae,LIV
Rubiaceae,LIV
Rutaceae,LIV
Sagittariidae,LIV
Salmonidae,LIV
Sarraceniaceae,LIV
Saxifragaceae,LIV
Schilbeidae,LIV
Sciaenidae,LIV
Scincidae,LIV
Sciuridae,LIV
Scolopacidae,LIV
Scorpionidae,LIV
Scrophulariaceae,LIV
Siderastreidae,LIV
Sittidae,LIV
Solanaceae,LIV
Spheniscidae,LIV
Sphenodontidae,LIV
Stangeriaceae,LIV
Sterculiaceae,LIV
Strigidae,LIV
Strombidae,LIV
Struthionidae,LIV
Sturnidae,LIV
Stylasteridae,LIV
Suidae,LIV
Sulidae,LIV
Syngnathidae,LIV
Tachyglossidae,LIV
Tapiridae,LIV
Tarsiidae,LIV
Taxaceae,LIV
Tayassuidae,LIV
Teiidae,LIV
Testudinidae,LIV
Tetracentraceae,LIV
Theaceae,LIV
Theraphosidae,LIV
Threskiornithidae,LIV
Thylacinidae,LIV
Thymelaeaceae,LIV
Tinamidae,LIV
Trachyphylliidae,LIV
Tragulidae,LIV
Trichechidae,LIV
Tridacnidae,LIV
Trillaceae,LIV
Trionychidae,LIV
Trochilidae,LIV
Trogonidae,LIV
Tropidophiidae,LIV
Tubiporidae,LIV
Tupaiidae,LIV
Turnicidae,LIV
Tytonidae,LIV
Ulmaceae,LIV
Unionidae,LIV
Ursidae,LIV
Valerianaceae,LIV
Varanidae,LIV
Verbenaceae,LIV
Viperidae,LIV
Viverridae,LIV
Vombatidae,LIV
Welwitschiaceae,LIV
Xenopeltidae,LIV
Xenosauridae,LIV
Xenosuridae,LIV
Zamiaceae,LIV
Zingiberaceae,LIV
Ziphiidae,LIV
Zosteropidae,LIV
Zygophyllaceae,LIV
(Alcyonaria),SPE
(Cetacea),SPE
(Crocodylia),SPE
(Falconiformes),SPE
(Lutrinae),SPE
(Primates),SPE
(Proboscidea),SPE
(Scleractinia),SPE
(Strigiformes),SPE
(Testudines),SPE
Accipitridae,SPE
Achatinellidae,SPE
Acipenseridae,SPE
Acrochordidae,SPE
Acroporidae,SPE
Agamidae,SPE
Agariciidae,SPE
Agavaceae,SPE
Cuniculidae,SPE
Alligatoridae,SPE
Amaryllidaceae,SPE
Ambystomidae,SPE
Anatidae,SPE
Anomaluridae,SPE
Anthemiphylliidae,SPE
Antilocapridae,SPE
Antipathidae,SPE
Apocynaceae,SPE
Araceae,SPE
Araliaceae,SPE
Araucariaceae,SPE
Ardeidae,SPE
Asclepiadaceae,SPE
Astrangiidae,SPE
Astrocoeniidae,SPE
Atrichornithidae,SPE
Balaenicipitidae,SPE
Balaenidae,SPE
Balaenopteridae,SPE
Boidae,SPE
Bolyeriidae,SPE
Bombycillidae,SPE
Bovidae,SPE
Bradypodidae,SPE
Bromeliaceae,SPE
Bucerotidae,SPE
Bufonidae,SPE
Burhinidae,SPE
Burramyidae,SPE
Byblidaceae,SPE
Cactaceae,SPE
Camaenidae,SPE
Camelidae,SPE
Canidae,SPE
Capitonidae,SPE
Caryocaraceae,SPE
Caryophyllaceae,SPE
Caryophylliidae,SPE
Casuariidae,SPE
Cathartidae,SPE
Catostomidae,SPE
Cebidae,SPE
Cephalotaceae,SPE
Ceratodidae,SPE
Cercopithecidae,SPE
Cervidae,SPE
Cetorhinidae,SPE
Chamaeleonidae,SPE
Cheirogaleidae,SPE
Chelidae,SPE
Cheloniidae,SPE
Chinchillidae,SPE
Chloanthaceae,SPE
Choloepidae,SPE
Ciconiidae,SPE
Latimeriidae,SPE
Colubridae,SPE
Columbidae,SPE
Compositae,SPE
Gerrhosauridae,SPE
Corvidae,SPE
Cotingidae,SPE
Cracidae,SPE
Crassulaceae,SPE
Crocodylidae,SPE
Cryptobranchidae,SPE
Cupressaceae,SPE
Cyatheaceae,SPE
Cycadaceae,SPE
Cyprinidae,SPE
Cyprinodontidae,SPE
Dasypodidae,SPE
Dasyproctidae,SPE
Dasyuridae,SPE
Daubentoniidae,SPE
Delphinidae,SPE
Dendrobatidae,SPE
Dendrophylliidae,SPE
Dermatemydidae,SPE
Dermochelyidae,SPE
Diapensiaceae,SPE
Dicksoniaceae,SPE
Didiereaceae,SPE
Diomedeidae,SPE
Dioscoreaceae,SPE
Droseraceae,SPE
Dugongidae,SPE
Elapidae,SPE
Elephantidae,SPE
Emberizidae,SPE
Emydidae,SPE
Equidae,SPE
Erethizontidae,SPE
Ericaceae,SPE
Erinaceidae,SPE
Eschrichtidae,SPE
Estrildidae,SPE
Euphorbiaceae,SPE
Fagaceae,SPE
Falconidae,SPE
Faviidae,SPE
Felidae,SPE
Flabellidae,SPE
Fouquieriaceae,SPE
Fregatidae,SPE
Fringillidae,SPE
Fungiacyathidae,SPE
Fungiidae,SPE
Galagidae,SPE
Galaxeidae,SPE
Gavialidae,SPE
Gekkonidae,SPE
Gentianaceae,SPE
Gnetaceae,SPE
Gruidae,SPE
Guyniidae,SPE
Haemodoraceae,SPE
Helioporidae,SPE
Helodermatidae,SPE
Herpestidae,SPE
Heteromyidae,SPE
Hippopotamidae,SPE
Hirudinidae,SPE
Hirundinidae,SPE
Hominidae,SPE
Humiriaceae,SPE
Hyaenidae,SPE
Hydrobiidae,SPE
Hydrophiidae,SPE
Hylobatidae,SPE
Hystricidae,SPE
