taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,Reference
19092,SPECIES,COUNTRY,ID,13798,CITES_EU,
26024,SPECIES,COUNTRY,MY,13798,CITES_EU,
14192,SPECIES,COUNTRY,BN,13798,CITES_EU,
14192,SPECIES,COUNTRY,ID,13798,CITES_EU,
14192,SPECIES,COUNTRY,MY,13798,CITES_EU,
25286,SPECIES,COUNTRY,ID,13798,CITES_EU,
25300,SPECIES,COUNTRY,MY,13798,CITES_EU,
15046,SPECIES,COUNTRY,ID,13798,CITES_EU,
15582,SPECIES,COUNTRY,ID,13798,CITES_EU,
19955,SPECIES,COUNTRY,ID,13798,CITES_EU,
20618,SPECIES,COUNTRY,BN,13798,CITES_EU,
20618,SPECIES,COUNTRY,MY,13798,CITES_EU,
26499,SPECIES,COUNTRY,ID,13798,CITES_EU,
24610,SPECIES,COUNTRY,BN,13798,CITES_EU,
24610,SPECIES,COUNTRY,ID,13798,CITES_EU,
24610,SPECIES,COUNTRY,MY,13798,CITES_EU,
19806,SPECIES,COUNTRY,ID,13798,CITES_EU,
14558,SPECIES,COUNTRY,ID,13798,CITES_EU,
23830,SPECIES,COUNTRY,ID,13798,CITES_EU,
25609,SPECIES,COUNTRY,SG,13798,CITES_EU,
22558,SPECIES,COUNTRY,PH,13798,CITES_EU,
13728,SPECIES,COUNTRY,BN,13798,CITES_EU,
13728,SPECIES,COUNTRY,MY,13798,CITES_EU,
22348,SPECIES,COUNTRY,PH,13798,CITES_EU,
17801,SPECIES,TERRITORY,NC,13798,CITES_EU,
21190,SPECIES,COUNTRY,MY,13798,CITES_EU,
26134,SPECIES,COUNTRY,US,13798,CITES_EU,
21971,SPECIES,COUNTRY,US,13798,CITES_EU,
24008,SPECIES,COUNTRY,US,13798,CITES_EU,
24195,SPECIES,COUNTRY,US,13798,CITES_EU,
22715,SPECIES,COUNTRY,US,13798,CITES_EU,
18756,SPECIES,COUNTRY,US,13798,CITES_EU,
17644,SPECIES,COUNTRY,CA,13798,CITES_EU,
17644,SPECIES,COUNTRY,US,13798,CITES_EU,
27890,SPECIES,COUNTRY,US,13798,CITES_EU,
29622,SUBSPECIES,COUNTRY,US,13798,CITES_EU,
8893,SPECIES,TERRITORY,AS,18787,CITES_EU,
11215,SPECIES,TERRITORY,AS,18787,CITES_EU,
10712,SPECIES,TERRITORY,AS,18787,CITES_EU,
8327,SPECIES,TERRITORY,AS,18787,CITES_EU,
6732,SPECIES,TERRITORY,AS,18787,CITES_EU,
8893,SPECIES,COUNTRY,AU,18787,CITES_EU,
7545,SPECIES,COUNTRY,AU,18787,CITES_EU,
11215,SPECIES,COUNTRY,AU,18787,CITES_EU,
10712,SPECIES,COUNTRY,AU,18787,CITES_EU,
8327,SPECIES,COUNTRY,AU,18787,CITES_EU,
7683,SPECIES,COUNTRY,AU,18787,CITES_EU,
68361,SPECIES,COUNTRY,AU,18787,CITES_EU,
6732,SPECIES,COUNTRY,AU,18787,CITES_EU,
8327,SPECIES,TERRITORY,IO,18787,CITES_EU,
6732,SPECIES,TERRITORY,IO,18787,CITES_EU,
6732,SPECIES,COUNTRY,BN,18787,CITES_EU,
7545,SPECIES,COUNTRY,KH,18787,CITES_EU,
10712,SPECIES,COUNTRY,KH,18787,CITES_EU,
6732,SPECIES,COUNTRY,KH,18787,CITES_EU,
7545,SPECIES,COUNTRY,CN,18787,CITES_EU,
10712,SPECIES,COUNTRY,CN,18787,CITES_EU,
8327,SPECIES,COUNTRY,CN,18787,CITES_EU,
6732,SPECIES,COUNTRY,CN,18787,CITES_EU,
7545,SPECIES,TERRITORY,CX,18787,CITES_EU,
11215,SPECIES,TERRITORY,CX,18787,CITES_EU,
10712,SPECIES,TERRITORY,CX,18787,CITES_EU,
8327,SPECIES,TERRITORY,CX,18787,CITES_EU,
68361,SPECIES,TERRITORY,CX,18787,CITES_EU,
6732,SPECIES,TERRITORY,CX,18787,CITES_EU,
7545,SPECIES,TERRITORY,CC,18787,CITES_EU,
10712,SPECIES,TERRITORY,CC,18787,CITES_EU,
8327,SPECIES,TERRITORY,CC,18787,CITES_EU,
6732,SPECIES,TERRITORY,CC,18787,CITES_EU,
8327,SPECIES,COUNTRY,KM,18787,CITES_EU,
6732,SPECIES,COUNTRY,KM,18787,CITES_EU,
8893,SPECIES,COUNTRY,CK,18787,CITES_EU,
11215,SPECIES,COUNTRY,CK,18787,CITES_EU,
10712,SPECIES,COUNTRY,CK,18787,CITES_EU,
8327,SPECIES,COUNTRY,CK,18787,CITES_EU,
68361,SPECIES,COUNTRY,CK,18787,CITES_EU,
6732,SPECIES,COUNTRY,CK,18787,CITES_EU,
8327,SPECIES,COUNTRY,DJ,18787,CITES_EU,
6732,SPECIES,COUNTRY,DJ,18787,CITES_EU,
8327,SPECIES,COUNTRY,EG,18787,CITES_EU,
10712,SPECIES,COUNTRY,ER,18787,CITES_EU,
8893,SPECIES,COUNTRY,FJ,18787,CITES_EU,
11215,SPECIES,COUNTRY,FJ,18787,CITES_EU,
10712,SPECIES,COUNTRY,FJ,18787,CITES_EU,
8327,SPECIES,COUNTRY,FJ,18787,CITES_EU,
7683,SPECIES,COUNTRY,FJ,18787,CITES_EU,
68361,SPECIES,COUNTRY,FJ,18787,CITES_EU,
6732,SPECIES,COUNTRY,FJ,18787,CITES_EU,
8327,SPECIES,TERRITORY,PF,18787,CITES_EU,
6732,SPECIES,TERRITORY,PF,18787,CITES_EU,
8893,SPECIES,TERRITORY,GU,18787,CITES_EU,
10712,SPECIES,TERRITORY,GU,18787,CITES_EU,
8327,SPECIES,TERRITORY,GU,18787,CITES_EU,
8327,SPECIES,TERRITORY,HK,18787,CITES_EU,
8893,SPECIES,COUNTRY,IN,18787,CITES_EU,
10712,SPECIES,COUNTRY,IN,18787,CITES_EU,
8327,SPECIES,COUNTRY,IN,18787,CITES_EU,
6732,SPECIES,COUNTRY,IN,18787,CITES_EU,
8893,SPECIES,COUNTRY,ID,18787,CITES_EU,
3557,SPECIES,COUNTRY,ID,18787,CITES_EU,
7545,SPECIES,COUNTRY,ID,18787,CITES_EU,
