Scientific name,Rank,RecID,ParentRank,Parent recID,Status,Species Author,notes,Designation,AcceptedRank,AcceptedRecID
pteneres,Species,95390,Genus,239,S,"J. R. Forster, 1844",,CITES_EU,Species,30787
pteropus,Species,90076,Genus,3529,S,"Gosse, 1860",,CITES_EU,Species,3980
ptilocnemis,Species,96035,Genus,30283,S,"(Coues, 1873)",,CMS,Species,30807
ptilocnemis,Species,96048,Genus,4911,S,"Coues, 1873",,CMS,Species,30807
Ptilocolpa,Genus,30686,,,S,,,CITES_EU,,
Ptilolaemus,Genus,30687,,,S,,,CITES_EU,,
Ptilonopus,Genus,30688,,,S,,,CITES_EU,,
Ptilopus,Genus,30689,,,S,,,CITES_EU,,
ptilorhyncus,Subspecies,95131,Species,16626,S,"(Linnaeus, 1758)",,CITES_EU,Species,16628
ptilorhyncus,Species,95130,Genus,1752,S,"Temminck, 1821",,CITES_EU,Species,16628
Ptiloscelys,Genus,30690,,,S,,,"CITES_EU,CMS",,
Ptyodactylus,Genus,30691,,,S,,,CITES_EU,,
pudica,Species,90962,Genus,30212,S,"(Milne Edwards & Haime, 1849)",,CITES_EU,Species,5738
Puffinuria,Genus,30692,,,S,,,CMS,,
puffinus,Species,94892,Genus,3993,S,"Brünnich, 1764",,CITES_EU,Species,18857
pugnax,Species,96054,Genus,4911,S,"Linnaeus, 1758",,"CITES_EU,CMS",Species,16994
pulchella,Species,2238,Genus,434,S,"Verrill, 1866",,CITES_EU,Species,2230
pulchella,Species,90077,Genus,30223,S,"Philippi, 1842",,CITES_EU,Species,16063
pulchella,Species,90078,Genus,30244,S,"Verrill, 1866",,CITES_EU,Species,8714
pulchella,Species,90889,Genus,1796,S,"(Verrill, 1866)",,CITES_EU,Species,8714
pulchella,Species,93921,Genus,7434,S,"Gray, 1842",,CITES_EU,Species,22994
pulchella,Species,96254,Genus,1115,S,"Temminck, 1835",,CITES_EU,Species,36073
pulchella,Species,97933,Genus,1316,S,"Horsfield, 1821",,CITES_EU,Species,11104
pulchellus,Species,90080,Genus,2098,S,"Rehberg, 1892",,CITES_EU,Species,9992
pulchellus,Species,96829,Genus,4103,S,"Shaw, 1792",,CITES_EU,Species,14547
pulcher,Species,91999,Genus,30500,S,"Leach, 1819",,CITES_EU,Species,22887
pulcher,Species,93630,Genus,30166,S,"Sauvage, 1878",,CITES_EU,Species,13867
pulcherrima,Species,28459,Genus,30579,S,"(Rensch, 1931)",,CITES_EU,Species,16033
pulcherrima,Species,90082,Genus,2983,S,"Bernard, 1897",,CITES_EU,Species,13773
pulcherrima,Species,96284,Genus,1115,S,"Scopoli, 1786",,CITES_EU,Species,832
pulcherrimus,Species,96824,Genus,3842,S,"Gould, 1845",,CITES_EU,Species,18426
pulchra,Subspecies,94684,Species,12778,S,"Boulenger, 1882",,CITES_EU,Species,12787
pulchra,Species,89514,Genus,30332,S,"Berlepsch, 1897",,CITES_EU,Species,17297
pulchra,Species,90083,Genus,30074,S,"Dana, 1846",,CITES_EU,Species,11650
pulchra,Species,90084,Genus,2494,S,"(Dana, 1846)",,CITES_EU,Species,11650
pulchra,Species,90085,Genus,2715,S,"Brook, 1891",,CITES_EU,Species,418
pulchripectus,Species,38871,Genus,1358,S,"(Silverstone, 1976)",,CITES_EU,Species,23444
pulchripectus,Species,38872,Genus,3766,S,"Silverstone, 1976",,CITES_EU,Species,23444
pulchripectus,Species,103363,Genus,5200,S,"(Silverstone, 1976)",,CITES_EU,Species,23444
pullarius,Species,96801,Genus,4103,S,"Linnaeus, 1758",,CITES_EU,Species,665
