ComName,LangShort,RecId,Rank,Designation,ReferenceID
Rorýs kaferský,CES,1944,species,EU,
Orel skalní,CES,1953,species,"CITES,EU",
Orel volavý,CES,1954,species,"CITES,EU",
Orel královský,CES,1956,species,"CITES,EU",
Orel stepní,CES,1957,species,"CITES,EU",
Volavka popelavá,CES,2073,species,"EU,CMS-AEWA",
Volavka vlasatá,CES,2083,species,"EU,CMS-AEWA",
Kalous pustovka,CES,2167,species,"CITES,EU",
Kalous ušatý,CES,2169,species,"CITES,EU",
Polák velký,CES,2453,species,"EU,CMS",
Polák kaholka,CES,2456,species,"EU,CMS",
Polák malý,CES,2457,species,"CITES,EU",
Netopýr cerný,CES,2553,species,CMS,
Zubr,CES,2814,species,EU,
Brkoslav severní,CES,2871,species,EU,
Berneška tmavá,CES,3056,species,"EU,CMS",
Berneška velká,CES,3057,species,"CITES,EU",
Výr velký,CES,3133,species,"CITES,EU",
Volavka rusohlavá,CES,3145,species,"CITES,EU",
Hohol severní,CES,3148,species,"EU,CMS",
Hohol islandský,CES,3149,species,CMS,
Dytík úhorní,CES,3336,species,"EU,CMS",
Strnad severní,CES,3518,species,EU,
Jespák obecný,CES,3526,species,"EU,CMS",
Jespák rezavý,CES,3528,species,"EU,CMS",
Jespák skvrnitý,CES,3533,species,"EU,CMS",
Jespák malý,CES,3534,species,"EU,CMS",
Jespák šedý,CES,3540,species,CMS,
Veverka Pallasova,CES,3595,species,EU,
Šakal obecný,CES,3744,species,"CITES,EU",
Vlk,CES,3746,species,"CITES,EU",
Lelek lesní,CES,3820,species,EU,
Lelek rudokrký,CES,3824,species,EU,
Konopka obecná,CES,3860,species,EU,
Stehlík obecný,CES,3861,species,EU,
Zvonek zelený,CES,3862,species,EU,
Hýl rudý,CES,3909,species,EU,
Bobr kanadský,CES,4003,species,EU,
Bobr evropský,CES,4007,species,CITES,
Alkoun obecný,CES,4163,species,"EU,CMS-AEWA",
Šoupálek krátkoprstý,CES,4252,species,EU,
Šoupálek dlouhoprstý,CES,4253,species,EU,
Kulík kaspický,CES,4533,species,CMS,
Kulík pouštní,CES,4536,species,CMS,
