Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
chrysopterygius,Species,18423,Genus,4035,A,"Gould, 1858",,CITES_EU
verrilli,Species,18417,Genus,4031,A,"Vaughan, 1907",,CITES_EU
vaughani,Species,18416,Genus,4031,A,"Yabe & Sugiyama, 1936",,CITES_EU
superficialis,Species,18415,Genus,4031,A,"Gardiner, 1898",,CITES_EU
stellata,Species,18414,Genus,4031,A,"(Verrill, 1866)",,CITES_EU
profundacella,Species,18413,Genus,4031,A,"Gardiner, 1898",,CITES_EU
nierstraszi,Species,18411,Genus,4031,A,"van der Horst, 1921",,CITES_EU
haimeana,Species,18410,Genus,4031,A,"Milne Edwards & Haime, 1851",,CITES_EU
explanulata,Species,18408,Genus,4031,A,"van der Horst, 1922",,CITES_EU
digitata,Species,18407,Genus,4031,A,"Milne Edwards & Haime, 1851",,CITES_EU
decussata,Species,18406,Genus,4031,A,"Yabe & Sugiyama, 1937",,CITES_EU
contigua,Species,18405,Genus,4031,A,"(Esper, 1794)",,CITES_EU
brighami,Species,18404,Genus,4031,A,"(Vaughan, 1907)",,CITES_EU
tentorius,Species,18400,Genus,4029,A,"(Bell, 1828)",,CITES_EU
oculifer,Species,18399,Genus,4029,A,"(Kuhl, 1820)",,CITES_EU
geometricus,Species,18398,Genus,4029,A,"(Linnaeus, 1758)",,CITES_EU
modularis,Species,18388,Genus,4025,A,"(Linnaeus, 1758)",,CITES_EU
collaris,Species,18387,Genus,4025,A,"(Scopoli, 1769)",,CITES_EU
oxyrhynchus,Species,18384,Genus,4023,A,"Günther, 1870",,CITES_EU
maraena,Species,18383,Genus,4023,A,"Günther, 1864",,CITES_EU
cristata,Species,18372,Genus,4013,A,"(Sparrman, 1783)",,CITES_EU
tabuensis,Species,18371,Genus,4012,A,"(Gmelin, 1788)",,CITES_EU
splendens,Species,18370,Genus,4012,A,"(Peale, 1848)",,CITES_EU
personata,Species,18369,Genus,4012,A,"(G. R. Gray, 1848)",,CITES_EU
proserpina,Species,18366,Genus,4010,A,"(Pallas, 1772)",,CITES_EU
perrieri,Species,18361,Genus,4008,A,"Lavauden, 1931",,CITES_EU
edwardsi,Species,18359,Genus,4008,A,"Grandidier, 1871",,CITES_EU
deckenii,Species,18357,Genus,4008,A,"A. Grandidier, 1867",,CITES_EU
coquereli,Species,18355,Genus,4008,A,"(A. Grandidier, 1867)",,CITES_EU
verreauxi,Species,18353,Genus,4008,A,"A. Grandidier, 1867",,CITES_EU
tattersalli,Species,18352,Genus,4008,A,"Simons, 1988",,CITES_EU
diadema,Species,18351,Genus,4008,A,"Bennett, 1832",,CITES_EU
aurata,Species,18306,Genus,4000,A,"(Temminck, 1827)",,CITES_EU
pygmaeus,Species,18267,Genus,3996,A,"Merriam, 1901",,CITES_EU
lotor,Species,18266,Genus,3996,A,"(Linnaeus, 1758)",,CITES_EU
gordonorum,Species,18246,Genus,8101,A,"Matschie, 1900",,CITES_EU
verus,Species,18245,Genus,3995,A,"(Van Beneden, 1838)",,CITES_EU
rufomitratus,Species,18244,Genus,8101,A,"(Peters, 1879)",,CITES_EU
preussi,Species,18243,Genus,8101,A,"(Matschie, 1900)",,CITES_EU
kirkii,Species,18242,Genus,8101,A,"(Gray, 1868)",,CITES_EU
pennantii,Species,18241,Genus,8101,A,"(Waterhouse, 1838)",,CITES_EU
badius,Species,18240,Genus,8101,A,"(Kerr, 1792)",,CITES_EU
nudicollis,Species,18238,Genus,3994,A,"(Vieillot, 1817)",,CITES_EU
westlandica,Species,18235,Genus,3993,A,"Falla, 1946",,CMS
parkinsoni,Species,18234,Genus,3993,A,"G. R. Gray, 1862",,CMS
gutturosa,Species,18232,Genus,3991,A,"(Pallas, 1777)",,CMS
aterrimus,Species,18187,Genus,3989,A,"(Gmelin, 1788)",,CITES_EU
jullieni,Species,18182,Genus,3987,A,"Sauvage, 1880",,CITES_EU
pristis,Species,18177,Genus,3984,A,"(Linnaeus, 1758)",,CITES_EU
perotteti,Species,18176,Genus,3984,A,"Müller & Henle, 1841",,CITES_EU
pectinata,Species,18175,Genus,3984,A,"Latham, 1794",,CITES_EU
microdon,Species,18174,Genus,3984,A,"Latham, 1794",,CITES_EU
pardicolor,Species,18162,Genus,3978,A,"Hodgson, 1842",,CITES_EU
linsang,Species,18161,Genus,3978,A,"(Hardwicke, 1821)",,CITES_EU
verticalis,Species,18159,Genus,3977,A,"Sharpe, 1893",,CITES_EU
platurus,Species,18158,Genus,3977,A,"(Vieillot, 1818)",,CITES_EU
platenae,Species,18157,Genus,3977,A,"W. Blasius, 1888",,CITES_EU
montanus,Species,18156,Genus,3977,A,"Ogilvie-Grant, 1895",,CITES_EU
mada,Species,18155,Genus,3977,A,"Hartert, 1900",,CITES_EU
luconensis,Species,18154,Genus,3977,A,"Steere, 1890",,CITES_EU
flavicans,Species,18153,Genus,3977,A,"Cassin, 1853",,CITES_EU
discurus,Species,18152,Genus,3977,A,"(Vieillot, 1818)",,CITES_EU
iriomotensis,Species,18151,Genus,3976,A,"Imaizumi, 1967",,CITES_EU
viverrinus,Species,18150,Genus,3976,A,"(Bennett, 1833)",,CITES_EU
rubiginosus,Species,18149,Genus,3976,A,"(I. Geoffroy Saint-Hilaire, 1831)",,CITES_EU
planiceps,Species,18148,Genus,3976,A,"(Vigors & Horsfield , 1827)",,CITES_EU
bengalensis,Species,18146,Genus,3976,A,"(Kerr, 1792)",,CITES_EU
maximus,Species,18144,Genus,3974,A,"(Kerr, 1792)",,CITES_EU
phreatophila,Species,18136,Genus,3972,A,"Carranza, 1954",,CITES_EU
bonita,Species,18135,Genus,3971,A,"(Meek, 1904)",,CITES_EU
siamensis,Species,18134,Genus,3970,A,"(Müller & Schlegel, 1841)",,CITES_EU
thomasi,Species,18132,Genus,3970,A,"(Collett, 1893)",,CITES_EU
rubicunda,Species,18131,Genus,3970,A,"(Müller, 1838)",,CITES_EU
potenziani,Species,18130,Genus,3970,A,"(Bonaparte, 1856)",,CITES_EU
melalophos,Species,18129,Genus,3970,A,"(Raffles, 1821)",,CITES_EU
