Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus,AcceptedSpcRecID
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,MOSCHIDAE,Moschus,chrysogaster,ssp.,berezovskii,28382,S,13894
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,SUIDAE,Porcula,salvania,NULL,NULL,105440,S,21172
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,TAYASSUIDAE,Pecari,maximus,NULL,NULL,105302,S,16457
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Dama,mesopotamica,NULL,NULL,6232,S,6231
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,simpsoni,NULL,NULL,105432,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,jubata,NULL,NULL,105423,S,29583
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Panolia,eldii,NULL,NULL,105436,S,4265
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,hecki,NULL,NULL,105429,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,lugens,NULL,NULL,105430,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,melanorhea,NULL,NULL,105431,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,bicolor,NULL,NULL,105426,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,congica,NULL,NULL,105427,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,defriesi,NULL,NULL,105428,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,severtzovi,NULL,NULL,105422,S,41611
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,aequatorialis,NULL,NULL,105424,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Philantomba,anchietae,NULL,NULL,105425,S,4143
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,hodgsonii,NULL,NULL,105411,S,15734
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,nigrimontana,NULL,NULL,105414,S,15745
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,punjabiensis,NULL,NULL,105421,S,41610
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,bochariensis,NULL,NULL,105416,S,41607
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,cycloceros,NULL,NULL,105417,S,41609
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,gmelinii,NULL,NULL,105420,S,15737
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,evansi,NULL,NULL,105409,S,14303
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,arabica,NULL,NULL,105410,S,15733
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,jubata,NULL,NULL,105412,S,15733
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Kobus,kafuensis,NULL,NULL,105406,S,11033
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Kobus,smithemani,NULL,NULL,105407,S,11033
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,bedfordi,NULL,NULL,105408,S,14296
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,castaneus,NULL,NULL,105403,S,4139
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,crusalbum,NULL,NULL,105404,S,4148
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,curticeps,NULL,NULL,105405,S,4150
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Budorcas,tibetana,NULL,NULL,105400,S,3160
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Budorcas,whitei,NULL,NULL,105401,S,3160
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capricornis,maritimus,NULL,NULL,105402,S,101212
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capricornis,sumatraensis,ssp.,thar,3816,S,87099
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,gmelini,ssp.,ophion,105142,S,15737
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Budorcas,bedfordi,NULL,NULL,105399,S,3160
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,caudatus,ssp.,griseus,104302,S,14303
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capricornis,sumatraensis,ssp.,milneedwardsii,3814,S,101212
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capricornis,sumatraensis,ssp.,rubidus,3815,S,101213
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Gazella,dama,NULL,NULL,101218,S,8968
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Muntiacus,vuquangensis,NULL,NULL,103220,S,12992
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Mazama,americana,ssp.,cerasina,104301,S,12912
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CAMELIDAE,Lama,vicugna,NULL,NULL,99529,S,22956
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Odocoileus,cariacou,NULL,NULL,100282,S,30202
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,TAYASSUIDAE,Tayassu,albirostris,NULL,NULL,100976,S,21552
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,duvaucelii,NULL,NULL,87096,S,4257
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,eldii,NULL,NULL,87095,S,4265
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Hyelaphus,porcinus,NULL,NULL,87098,S,30195
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Rupicapra,rupicapra,ssp.,ornata,28622,S,19766
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,orientalis,ssp.,vignei,15762,S,15738
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Cervus,hanglu,NULL,NULL,87094,S,4261
