ComName,LanDesc,SpcRecId
Gazelle d'Arabie,French,8970
Edmi,French,8970
Sand Gazelle,English,8972
Rhim Gazelle,English,8972
Slender-horned Gazelle,English,8972
Gazelle leptocère,French,8972
Rhim,French,8972
Gazelle à cornes fines,French,8972
Rhim,Spanish,8972
Eyra Cat,English,9948
Jaguarundi,English,9948
Yaguarundí,Spanish,9948
Gato colorado,Spanish,9948
Gato moro,Spanish,9948
León brenero,Spanish,9948
Leoncillo,Spanish,9948
Onza,Spanish,9948
Tigrillo,Spanish,9948
Jaguarundi,French,9948
Texas Jaguarundi,English,9949
Pygmy Hippopotamus,English,10032
Hipopótamo pigmeo,Spanish,10032
Hipopótamo enano,Spanish,10032
Hippopotame nain,French,10032
Hippopotame pygmée,French,10032
North Andean Huemul,English,10053
North Andean Huemul,English,10053
Peruvian Huemul,English,10053
Peruvian Guemal,English,10053
Taruca,English,10053
Ciervo andino septentrional,Spanish,10053
Taruca,Spanish,10053
Guemal,Spanish,10053
North Andean Deer,English,10053
Cerf des Andes septentrionales,French,10053
Guémal péruvien,French,10053
Huémul des Andes septentrionales,French,10053
Taruka de los Andes septentrionales,Spanish,10053
Huemul,Spanish,10053
Patagonian Huemul,English,10054
South Andean Huemul,English,10054
Chilean Huemul,English,10054
Ciervo andino meridional,Spanish,10054
Huemul,Spanish,10054
South Andean Deer,English,10054
Cerf des Andes méridionales,French,10054
Huémul des Andes méridionales,French,10054
Hippopotame amphibie,French,10103
Hippopotamus,English,10103
Hipopótamo anfibio,Spanish,10103
Large Hippo,English,10103
Hippopotame,French,10103
Roan Antelope,English,10167
Hippotrague,French,10167
Antilope Rouane,French,10167
Antilope chevaline,French,10167
Giant Sable Antelope,English,10169
Antílope sable negro,Spanish,10169
Hippotrague géant de l'Angola,French,10169
Hippotrague noir géant,French,10169
Antílope negro gigante,Spanish,10169
Sable Antelope,English,10170
Water Chevrotain,English,10341
Antilope amizclero enano de agua,Spanish,10341
Chevrotain aquatique,French,10341
Cervatillo almizclero acuático,Spanish,10341
Lechwe,English,11033
Cobo de Lechwe,Spanish,11033
Cobe lechwe,French,11033
Lechwe,French,11033
Lechwe,Spanish,11033
Guanaco,English,11186
Guanaco,Spanish,11186
Guanaco,French,11186
Ocelot,English,11509
Gato onza,Spanish,11509
Ocelote,Spanish,11509
Manigordo,Spanish,11509
Ocelot,French,11509
Oncilla,English,11510
Little Spotted Cat,English,11510
Tiger Cat,English,11510
Gato atigrado,Spanish,11510
Gato tigre,Spanish,11510
Caucel,Spanish,11510
Tigrillo,Spanish,11510
Tirica,Spanish,11510
Chat-tigre,French,11510
Chat-tacheté,French,11510
Oncille,French,11510
Gato tigrillo,Spanish,11510
Tree Ocelot,English,11511
Margay,English,11511
Gato montés,Spanish,11511
Caucel,Spanish,11511
Tigrillo,Spanish,11511
Margay,French,11511
Serval,English,11638
Serval,Spanish,11638
Chat-tigre,French,11638
Serval,French,11638
American Lynx,English,12518
Lince del Canadá,Spanish,12518
Canada Lynx,English,12518
Lynx du Canada,French,12518
Lince europeo,Spanish,12519
Lynx boréal,French,12519
Lynx d'Eurasie,French,12519
Eurasian Lynx,English,12519
Lince,Spanish,12519
Lynx,French,12519
Lince boreal,Spanish,12519
Lince ibérico,Spanish,12520
Lynx pardelle,French,12520
Pardel Lynx,English,12520
Iberian Lynx,English,12520
Spanish Lynx,English,12520
Lince ibérico,Spanish,12520
Lynx d'Espagne,French,12520
Lynx pardelle,French,12520
Bay Lynx,English,12521
Bobcat,English,12521
Gato montés,Spanish,12521
Lince rojo,Spanish,12521
Chat sauvage,French,12521
Lynx roux,French,12521
Guatemalan Red Brocket,English,12912
Middle American Red Brocket,English,12912
Giant Muntjac,English,12992
Muntjac géant,French,12992
Large-antlered Muntjac,English,12992
Muntjac gigante,Spanish,12992
Chinese Forest Musk Deer,English,13894
Dwarf Musk Deer,English,13894
Forest Musk Deer,English,13894
Alpine Musk Deer,English,13895
Himalayan Musk Deer,English,13895
Dusky Musk Deer,English,13896
Black Musk Deer,English,13896
Siberian Musk Deer,English,13897
Ciervo almizclero,Spanish,13897
Porte-musc,French,13897
Cerf porte-musc,French,13897
Chevrotain porte-musc,French,13897
Himalayan Musk Deer,English,13901
Black Muntjac,English,13924
Muntjac negro,Spanish,13924
Muntjac noir,French,13924
Red Goral,English,14294
Goral rouge,French,14294
Chinese Goral,English,14295
Goral à queue longue,French,14295
Long-tailed Goral,English,14295
Goral,English,14296
Himalayan Goral,English,14296
Goral,French,14296
Bouquetin du Népal,French,14296
Goral,Spanish,14296
Serow,English,14297
Mainland Serow,English,14297
Serau,Spanish,14297
Capricorne de Sumatra,French,14297
Serow de Sumatra,Spanish,14297
Sumatran Serow,English,14297
Serow ,French,14297
Southern Serow,English,14297
South China Goral,English,14303
Chinese Goral,English,14303
Clouded Leopard,English,14519
Pantera del Himalaya,Spanish,14519
Pantera longibanda,Spanish,14519
Pantera nebulosa,Spanish,14519
Panthère longibande,French,14519
Panthère nébuleuse,French,14519
Guatemalan White-tailed Deer,English,15112
Chilean Pampa Cat,English,15309
Pampas Cat,English,15309
Osio,Spanish,15309
Gato pajero,Spanish,15309
Gato de los pajonales,Spanish,15309
Chat des pampas,French,15309
Geoffroy's Cat,English,15310
Gato montés común,Spanish,15310
Gato de mato,Spanish,15310
Chat de Geoffroy,French,15310
Chilean Cat,English,15311
Kodkod,English,15311
Guina,Spanish,15311
Guigna,French,15311
Chat des pampas,French,15313
Mountain Cat,English,15452
Andean Cat,English,15452
Osjo,Spanish,15452
Gato andino,Spanish,15452
Chinchay,Spanish,15452
Gato lince,Spanish,15452
Chat des Andes,French,15452
Sahara Oryx,English,15568
Scimitar-horned Oryx,English,15568
Orix de Cimitarra,Spanish,15568
Oryx algazelle,French,15568
Oryx de Libye,French,15568
Orix algacel,Spanish,15568
White Oryx,English,15568
White Oryx,English,15569
Arabian Oryx,English,15569
Orix de Arabia,Spanish,15569
Oryx blanc,French,15569
Oryx d'Arabie,French,15569
Orix blanco,Spanish,15569
Pallas's Cat,English,15640
Gato de Pallas,Spanish,15640
