Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capricornis,rubidus,NULL,NULL,101213,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Saiga,borealis,NULL,NULL,101222,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ammotragus,lervia,NULL,NULL,1151,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,SUIDAE,Babyrousa,togeanensis,NULL,NULL,101197,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Mazama,temama,NULL,NULL,101204,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capricornis,milneedwardsii,NULL,NULL,101212,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capricornis,thar,NULL,NULL,87099,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,SUIDAE,Babyrousa,bolabatuensis,NULL,NULL,101195,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,SUIDAE,Babyrousa,celebensis,NULL,NULL,101196,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Cephalophus,brookei,NULL,NULL,45475,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,MOSCHIDAE,Moschus,anhuiensis,NULL,NULL,74591,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,MOSCHIDAE,Moschus,cupreus,NULL,NULL,87090,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,vignei,ssp.,cycloceros,41609,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,vignei,ssp.,punjabiensis,41610,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,vignei,ssp.,severtzovi,41611,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Damaliscus,pygargus,NULL,NULL,30208,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,vignei,ssp.,bochariensis,41607,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,vignei,ssp.,arkal,41608,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Dama,dama,NULL,NULL,29741,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Axis,porcinus,NULL,NULL,30195,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,NULL,NULL,30202,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CAMELIDAE,Vicugna,vicugna,NULL,NULL,22956,A
