Id,FullName,RankName,AuthorYear,PhylumName,ClassName,OrderName,FamilyName,CitesAccepted,CurrentListing,GenericAnnotationFullSymbol,CountriesIsoCodes,CountriesFullNames,#AnnotationEnglish,#AnnotationSpanish,#AnnotationFrench,AnnotationEnglish,AnnotationSpanish,AnnotationFrench
10160,Accipiter madagascariensis dumerili,SUBSPECIES,,Chordata,Aves,Falconiformes,Accipitridae,false,II, ,"","","","","","","",""
2771,Accipiter melanochlamys,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Id"", ""Pg""","""Indonesia"", ""Papua New Guinea""","","","","","",""
1614,Accipiter melanoleucus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Ao"", ""Bj"", ""Bw"", ""Bi"", ""Cm"", ""Cf"", ""Cg"", ""Ci"", ""Cd"", ""Gq"", ""Et"", ""Ga"", ""Gm"", ""Gh"", ""Gn"", ""Gw"", ""Ke"", ""Ls"", ""Lr"", ""Mw"", ""Ml"", ""Mz"", ""Na"", ""Ne"", ""Ng"", ""Rw"", ""Sn"", ""Sl"", ""So"", ""Za"", ""Ss"", ""Sd"", ""Sz"", ""Tg"", ""Ug"", ""Tz"", ""Zm"", ""Zw""","""Angola"", ""Benin"", ""Botswana"", ""Burundi"", ""Cameroon"", ""Central African Republic"", ""Congo"", ""Cote D'Ivoire"", ""Democratic Republic Of The Congo"", ""Equatorial Guinea"", ""Ethiopia"", ""Gabon"", ""Gambia"", ""Ghana"", ""Guinea"", ""Guinea Bissau"", ""Kenya"", ""Lesotho"", ""Liberia"", ""Malawi"", ""Mali"", ""Mozambique"", ""Namibia"", ""Niger"", ""Nigeria"", ""Rwanda"", ""Senegal"", ""Sierra Leone"", ""Somalia"", ""South Africa"", ""South Sudan"", ""Sudan"", ""Swaziland"", ""Togo"", ""Uganda"", ""United Republic Of Tanzania"", ""Zambia"", ""Zimbabwe""","","","","","",""
10592,Accipiter melanoleucus buckleyi,SUBSPECIES,,Chordata,Aves,Falconiformes,Accipitridae,false,II, ,"","","","","","","",""
2735,Accipiter meyerianus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Id"", ""Pg"", ""Sb""","""Indonesia"", ""Papua New Guinea"", ""Solomon Islands""","","","","","",""
3850,Accipiter minullus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Ao"", ""Bw"", ""Bi"", ""Cd"", ""Er"", ""Et"", ""Ke"", ""Ls"", ""Mw"", ""Ml"", ""Mz"", ""Na"", ""Rw"", ""So"", ""Za"", ""Ss"", ""Sd"", ""Sz"", ""Ug"", ""Tz"", ""Zm"", ""Zw""","""Angola"", ""Botswana"", ""Burundi"", ""Democratic Republic Of The Congo"", ""Eritrea"", ""Ethiopia"", ""Kenya"", ""Lesotho"", ""Malawi"", ""Mali"", ""Mozambique"", ""Namibia"", ""Rwanda"", ""Somalia"", ""South Africa"", ""South Sudan"", ""Sudan"", ""Swaziland"", ""Uganda"", ""United Republic Of Tanzania"", ""Zambia"", ""Zimbabwe""","","","","","",""
2797,Accipiter nanus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Id""","""Indonesia""","","","","","",""
2913,Accipiter nisus,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,"", ,"""Af"", ""Al"", ""Dz"", ""Ad"", ""Am"", ""At"", ""Az"", ""Bh"", ""Bd"", ""By"", ""Be"", ""Bt"", ""Ba"", ""Bn"", ""Bg"", ""Td"", ""Cn"", ""Hr"", ""Cy"", ""Cz"", ""Kp"", ""Dk"", ""Dj"", ""Eg"", ""Ee"", ""Et"", ""Fo"", ""Fi"", ""Fr"", ""Gm"", ""Ge"", ""De"", ""Gi"", ""Gr"", ""Hk"", ""Hu"", ""Is"", ""In"", ""Ir"", ""Iq"", ""Ie"", ""Il"", ""It"", ""Jp"", ""Jo"", ""Kz"", ""Ke"", ""Kw"", ""Kg"", ""La"", ""Lv"", ""Lb"", ""Ly"", ""Li"", ""Lt"", ""Lu"", ""My"", ""Ml"", ""Mt"", ""Mr"", ""Mc"", ""Mn"", ""Me"", ""Ma"", ""Mm"", ""Np"", ""Nl"", ""Ne"", ""No"", ""Om"", ""Pk"", ""Pl"", ""Pt"", ""Kr"", ""Md"", ""Ro"", ""Ru"", ""Sm"", ""Sa"", ""Cs"", ""Sk"", ""Si"", ""So"", ""Za"", ""Ss"", ""Es"", ""Sd"", ""Sj"", ""Se"", ""Ch"", ""Sy"", ""Tw"", ""Tj"", ""Th"", ""Mk"", ""Tn"", ""Tr"", ""Ua"", ""Ae"", ""Gb"", ""Tz"", ""Uz"", ""Vn"", ""Eh"", ""Ye""","""Afghanistan"", ""Albania"", ""Algeria"", ""Andorra"", ""Armenia"", ""Austria"", ""Azerbaijan"", ""Bahrain"", ""Bangladesh"", ""Belarus"", ""Belgium"", ""Bhutan"", ""Bosnia And Herzegovina"", ""Brunei Darussalam"", ""Bulgaria"", ""Chad"", ""China"", ""Croatia"", ""Cyprus"", ""Czech Republic"", ""Democratic People'S Republic Of Korea"", ""Denmark"", ""Djibouti"", ""Egypt"", ""Estonia"", ""Ethiopia"", ""Faeroe Islands"", ""Finland"", ""France"", ""Gambia"", ""Georgia"", ""Germany"", ""Gibraltar"", ""Greece"", ""Hong Kong Sar"", ""Hungary"", ""Iceland"", ""India"", ""Iran (Islamic Republic Of)"", ""Iraq"", ""Ireland"", ""Israel"", ""Italy"", ""Japan"", ""Jordan"", ""Kazakhstan"", ""Kenya"", ""Kuwait"", ""Kyrgyzstan"", ""Lao People'S Democratic Republic"", ""Latvia"", ""Lebanon"", ""Libyan Arab Jamahiriya"", ""Liechtenstein"", ""Lithuania"", ""Luxembourg"", ""Malaysia"", ""Mali"", ""Malta"", ""Mauritania"", ""Monaco"", ""Mongolia"", ""Montenegro"", ""Morocco"", ""Myanmar"", ""Nepal"", ""Netherlands"", ""Niger"", ""Norway"", ""Oman"", ""Pakistan"", ""Poland"", ""Portugal"", ""Republic Of Korea"", ""Republic Of Moldova"", ""Romania"", ""Russian Federation"", ""San Marino"", ""Saudi Arabia"", ""Serbia"", ""Slovakia"", ""Slovenia"", ""Somalia"", ""South Africa"", ""South Sudan"", ""Spain"", ""Sudan"", ""Svalbard And Jan Mayen Islands"", ""Sweden"", ""Switzerland"", ""Syrian Arab Republic"", ""Taiwan, Province Of China"", ""Tajikistan"", ""Thailand"", ""The Former Yugoslav Republic Of Macedonia"", ""Tunisia"", ""Turkey"", ""Ukraine"", ""United Arab Emirates"", ""United Kingdom Of Great Britain And Northern Ireland"", ""United Republic Of Tanzania"", ""Uzbekistan"", ""Viet Nam"", ""Western Sahara"", ""Yemen""","","","","","",""
3326,Accipiter novaehollandiae,SPECIES,,Chordata,Aves,Falconiformes,Accipitridae,,II, ,"""Au"", ""Id"", ""Pg"", ""Sb""","""Australia"", ""Indonesia"", ""Papua New Guinea"", ""Solomon Islands""","","","","","",""
10022,Accipiter novaehollandiae manusi,SUBSPECIES,,Chordata,Aves,Falconiformes,Accipitridae,false,II, ,"","","","","","","",""
