SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes
58314,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
34412,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
161481,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
58313,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
58313,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
161478,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
161478,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
161481,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
161488,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
161477,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
161477,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
161485,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
161485,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
161488,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
161482,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
161483,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
161483,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182813,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182813,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
161482,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182810,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182811,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182811,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182809,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182809,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182810,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182806,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182808,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182808,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182805,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182805,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182806,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182802,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182804,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182804,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182801,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182801,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182802,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182799,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182800,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182800,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182797,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182797,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182799,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182795,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182796,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182796,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182794,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182794,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182795,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182791,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182792,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182792,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182790,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182790,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182791,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182787,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182788,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182788,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182786,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182786,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182787,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182781,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182782,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182782,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182778,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182778,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182781,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182776,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182777,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182777,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182773,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182773,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182776,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182771,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182772,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182772,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182785,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
182785,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
182771,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
161490,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
161490,II/r,09/07/1975 00:00,38,ORCHIDACEAE spp.
52377,II/w,15/04/1977 00:00,38,ORCHIDACEAE spp.
