Kingdom,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SpcRecID,SpcStatus
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,anteojoensis,Pinkava,NULL,NULL,NULL,NULL,104953,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,antezanae,(Cardenas) Friedrich & Rowley,NULL,NULL,NULL,NULL,106491,A
Plantae,CARYOPHYLLALES,CACTACEAE,Selenicereus,anthonyanus,(Alexander) Hunt,NULL,NULL,NULL,NULL,75723,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,antillana,Britton & Rose,NULL,NULL,NULL,NULL,22157,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,aoracantha,Lemaire,NULL,NULL,NULL,NULL,107347,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinocereus,apachensis,Blum & Rutow,NULL,NULL,NULL,NULL,11801,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,aperta,Fée 1869,NULL,NULL,NULL,NULL,173135,A
Plantae,CARYOPHYLLALES,CACTACEAE,Cephalocereus,apicicephalium,Dawson,NULL,NULL,NULL,NULL,29427,A
Plantae,CARYOPHYLLALES,CACTACEAE,Corryocactus,apiciflorus,(Vaupel) Hutchison ex Buxbaum,NULL,NULL,NULL,NULL,106609,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,apiculata,Ros 1914,NULL,NULL,NULL,NULL,173136,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,apoensis,(Copel 1910) R.Tryon 1970,NULL,NULL,NULL,NULL,173137,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,appendiculata,(Baker 1876) R.Tryon,NULL,NULL,NULL,NULL,173138,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,approximata,(Bonap. 1917) R.Tryon 1970,NULL,NULL,NULL,NULL,173139,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,apurimacensis,(Ritter) Crook & Mottram,NULL,NULL,NULL,NULL,14796,A
Plantae,ROSALES,BYBLIDACEAE,Byblis,aquatica,(Lowrie & Conran),NULL,NULL,NULL,NULL,24330,A
Plantae,CARYOPHYLLALES,CACTACEAE,Pereskiopsis,aquosa,(Weber) Britton & Rose,NULL,NULL,NULL,NULL,27635,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,arabica,H. Huber,var.,var.,superba,(D.V. Field & Collenette) Bruyns,110969,A
Plantae,CARYOPHYLLALES,CACTACEAE,Stenocereus,aragonii,(Weber) Buxbaum,NULL,NULL,NULL,NULL,108142,A
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,aramaganensis,(Kanehira 1934) R.Tryon 1970,NULL,NULL,NULL,NULL,174529,A
Plantae,CARYOPHYLLALES,CACTACEAE,Pterocactus,araucanus,Castellanos,NULL,NULL,NULL,NULL,107936,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,arborea,(L. 1753) Smith 1793,NULL,NULL,NULL,NULL,8036,A
Plantae,CARYOPHYLLALES,CACTACEAE,Leptocereus,arboreus,Britton & Rose,NULL,NULL,NULL,NULL,22124,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,arboricola,(Kimnach) Mottram,NULL,NULL,NULL,NULL,11989,A
Plantae,Cyatheales,CYATHEACEAE,Cyathea,arbuscula,(C.Presl. 1836) Domin 1929,NULL,NULL,NULL,NULL,176694,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,arbuscula,Engelmann,NULL,NULL,NULL,NULL,68319,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,arbuscula,Kunze,NULL,NULL,NULL,NULL,174788,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,arcei,Cardenas,NULL,NULL,NULL,NULL,107348,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,archboldii,(C.Chr. 1937) R.Tryon 1970,NULL,NULL,NULL,NULL,173145,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,archboldii,(C.Chr.) R.M.Tryon 1970,var.,var.,horrida,(Holtt.) comb.ined.,176607,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,archiconoidea,(Ritter) Hunt,NULL,NULL,NULL,NULL,14798,A
Plantae,CARYOPHYLLALES,CACTACEAE,Armatocereus,arduus,Ritter,NULL,NULL,NULL,NULL,106136,A
Plantae,CARYOPHYLLALES,CACTACEAE,Echinopsis,arebaloi,Cardenas,NULL,NULL,NULL,NULL,106494,A
Plantae,CARYOPHYLLALES,CACTACEAE,Rebutia,arenacea,Cardenas,NULL,NULL,NULL,NULL,107967,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,arenaria,R.A. Dyer,NULL,NULL,NULL,NULL,110970,A
Plantae,CARYOPHYLLALES,CACTACEAE,Neoraimondia,arequipensis,(Meyen) Backeberg,NULL,NULL,NULL,NULL,107290,A
Plantae,CARYOPHYLLALES,CACTACEAE,Cereus,argentinensis,Britton & Rose,NULL,NULL,NULL,NULL,106269,A
