Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SpcRecID,SpcStatus
Animalia,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,tarsier,"(Erxleben, 1777)",NULL,NULL,NULL,21491,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,syrichta,"(Linnaeus, 1758)",NULL,NULL,NULL,21492,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,sangirensis,"Meyer, 1897",NULL,NULL,NULL,21493,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,TARSIIDAE,Tarsius,pelengensis,"Sody, 1949",NULL,NULL,NULL,21494,A
Animalia,CHORDATA,MAMMALIA,CETACEA,ZIPHIIDAE,Tasmacetus,shepherdi,"Oliver, 1937",NULL,NULL,NULL,21500,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,bannermani,"(Bates, 1923)",NULL,NULL,NULL,21535,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,corythaix,"(Wagler, 1827)",NULL,NULL,NULL,21536,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,erythrolophus,"(Vieillot, 1819)",NULL,NULL,NULL,21537,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,fischeri,"(Reichenow, 1878)",NULL,NULL,NULL,21538,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,hartlaubi,"(Fischer & Reichenow, 1884)",NULL,NULL,NULL,21539,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,leucolophus,"(Heuglin, 1855)",NULL,NULL,NULL,21540,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,leucotis,"(Rüppell, 1835)",NULL,NULL,NULL,21541,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,livingstonii,"(G. R. Gray, 1864)",NULL,NULL,NULL,21542,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,macrorhynchus,"(Fraser, 1839)",NULL,NULL,NULL,21543,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,persa,"(Linnaeus, 1758)",NULL,NULL,NULL,21544,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,ruspolii,"(Salvadori, 1896)",NULL,NULL,NULL,21545,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,schalowi,"(Reichenow, 1891)",NULL,NULL,NULL,21546,A
Animalia,CHORDATA,AVES,CUCULIFORMES,MUSOPHAGIDAE,Tauraco,schuettii,"(Cabanis, 1879)",NULL,NULL,NULL,21547,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,TAYASSUIDAE,Tayassu,pecari,"(Link, 1795)",NULL,NULL,NULL,21552,A
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Terathopius,ecaudatus,"(Daudin, 1800)",NULL,NULL,NULL,21630,A
Animalia,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Terpsiphone,bourbonnensis,"(Müller, 1776)",NULL,NULL,NULL,21633,A
